ts,ul_kBps,dl_kBps
1656308637.7724607,0.41, 2.40
1656308638.8117194,3.61, 14.04
1656308639.8367362,31.56, 2315.22
1656308640.8761725,16.61, 3009.89
1656308641.9036324,9.34, 86.24
1656308642.9282293,46.28, 17205.48
1656308643.9542391,41.97, 23374.02
1656308644.9834857,50.22, 25310.29
1656308646.006751,69.24, 36387.25
1656308647.026868,65.66, 26194.37
1656308648.0391614,14.06, 1604.96
1656308649.0534852,11.67, 1295.54
1656308650.0698073,13.25, 1393.82
1656308651.0947664,19.35, 1496.89
1656308652.1231382,39.96, 5047.17
1656308653.140947,26.72, 1463.37
1656308654.1570914,25.23, 1329.45
1656308655.1926713,24.92, 1486.05
1656308656.2234557,24.27, 1490.23
1656308657.250064,25.74, 1498.47
1656308658.2683744,26.37, 1439.83
1656308659.292358,24.14, 1497.82
1656308660.3231797,24.05, 1406.26
1656308661.3508222,27.05, 1509.28
1656308662.384323,26.69, 1484.49
1656308663.4104981,24.75, 1495.72
1656308664.4316177,27.59, 1499.73
1656308665.4659212,26.66, 1483.94
1656308666.4985425,26.92, 1483.90
1656308667.5227897,27.88, 1397.04
1656308668.544534,25.94, 1429.44
1656308669.5736082,33.72, 1501.71
1656308670.5984004,23.95, 1494.90
1656308671.6277268,28.88, 1522.76
1656308672.6517951,29.16, 1481.30
1656308673.6792405,24.66, 1470.17
1656308674.7052972,26.08, 1528.55
1656308675.7345734,23.97, 1440.62
1656308676.7579722,29.14, 1527.40
1656308677.7924395,39.03, 4572.20
1656308678.8293,22.96, 1147.56
1656308679.865835,17.45, 22.37
1656308680.8925629,13.14, 15.57
1656308681.9175327,13.61, 20.02
1656308682.9473448,11.28, 15.97
1656308683.9715767,7.22, 13.40
1656308685.0054355,8.70, 14.14
1656308686.037639,11.84, 18.99
1656308687.0688956,10.63, 18.21
1656308688.086194,12.04, 14.40
1656308689.1195536,10.62, 14.98
1656308690.1435196,11.14, 14.26
1656308691.1635,10.84, 12.28
1656308692.196416,10.85, 13.21
1656308693.2252202,9.86, 12.94
1656308694.255411,14.08, 14.46
1656308695.2819839,11.28, 20.48
1656308696.3194847,16.16, 2208.20
1656308697.3489594,11.51, 22.69
1656308698.3720539,18.44, 31.62
1656308699.3980935,11.69, 18.85
1656308700.4233267,10.65, 22.42
1656308701.4642923,12.37, 13.65
1656308702.4926224,15.40, 26.78
1656308703.524828,12.89, 307.64
1656308704.552764,12.32, 683.46
1656308705.5824249,15.70, 1404.91
1656308706.598376,17.62, 2863.26
1656308707.630458,11.62, 200.73
1656308708.661464,12.03, 25.02
1656308709.6920877,11.71, 24.48
1656308710.7166734,11.59, 23.26
1656308711.7409472,13.56, 23.28
1656308712.77098,11.98, 24.61
1656308713.8067129,11.00, 25.77
1656308714.8287444,10.54, 20.74
1656308715.8627276,10.93, 20.82
1656308716.883998,11.98, 21.27
1656308717.9126673,11.96, 25.63
1656308718.9354472,11.04, 28.67
1656308719.9712524,12.42, 24.00
1656308721.011613,25.85, 6654.47
1656308722.0455801,12.56, 30.84
1656308723.073494,13.20, 35.90
1656308724.0962787,12.02, 44.22
1656308725.1194944,28.42, 3212.93
1656308726.140863,8.91, 32.98
1656308727.1659966,13.85, 36.13
1656308728.1923683,14.30, 38.55
1656308729.2133796,13.66, 40.36
1656308730.2563186,12.71, 29.20
1656308731.276152,13.23, 33.49
1656308732.3159404,13.36, 35.49
1656308733.3508253,16.19, 45.04
1656308734.3794246,14.30, 40.94
1656308735.4069574,13.53, 27.59
1656308736.4424076,13.44, 33.46
1656308737.4640195,12.53, 40.71
1656308738.5196736,12.67, 49.22
1656308739.5619128,25.20, 39.87
1656308740.5951662,13.65, 40.47
1656308741.6255617,14.03, 40.43
1656308742.6511161,14.02, 34.82
1656308743.671532,12.72, 41.90
1656308744.7061377,13.05, 35.89
1656308745.7516305,17.01, 1767.76
1656308746.781594,8.97, 31.85
1656308747.8104494,10.94, 38.74
1656308748.835585,11.65, 33.01
1656308749.864022,14.76, 21.70
1656308750.9037685,11.18, 33.71
1656308751.9385817,14.43, 39.80
1656308752.979108,13.16, 29.74
1656308754.0191727,13.24, 31.81
1656308755.0549288,13.74, 29.27
1656308756.0769205,13.00, 33.99
1656308757.0992002,13.84, 34.69
1656308758.12655,13.87, 23.35
1656308759.1608834,12.64, 31.80
1656308760.1903095,14.43, 75.94
1656308761.2200034,13.22, 29.01
1656308762.248992,13.75, 40.08
1656308763.2783182,13.17, 9.62
1656308764.3093388,13.80, 15.81
1656308765.3525732,16.87, 14.64
1656308766.3857596,13.96, 14.84
1656308767.4109638,12.17, 16.44
1656308768.4373333,13.17, 20.70
1656308769.4754694,13.95, 22.42
1656308770.5095637,13.44, 22.32
1656308771.5395515,14.25, 27.25
1656308772.567176,13.75, 14.24
1656308773.594209,13.83, 12.10
1656308774.6221893,14.33, 17.43
1656308775.646517,20.35, 19.04
1656308776.6705408,13.78, 12.52
1656308777.7028239,14.23, 16.33
1656308778.7367,13.68, 16.06
1656308779.7636251,13.52, 21.36
1656308780.7902696,14.04, 18.23
1656308781.8271947,19.06, 2705.80
1656308782.855445,13.71, 50.49
1656308783.8937435,12.93, 54.43
1656308784.9310348,12.95, 51.78
1656308785.966795,13.86, 38.11
1656308787.000966,19.02, 1847.77
1656308788.04171,11.90, 46.26
1656308789.0715933,13.24, 32.45
1656308790.1053693,14.78, 67.82
1656308791.137206,12.80, 56.04
1656308792.1708212,11.53, 79.80
1656308793.2187018,10.69, 39.76
1656308794.245181,12.36, 41.64
1656308795.2738853,13.70, 96.63
1656308796.303111,13.12, 38.96
1656308797.3260942,9.60, 41.67
1656308798.3583148,11.62, 78.32
1656308799.3910737,19.61, 99.53
1656308800.4282198,10.13, 87.52
1656308801.4678047,10.66, 47.70
1656308802.4994342,11.94, 57.38
1656308803.548038,10.27, 3.38
1656308804.5945845,9.95, 21.68
1656308805.6411886,8.74, 68.67
1656308806.6665766,8.73, 6.01
1656308807.711793,9.89, 34.89
1656308808.8102574,8.09, 30.30
1656308809.9207137,9.36, 34.26
1656308810.9535785,12.19, 5.30
1656308811.9815872,12.01, 66.10
1656308813.0162895,11.31, 3.82
1656308814.0439255,12.91, 50.18
1656308815.0761628,17.66, 3142.42
1656308816.1037493,11.18, 34.45
1656308817.1351163,11.82, 98.95
1656308818.1679304,10.73, 86.21
1656308819.1985857,12.01, 45.76
1656308820.2279024,14.13, 78.85
1656308821.271133,38.52, 29.40
1656308822.3375127,25.76, 145.40
1656308823.3973908,11.19, 46.22
1656308824.43791,16.61, 476.58
1656308825.4864154,10.49, 89.39
1656308826.5141103,11.48, 42.83
1656308827.5535686,12.86, 56.00
1656308828.5973852,11.23, 44.12
1656308829.641264,10.69, 56.01
1656308830.6711032,19.76, 137.82
1656308831.703261,11.38, 53.69
1656308832.7478445,21.84, 34.55
1656308833.7945814,14.01, 43.62
1656308834.832543,10.92, 122.91
1656308835.8685591,11.34, 62.27
1656308836.8953018,12.46, 69.44
1656308837.9330082,11.13, 70.45
1656308838.9687622,11.37, 99.65
1656308840.0049176,11.84, 85.18
1656308841.038906,11.58, 100.58
1656308842.0739725,11.90, 57.67
1656308843.1082673,11.85, 89.83
1656308844.1410642,15.65, 55.01
1656308845.1848223,15.10, 82.75
1656308846.225587,15.96, 92.49
1656308847.2641013,13.36, 63.96
1656308848.2946935,11.57, 79.98
1656308849.337891,10.58, 100.97
1656308850.3703237,11.88, 105.36
1656308851.400101,10.59, 100.20
1656308852.4421308,12.53, 94.71
1656308853.4698644,10.22, 76.72
1656308854.5113246,17.91, 63.87
1656308855.5551453,10.11, 60.73
1656308856.5871408,13.53, 60.89
1656308857.628926,12.36, 82.27
1656308858.6568186,14.38, 102.54
1656308859.6876428,19.87, 158.59
1656308860.7174077,19.23, 83.51
1656308861.7502837,11.45, 74.21
1656308862.7895162,11.41, 66.09
1656308863.8398945,11.29, 67.18
