ts,ul_kBps,dl_kBps
1656656757.2705603,19.59, 1872.81
1656656758.272236,7.10, 17.24
1656656759.2739182,183.99, 3620.54
1656656760.2754445,94.96, 2433.40
1656656761.2769194,169.94, 5092.47
1656656762.2776864,22.35, 152.93
1656656764.2809558,388.91, 12358.89
1656656765.2827377,578.16, 18082.42
1656656766.2846766,568.72, 17937.35
1656656767.2865028,576.63, 18339.52
1656656768.2882638,586.90, 18698.05
1656656769.289951,533.08, 16955.01
1656656770.2915761,555.03, 17720.07
1656656771.2928934,512.82, 15858.26
1656656772.2945318,366.82, 16412.84
1656656773.2961557,162.43, 10541.13
1656656774.2978218,128.65, 9994.02
1656656775.2992203,110.36, 8989.91
1656656776.3007274,199.93, 17436.46
1656656777.30216,200.74, 17474.15
1656656778.303665,213.44, 17243.17
1656656779.3051038,228.12, 16197.93
1656656780.3068578,275.59, 17700.05
1656656781.308456,467.98, 16350.68
1656656782.3101327,583.63, 18591.72
1656656783.3118412,545.13, 17307.91
1656656784.3128767,564.60, 18015.72
1656656785.3144279,472.60, 15424.98
1656656786.315898,295.91, 9314.10
1656656787.3168561,19.05, 520.27
1656656790.320902,1.91, 6.56
1656656791.3225472,19.64, 86.86
1656656792.3241484,69.86, 426.71
1656656793.3249161,230.31, 6454.17
1656656794.3264523,87.67, 1823.29
1656656795.3279097,191.67, 5342.25
1656656796.3288124,21.85, 19.52
1656656797.330387,24.57, 26.25
1656656798.331972,19.82, 22.01
1656656799.3327851,20.98, 23.24
1656656800.334246,21.23, 24.28
1656656801.335719,26.64, 25.00
1656656802.336904,21.56, 27.08
1656656803.3385582,23.89, 22.75
1656656804.3401139,23.07, 26.97
1656656805.3408716,20.78, 19.49
1656656806.3424501,26.80, 29.94
1656656807.3440573,21.91, 25.27
1656656808.345729,22.23, 25.18
1656656810.3488467,20.09, 22.26
1656656811.3503118,24.31, 25.45
1656656812.3517575,22.54, 25.08
1656656813.3528683,21.56, 24.12
1656656814.3544424,21.60, 23.82
1656656815.3559394,18.26, 18.71
1656656816.3567863,23.95, 24.24
1656656817.3582857,25.09, 25.63
1656656818.3598902,23.98, 24.95
1656656819.361018,234.09, 5911.15
