ts,ul_kBps,dl_kBps
1656308475.399634,0.85, 88.76
1656308476.5184321,21.23, 243.21
1656308477.5502489,272.69, 13758.48
1656308478.58487,351.50, 14119.70
1656308479.6141758,232.87, 20969.57
1656308480.7582579,427.51, 11800.50
1656308481.8693216,74.23, 1905.21
1656308482.9057467,2248.44, 60121.62
1656308483.931835,3747.20, 80178.37
1656308484.9586513,2031.97, 87513.39
1656308485.9858382,1406.86, 90742.77
1656308487.0694926,1245.22, 91420.52
1656308488.1678665,1815.48, 80108.46
1656308489.2543278,975.36, 84851.34
1656308490.3106456,2003.54, 80060.18
1656308491.3625433,1671.38, 84628.65
1656308492.4088874,1487.05, 75927.13
1656308493.4455638,1820.41, 75929.33
1656308494.478708,1659.97, 77205.41
1656308495.5112505,2016.30, 88331.02
1656308496.5417254,1502.34, 98918.14
1656308497.579001,1590.72, 99377.97
1656308498.6210134,1146.33, 95214.46
1656308499.663743,921.16, 73928.34
1656308500.7055006,1309.76, 71907.34
1656308501.730625,1006.63, 75673.93
1656308502.7999485,775.47, 69343.37
1656308503.8494914,958.93, 77977.77
1656308505.0399306,536.67, 78855.03
1656308506.1720011,463.73, 71240.45
1656308507.3100603,345.00, 66901.02
1656308508.6353035,40.68, 3723.21
1656308509.6923954,50.09, 3472.55
1656308510.758284,61.62, 8155.70
1656308511.85579,45.55, 2560.39
1656308512.9483392,88.19, 6395.74
1656308514.022401,85.41, 6830.84
1656308515.1468196,102.76, 10256.29
1656308516.2340403,141.31, 20140.23
1656308517.4578192,103.70, 16932.40
1656308518.7811358,85.19, 13578.24
1656308519.914659,89.90, 10174.18
1656308521.1452956,73.40, 2588.09
1656308522.3017025,67.23, 544.39
1656308523.4063997,61.44, 500.63
1656308524.605163,123.85, 8518.99
1656308525.8477569,76.75, 5049.08
1656308527.1146824,57.37, 3048.55
1656308528.2026541,64.07, 438.10
1656308529.5474184,84.07, 541.82
1656308530.6637115,80.88, 696.41
1656308531.781055,104.33, 1280.28
1656308532.926234,112.21, 5600.04
1656308534.0677352,150.63, 21003.97
1656308535.2671144,59.38, 510.29
1656308536.43631,109.31, 513.39
1656308537.595333,92.18, 608.42
1656308538.801704,98.12, 754.50
1656308540.112354,100.58, 837.68
1656308541.413187,512.50, 17710.22
1656308542.8571038,44.99, 368.13
1656308544.525106,87.28, 5107.16
1656308545.9995086,100.27, 7915.21
1656308547.147575,105.07, 3114.09
1656308548.513015,77.16, 655.57
1656308549.9575016,104.52, 861.17
1656308551.05601,79.79, 618.28
1656308552.1274996,76.46, 631.95
1656308553.2254853,74.83, 652.08
1656308554.3142915,96.00, 794.39
1656308555.503972,107.36, 871.25
1656308556.6872675,130.42, 1065.09
1656308557.7952614,148.73, 1184.11
1656308558.8852963,134.15, 1120.33
1656308559.944593,115.23, 1042.43
1656308561.0139382,112.87, 995.24
1656308562.0947363,128.33, 1100.56
1656308563.1730196,125.77, 1098.08
1656308564.3857398,131.09, 1119.22
1656308565.5291471,148.52, 1246.17
1656308566.697155,158.58, 1330.88
1656308567.797782,126.75, 1102.37
1656308568.838837,118.24, 1007.23
1656308569.9074907,131.22, 1108.92
1656308571.0269506,125.50, 974.67
1656308572.0996335,122.97, 1069.71
1656308573.3178964,124.77, 1055.35
1656308574.4555957,137.74, 1170.20
1656308575.5266123,106.41, 908.08
