ts,ul_kBps,dl_kBps
1656308186.6268468,0.20, 0.35
1656308187.6496458,3.79, 22.33
1656308188.6884642,31.18, 2284.58
1656308189.7045114,19.05, 3099.83
1656308190.734426,5.30, 58.99
1656308191.758478,43.48, 15785.71
1656308192.7868018,48.14, 27968.09
1656308193.8013194,50.25, 25994.67
1656308194.8321383,68.98, 37172.41
1656308195.8565161,78.71, 36368.52
1656308196.899445,48.00, 19418.07
1656308197.9416337,13.77, 1629.49
1656308198.969643,21.09, 1426.97
1656308199.9856772,14.93, 1500.56
1656308201.003939,19.62, 1486.86
1656308202.0176482,12.54, 1306.74
1656308203.0500398,20.98, 1499.96
1656308204.0759814,30.54, 1614.02
1656308205.105832,27.04, 1590.43
1656308206.1384053,34.43, 4410.44
1656308207.176116,19.16, 1447.38
1656308208.2038374,29.82, 1510.88
1656308209.2273512,26.71, 1330.69
1656308210.2594244,23.68, 1490.44
1656308211.286528,25.12, 1496.52
1656308212.317806,23.92, 1472.84
1656308213.348908,25.30, 1468.47
1656308214.3758404,23.05, 1474.65
1656308215.4068294,25.98, 1488.53
1656308216.4313939,23.37, 1497.58
1656308217.4626257,24.17, 1469.04
1656308218.4876804,20.85, 1328.67
1656308219.5153763,25.85, 1492.79
1656308220.5441072,30.04, 1499.35
1656308221.5779374,22.88, 1465.28
1656308222.614396,29.68, 1489.42
1656308223.6380177,29.05, 1525.31
1656308224.662988,23.14, 1481.91
1656308225.6851146,22.55, 1331.64
1656308226.7145371,28.83, 1478.94
1656308227.7372713,27.41, 1507.42
1656308228.765691,9.36, 6.18
1656308229.8026397,8.33, 1.44
1656308230.829348,14.63, 13.44
1656308231.856484,8.55, 1.51
1656308232.8893538,13.00, 11.39
1656308233.9202218,12.12, 3.08
1656308234.9515085,9.54, 1.84
1656308235.9787724,8.70, 3.33
1656308237.0116973,9.46, 4.36
1656308238.0436506,9.79, 2.04
1656308239.067834,7.89, 1.60
1656308240.0865,1260.68, 32.97
1656308241.1224213,8.25, 2.84
1656308242.1461508,10.16, 1.44
1656308243.164897,9.94, 2.30
1656308244.201181,12.54, 5.59
1656308245.2288227,16.12, 125.13
1656308246.252633,14.83, 2631.28
1656308247.2764,19.39, 28.67
1656308248.3090398,9.78, 12.12
1656308249.334462,7.77, 10.86
1656308250.3546205,9.87, 13.59
1656308251.3740032,13.34, 13.49
1656308252.3973804,10.21, 9.01
1656308253.4274693,10.33, 14.99
1656308254.4459848,19.62, 39.06
1656308255.4713974,15.69, 139.99
1656308256.4904895,25.25, 6642.39
1656308257.5165756,7.81, 31.39
1656308258.5406907,16.90, 45.73
1656308259.5641954,17.21, 61.26
1656308260.5918021,11.88, 64.29
1656308261.6212456,9.28, 90.66
1656308262.6475902,11.78, 106.80
1656308263.6741972,11.16, 37.14
1656308264.7030323,14.92, 34.84
1656308265.7280679,16.42, 46.67
1656308266.7565656,11.88, 34.64
1656308267.784873,13.35, 35.44
1656308268.82043,19.13, 42.22
1656308269.8412387,13.71, 35.60
1656308270.8707004,11.75, 37.07
1656308271.9012692,12.09, 33.57
1656308272.9339623,10.93, 34.37
1656308273.9529438,12.89, 34.30
1656308274.9837675,11.97, 36.43
1656308276.0103235,11.79, 35.98
1656308277.0316403,13.78, 34.65
1656308278.0654688,14.14, 34.54
1656308279.0997877,15.68, 35.78
1656308280.1418068,14.64, 35.33
1656308281.1910224,13.85, 34.61
1656308282.2207217,14.68, 35.16
1656308283.2448835,18.78, 12.77
1656308284.2831936,14.27, 18.50
1656308285.3092313,17.14, 74.66
1656308286.3388603,15.08, 45.59
1656308287.376474,15.20, 43.82
1656308288.4023857,15.32, 54.57
1656308289.426412,16.10, 201.26
1656308290.4480941,15.99, 412.29
1656308291.4752662,16.92, 763.85
1656308292.5053053,25.19, 1461.79
1656308293.5334463,20.54, 1868.63
1656308294.5561662,20.25, 2351.06
1656308295.5842018,14.77, 53.45
1656308296.6145315,15.38, 56.24
1656308297.6371317,17.32, 55.98
1656308298.6742058,16.99, 96.08
1656308299.693766,15.78, 57.48
1656308300.738769,14.26, 56.54
1656308301.773972,14.69, 51.80
1656308302.807556,16.10, 50.64
