ts,ul_kBps,dl_kBps
1656314048.5658584,3.63, 6.39
1656314049.5835893,11.18, 36.39
1656314050.598133,80.24, 6452.90
1656314051.6139567,120.31, 12050.83
1656314052.6252332,44.23, 3592.97
1656314053.6377914,64.97, 16207.21
1656314054.6535153,101.60, 17669.40
1656314055.6693988,113.59, 15262.05
1656314056.6951656,129.40, 13862.45
1656314057.7063055,193.16, 17046.06
1656314058.729219,199.70, 16960.22
1656314059.7416685,239.80, 17138.39
1656314060.759103,191.89, 17307.61
1656314061.7734554,208.90, 16742.67
1656314062.7861924,214.53, 16348.47
1656314063.801617,211.46, 17780.51
1656314064.8265727,197.82, 17685.11
1656314065.84373,223.83, 16977.81
1656314066.8572361,232.66, 17522.06
1656314067.8737311,217.90, 17159.15
1656314068.894062,213.39, 17579.66
1656314069.9145727,206.21, 17306.41
1656314070.9327745,188.69, 16574.27
1656314071.947478,194.15, 16491.56
1656314072.9644115,220.45, 16601.98
1656314073.9806817,176.63, 17478.43
1656314074.998292,247.85, 17463.67
1656314076.0140195,227.55, 18474.88
1656314077.0260468,210.70, 17708.70
1656314078.0440042,224.12, 17846.80
1656314079.0692759,137.14, 16734.54
1656314080.0856557,123.20, 16773.21
1656314081.1009471,112.61, 17565.79
1656314082.1191883,110.64, 16972.63
1656314083.1366432,95.38, 17627.64
1656314084.1596804,117.41, 17058.31
1656314085.176047,110.53, 17420.54
1656314086.1900277,93.49, 16846.46
1656314087.2084386,80.06, 16163.77
1656314088.2267523,74.70, 14662.71
1656314089.242451,71.85, 16529.83
1656314090.2690117,84.21, 15820.20
1656314091.2876868,82.46, 16271.33
1656314092.3014748,77.68, 15804.98
1656314093.3145523,75.67, 15255.35
1656314094.3282704,70.69, 16288.64
1656314095.3438408,76.76, 13996.76
1656314096.360461,74.36, 15323.63
1656314097.3904731,61.49, 6298.92
1656314098.4183862,26.92, 384.49
1656314099.4377706,32.45, 2326.68
1656314100.4664993,40.42, 255.86
1656314101.487458,49.06, 231.73
1656314102.5198789,39.63, 167.10
1656314103.5456583,56.06, 243.14
1656314104.5606208,53.48, 198.55
1656314105.5886824,54.85, 229.55
1656314106.6140835,68.20, 269.23
1656314107.6346784,61.12, 282.93
1656314108.6594882,53.23, 223.82
1656314109.6815505,96.38, 741.51
1656314110.7047226,119.91, 13333.24
1656314111.7244341,126.13, 11270.64
1656314112.752075,81.66, 2609.68
1656314113.7817078,84.51, 5553.05
1656314114.8071506,81.57, 6395.40
1656314115.8352087,79.28, 4513.34
1656314116.8527017,54.28, 251.04
1656314117.88358,52.98, 235.80
1656314118.9082158,63.58, 345.11
1656314119.934629,75.49, 259.57
1656314120.9528422,67.51, 284.58
1656314121.9705694,66.78, 256.96
1656314122.9967866,89.59, 5701.14
1656314124.0145876,53.86, 1044.18
1656314125.040843,73.34, 976.27
1656314126.0699978,57.90, 390.94
1656314127.0962977,63.13, 1041.17
1656314128.1108851,62.06, 1416.24
1656314129.125951,64.56, 387.63
1656314130.1530635,86.52, 702.26
1656314131.1729188,74.45, 702.20
1656314132.2035913,68.77, 2846.37
1656314133.2247157,61.16, 3470.81
1656314134.250365,61.98, 2704.19
1656314135.282365,48.02, 220.89
1656314136.301826,55.41, 347.11
1656314137.3293188,56.25, 210.13
1656314138.3569524,70.28, 382.26
1656314139.3920414,62.20, 296.51
1656314140.4189227,62.56, 275.95
1656314141.4398196,73.03, 681.95
1656314142.466466,71.59, 301.90
1656314143.496198,72.46, 2739.72
1656314144.5245402,62.62, 262.45
1656314145.5455296,57.79, 257.25
1656314146.5777557,66.95, 306.50
1656314147.6053874,69.36, 311.31
1656314148.636893,62.42, 297.10
1656314149.6685312,66.61, 312.46
1656314150.6951702,75.99, 328.18
1656314151.72664,68.69, 316.25
1656314152.7507682,64.14, 280.87
1656314153.7845054,64.37, 306.68
1656314154.8109796,76.70, 1687.81
1656314155.8431149,101.76, 16977.55
1656314156.8719392,111.59, 17524.08
1656314157.9053943,105.67, 18158.03
1656314158.9384768,105.22, 16981.00
1656314159.9695973,94.20, 14530.41
1656314160.9973094,101.10, 13365.03
1656314162.0261686,157.31, 13687.27
1656314163.0600893,93.51, 16823.45
1656314164.08369,93.77, 19280.20
1656314165.112368,97.90, 16461.54
1656314166.1290243,76.73, 8261.22
1656314167.1609337,78.87, 11979.61
1656314168.1784594,85.49, 16519.85
1656314169.2142313,92.51, 14757.89
1656314170.2432847,77.81, 11037.46
1656314171.2708197,94.81, 17910.47
1656314172.300853,76.69, 6472.24
1656314173.3306572,64.28, 3090.07
1656314174.3589811,65.83, 11551.63
1656314175.388466,66.75, 14964.73
1656314176.408632,63.12, 12077.73
1656314177.4320612,71.16, 15996.36
1656314178.462794,71.06, 16264.28
1656314179.4916904,65.50, 16949.02
1656314180.515711,69.53, 17309.36
1656314181.5367258,64.86, 17049.98
1656314182.5589206,37.50, 556.59
1656314183.5768778,37.65, 103.79
1656314184.594107,38.61, 108.26
1656314185.6240728,47.10, 121.08
1656314186.6432643,46.88, 108.86
1656314187.6709173,44.60, 102.62
1656314188.700734,44.39, 104.21
1656314189.7311802,43.58, 105.25
1656314190.7529037,46.96, 106.82
1656314191.7798684,46.54, 107.90
1656314192.8171167,57.95, 129.49
1656314193.8455675,49.15, 123.78
1656314194.862123,45.19, 103.16
1656314195.8836682,47.98, 106.83
1656314196.9119875,44.64, 104.99
1656314197.9431255,75.64, 169.12
1656314198.968773,65.27, 162.28
1656314199.9885614,62.84, 164.69
1656314201.0177739,61.07, 157.37
1656314202.044497,69.19, 157.00
1656314203.0760314,64.07, 154.33
1656314204.1030505,59.84, 164.19
1656314205.1208804,50.83, 156.20
1656314206.1527102,56.68, 152.25
1656314207.182845,62.15, 166.12
1656314208.212766,55.30, 156.40
1656314209.2417371,59.82, 157.56
1656314210.2695284,52.30, 156.84
1656314211.2999046,54.32, 149.28
1656314212.327325,53.33, 149.97
1656314213.3562982,62.01, 165.04
1656314214.3727963,57.34, 159.07
1656314215.3920138,52.97, 158.19
1656314216.4133048,56.61, 160.17
1656314217.442789,54.82, 159.39
1656314218.4627278,52.30, 150.76
1656314219.4913023,57.04, 160.16
1656314220.531687,50.47, 154.99
1656314221.5663497,59.07, 152.16
1656314222.5907445,52.17, 148.95
1656314223.6162167,56.48, 141.43
1656314224.6439197,62.97, 170.54
1656314225.6735094,59.09, 166.20
1656314226.7040737,55.32, 160.98
1656314227.7382662,57.78, 160.81
1656314228.7696931,60.70, 164.04
1656314229.7985764,59.86, 152.07
1656314230.8313537,64.51, 161.40
