ts,ul_kBps,dl_kBps
1656677271.2065597,0.49, 0.56
1656677272.2080684,34.50, 106.48
1656677273.208859,682.27, 16617.62
1656677274.210311,176.65, 4197.16
1656677275.2113874,392.33, 11620.15
1656677276.2128363,421.13, 12107.88
1656677277.2143776,65.78, 522.05
1656677278.2155304,500.86, 17326.93
1656677279.2168345,429.88, 13695.28
1656677280.2184603,434.95, 13217.07
1656677281.219312,392.74, 12155.35
1656677282.2208369,383.35, 12401.54
1656677283.2224016,265.03, 8525.87
1656677285.2248716,299.99, 8408.33
1656677286.2264304,246.07, 9008.65
1656677287.2279806,236.26, 10112.61
1656677288.228905,173.59, 8419.25
1656677289.230486,171.70, 8400.08
1656677290.2319567,161.26, 8384.90
1656677291.232822,130.18, 6572.83
1656677292.234434,147.38, 7168.51
1656677293.2360091,154.00, 8243.49
1656677294.236879,142.79, 7979.69
1656677295.2385185,141.86, 7831.60
1656677296.240027,165.62, 8303.32
1656677297.2415285,188.28, 8157.80
1656677298.2430785,268.13, 10569.94
1656677299.2447114,284.60, 10052.18
1656677300.2463977,230.50, 7587.37
1656677301.2480738,247.49, 8110.68
1656677302.2489095,263.01, 8535.55
1656677303.2500942,246.24, 7469.21
1656677304.251579,246.16, 7738.44
1656677305.2528632,222.41, 7188.70
1656677306.2544203,273.77, 7813.96
1656677307.2559984,261.85, 8341.78
1656677308.2568731,224.92, 6850.58
1656677309.2585175,252.07, 7718.63
1656677310.2592857,253.55, 8208.66
1656677311.2608266,238.74, 7669.25
1656677312.2624319,285.36, 8034.77
1656677313.2640505,329.87, 11912.14
1656677314.2647405,357.75, 12033.17
1656677315.2662446,494.90, 17417.37
1656677316.268535,527.26, 17920.29
1656677317.2708747,466.74, 14495.73
1656677318.2726016,456.54, 13118.99
1656677319.2741473,375.57, 11776.18
1656677320.275747,82.15, 2035.15
1656677321.2768898,82.04, 2019.95
1656677322.2777195,77.31, 1775.38
1656677323.2792535,87.14, 2053.76
1656677324.2802763,250.06, 12714.30
1656677325.2814536,329.19, 16461.35
1656677326.2829545,361.94, 16466.42
1656677327.2844992,408.42, 15787.91
1656677328.286113,402.42, 14575.92
1656677330.2888787,403.93, 13695.12
1656677331.2903202,388.04, 12817.66
1656677332.2918074,401.30, 12922.69
1656677333.2928886,497.81, 13431.24
1656677334.2980378,421.75, 14095.65
1656677335.2992282,414.64, 13582.32
1656677336.301078,467.34, 15227.95
1656677337.3046656,503.85, 16363.95
1656677338.3061523,526.49, 16675.39
1656677339.3075247,498.59, 15921.02
1656677340.3088748,522.19, 16907.24
1656677341.310659,527.19, 16720.95
1656677342.312292,533.82, 17284.19
1656677343.3155215,484.53, 15931.80
1656677344.3168378,513.51, 16814.79
1656677345.317603,521.37, 17128.17
1656677346.3191652,521.92, 17434.15
1656677347.3207278,504.17, 17171.31
1656677348.3223226,534.74, 17471.96
1656677349.324036,529.02, 17441.60
1656677350.3257165,440.45, 14684.24
1656677351.328392,502.99, 16985.42
1656677352.330053,485.94, 16894.65
1656677353.331653,476.03, 16991.71
1656677354.33288,494.54, 17008.85
1656677355.334351,478.55, 16434.66
1656677356.3358347,486.32, 16424.33
1656677357.3367763,477.65, 15569.86
1656677358.3383174,478.77, 16174.44
1656677359.3399098,494.28, 17148.13
1656677360.3408837,339.40, 11780.19
1656677361.342567,368.73, 12775.59
1656677362.3445625,489.64, 17159.14
1656677363.347067,486.07, 16498.30
1656677364.3477743,463.32, 16612.90
1656677365.3488379,394.58, 15368.56
1656677366.350415,419.40, 17225.45
1656677367.351304,387.12, 16584.58
1656677368.3527706,416.00, 16271.33
1656677369.3538673,462.30, 16979.28
1656677370.35546,476.76, 16704.90
1656677371.356894,508.77, 17147.46
1656677372.3585343,462.85, 15333.58
1656677373.3601246,526.44, 17257.53
1656677374.3608973,526.73, 17311.98
1656677376.3631067,506.34, 16795.92
1656677377.364647,523.27, 16683.39
1656677378.3662302,525.86, 16705.09
1656677379.3678305,537.49, 17013.81
1656677380.368803,485.21, 15489.56
1656677381.3697662,527.35, 16762.13
1656677382.371246,514.23, 16542.37
1656677383.372829,510.61, 16332.29
1656677384.3740547,531.35, 17061.88
1656677385.3756886,525.49, 17042.62
1656677386.380857,512.63, 16667.33
1656677387.3821642,492.82, 15913.10
1656677388.3837912,519.21, 16883.21
1656677389.3851519,505.74, 17278.84
1656677390.3870654,485.47, 15798.33
1656677391.3894048,523.07, 16937.66
1656677392.391364,522.32, 16633.43
1656677393.3928494,537.48, 17522.99
1656677394.3944535,503.98, 16615.87
1656677395.3960936,445.97, 14569.96
1656677396.397773,470.66, 15763.88
1656677397.3994052,528.05, 16881.67
1656677398.4008427,165.93, 5089.40
1656677399.401786,45.15, 533.19
1656677400.4024239,165.41, 4313.83
1656677401.4030545,157.54, 4822.87
1656677402.404572,31.98, 155.07
1656677403.4061425,162.85, 3961.32
1656677404.407056,111.17, 2458.17
1656677405.4086618,380.37, 10802.17
