ts,ul_kBps,dl_kBps
1656860765.053668,0.34, 0.19
1656860766.0896401,4.01, 24.04
1656860767.110597,27.70, 2275.84
1656860768.1232917,10.83, 663.40
1656860769.179514,17.41, 2435.33
1656860770.2143855,3.99, 28.84
1656860771.232464,12.71, 3932.86
1656860772.2553356,14.64, 5975.15
1656860773.2748506,20.09, 6501.57
1656860774.2971148,14.74, 6230.87
1656860775.3334804,14.70, 6661.99
1656860776.3568337,14.68, 6260.00
1656860777.3777173,15.15, 6433.90
1656860778.4127116,12.77, 4818.16
1656860779.4454453,15.10, 6511.56
1656860780.4729433,16.56, 6736.85
1656860781.4950945,14.18, 5903.35
1656860782.517485,18.36, 6776.31
1656860783.5474415,36.51, 6516.06
1656860784.5746982,46.92, 6599.52
1656860785.605147,54.42, 6678.77
1656860786.6281445,55.22, 6840.27
1656860787.6431558,54.45, 6848.99
1656860788.6641839,49.42, 6320.12
1656860789.6940064,53.67, 6567.67
1656860790.7258885,50.98, 6434.50
1656860791.7434409,51.85, 6873.44
1656860792.760187,56.00, 6613.19
1656860793.7860005,9.27, 3566.64
1656860794.8012102,18.28, 5704.47
1656860795.822642,25.42, 6290.48
1656860796.857873,15.76, 6718.99
1656860797.8835247,15.54, 6250.18
1656860798.9171124,14.93, 6491.77
1656860799.938167,3.44, 985.80
1656860800.9659297,0.52, 2.92
1656860801.98394,0.41, 0.24
1656860803.0056336,5.83, 17.65
1656860804.0358255,22.75, 3042.90
1656860805.0725956,13.92, 22.03
1656860806.0969727,11.23, 1.60
1656860807.1268542,12.02, 1.59
1656860808.1608093,10.99, 1.34
1656860809.1890702,11.70, 1.62
1656860810.2180398,11.26, 1.74
1656860811.2506454,11.24, 1.46
1656860812.279242,11.06, 1.80
1656860813.3120477,11.37, 1.51
1656860814.341516,10.99, 2.08
1656860815.3669875,11.18, 1.39
1656860816.4015036,11.03, 1.47
1656860817.437183,10.99, 1.62
1656860818.4689398,11.32, 1.40
1656860819.5037603,12.09, 7.76
1656860820.5287333,11.28, 1.41
1656860821.5573184,11.04, 1.74
1656860822.5871341,10.08, 1.56
1656860823.6172848,11.38, 1.61
1656860824.6454053,10.70, 1.72
1656860825.6866257,17.53, 14.87
1656860826.7106175,10.56, 1.60
1656860827.7426639,9.48, 1.52
1656860828.7707324,12.02, 1.69
1656860829.7991872,11.97, 4.24
1656860830.8325632,11.76, 1.20
1656860831.8675141,12.71, 1.19
1656860832.895516,12.16, 0.74
1656860833.9346464,17.42, 4.94
1656860834.9583077,22.08, 3.74
1656860835.9829433,11.06, 2.91
1656860837.0048108,14.47, 2.15
1656860838.0295997,21.28, 12.64
1656860839.0521064,15.38, 2.33
1656860840.077304,13.41, 9.65
1656860841.1096325,11.25, 1.55
1656860842.1337705,12.28, 4.47
1656860843.1659005,13.21, 2.68
1656860844.199002,12.70, 17.96
1656860845.237877,12.14, 71.28
1656860846.2650242,12.69, 57.94
