ts,ul_kBps,dl_kBps
1656934423.2042406,2.12, 6.97
1656934424.2059708,7.18, 48.62
1656934425.2068586,77.71, 2326.28
1656934426.2082949,66.86, 3217.13
1656934427.2097814,9.09, 68.01
1656934428.2108488,4.37, 55.40
1656934429.2121856,21.11, 1466.60
1656934430.2135563,50.20, 4754.02
1656934431.2148848,53.51, 5058.72
1656934432.2163274,52.42, 5019.32
1656934433.217738,41.10, 4465.30
1656934434.2188222,53.88, 4863.30
1656934435.220198,54.53, 5067.99
1656934436.2215624,49.60, 4605.00
1656934437.2228465,52.86, 3680.75
1656934438.2242577,41.38, 3813.87
1656934439.2256465,42.42, 4140.82
1656934440.2268562,49.87, 4809.59
1656934441.228222,44.14, 4284.58
1656934442.2296028,43.48, 4519.75
1656934443.2309058,48.42, 4639.55
1656934444.232312,40.15, 3641.28
1656934445.2328937,49.17, 4766.36
1656934446.2338004,43.90, 4285.15
1656934447.2348876,43.41, 4499.36
1656934448.236298,50.22, 4878.18
1656934449.2377172,44.20, 4594.79
1656934450.238848,52.25, 4972.35
1656934451.2402291,44.57, 4501.92
1656934452.2416859,41.46, 3978.88
1656934453.2428508,45.79, 4610.94
1656934454.2442346,42.00, 3834.20
1656934455.2450466,38.08, 4163.40
1656934456.2464988,30.31, 3746.22
1656934457.2479904,37.96, 4107.21
1656934458.2494009,34.20, 4055.62
1656934459.2508163,30.61, 3009.01
1656934460.2523198,1.13, 2.81
1656934461.2537646,3.99, 256.91
1656934462.2548442,17.32, 113.58
1656934463.2562478,19.50, 40.79
1656934464.2576087,16.27, 459.36
1656934465.2588828,35.40, 2590.34
1656934466.2602816,12.59, 1.57
1656934467.261654,13.31, 1.77
1656934468.2628279,12.35, 2.01
1656934469.2642236,11.85, 1.56
1656934470.265547,12.04, 1.93
1656934471.2667913,11.99, 1.64
1656934472.268138,12.90, 1.95
1656934473.2695875,12.24, 1.73
1656934474.2707992,12.65, 1.92
1656934475.272165,12.28, 1.66
1656934476.2735946,12.05, 3.09
1656934477.2748342,12.25, 8.71
1656934478.2761984,20.97, 11.90
1656934479.2776594,48.31, 1081.08
1656934480.2788467,16.59, 64.38
1656934481.2802758,24.74, 902.01
1656934482.2816982,25.57, 921.98
1656934483.2827818,56.89, 2195.77
1656934484.2841432,68.83, 3649.89
1656934485.285553,50.95, 3339.96
1656934486.2868311,14.00, 23.25
1656934487.2881944,17.76, 59.16
1656934488.289584,13.55, 18.93
1656934489.2907908,16.51, 177.33
1656934490.2921085,64.96, 4728.02
1656934491.2934897,22.83, 736.30
1656934492.2949214,13.63, 19.65
1656934493.2964005,13.15, 32.97
1656934494.297811,18.31, 61.03
1656934495.298827,27.29, 237.06
1656934496.3002608,26.57, 425.64
1656934497.3016276,28.64, 904.20
1656934498.302795,18.45, 173.78
1656934499.3042178,16.77, 145.59
1656934500.304685,44.32, 2619.20
1656934501.3060718,12.74, 28.05
1656934502.3067892,16.63, 33.53
1656934503.3081565,15.46, 29.62
1656934504.3096411,13.49, 24.71
1656934505.310807,12.58, 24.95
1656934506.3121765,12.38, 22.52
1656934507.3128633,15.02, 23.63
1656934508.3142903,13.01, 26.31
1656934509.3148112,12.67, 22.69
1656934510.316202,13.29, 25.46
1656934511.3174448,12.15, 23.76
1656934512.3188295,14.10, 21.45
1656934513.3201926,12.22, 24.60
1656934514.3215694,12.40, 22.81
1656934515.322789,13.27, 25.47
1656934516.324181,13.39, 25.56
1656934517.3256967,13.68, 26.83
1656934518.3268116,14.37, 27.41
1656934519.3282647,13.05, 25.84
1656934520.3297043,12.78, 26.96
1656934521.3308241,12.36, 25.49
1656934522.3322504,13.99, 25.26
1656934523.3336222,13.64, 28.81
1656934524.334876,13.32, 24.91
1656934525.3362398,12.55, 27.14
1656934526.3376164,12.23, 25.38
1656934527.3389504,13.35, 25.61
1656934528.3404598,13.14, 26.09
1656934529.3418796,13.15, 25.77
1656934530.3428226,12.69, 27.60
1656934531.3441935,12.55, 26.81
1656934532.345538,13.32, 27.21
1656934533.34682,13.15, 26.14
1656934534.3481631,13.63, 26.28
1656934535.3495736,12.12, 17.09
1656934536.350848,12.98, 37.72
1656934537.3513865,12.86, 29.06
1656934538.3527455,13.43, 28.20
1656934539.353933,11.82, 25.18
1656934540.3548536,13.41, 26.32
1656934541.35531,12.35, 26.57
1656934542.356699,13.94, 25.69
1656934543.3581252,13.20, 26.83
1656934544.3587916,13.03, 26.96
1656934545.3595858,13.13, 26.71
1656934546.3610706,12.58, 27.81
1656934547.361564,13.73, 28.97
1656934548.3628597,12.91, 30.03
1656934549.3636205,12.90, 27.82
1656934550.3650224,12.85, 29.30
1656934551.366396,12.44, 27.63
1656934552.3668592,14.50, 27.33
1656934553.3682804,13.46, 29.69
1656934554.3696759,13.13, 27.12
1656934555.3708298,12.07, 29.76
1656934556.3721738,12.87, 28.93
1656934557.3730402,13.34, 28.78
1656934558.3744576,13.53, 25.84
1656934559.3759427,12.31, 31.03
1656934560.3773584,13.19, 27.96
1656934561.3788066,12.66, 28.11
1656934562.3803086,14.43, 28.64
1656934563.3817575,12.66, 30.14
1656934564.382896,13.34, 28.47
1656934565.384286,14.01, 29.16
1656934566.3857083,12.12, 28.35
1656934567.3870602,14.27, 28.98
1656934568.3881347,14.19, 29.46
1656934569.3894901,12.86, 28.71
1656934570.3907738,12.80, 28.85
1656934571.3920968,13.37, 28.33
1656934572.3935215,14.76, 28.90
1656934573.3948283,13.33, 29.91
1656934574.396239,12.51, 29.02
1656934575.397112,14.28, 31.08
1656934576.3985431,12.85, 29.11
1656934577.399934,13.52, 28.41
1656934578.4013731,12.68, 29.07
1656934579.402818,13.45, 29.61
1656934580.4041712,13.38, 29.34
1656934581.405522,13.20, 28.44
1656934582.4068255,13.76, 28.66
1656934583.4082217,13.64, 28.99
1656934584.409732,12.53, 28.20
1656934585.4107804,13.05, 30.11
1656934586.4121609,12.54, 29.04
1656934587.4135752,14.04, 25.35
1656934588.4148412,13.29, 21.78
1656934589.416244,13.78, 23.53
1656934590.4175684,13.22, 26.44
1656934591.4188333,12.82, 28.70
1656934592.4203033,14.04, 28.50
1656934593.4216604,13.33, 29.43
1656934594.4228625,13.44, 28.34
1656934595.4242933,13.20, 29.86
1656934596.425633,12.91, 27.79
1656934597.426789,13.62, 28.11
1656934598.4281662,13.15, 30.59
1656934599.429542,12.90, 29.07
1656934600.4307876,13.36, 29.54
1656934601.4313986,13.35, 28.02
1656934602.432226,10.50, 21.27
1656934603.4332058,15.26, 31.63
1656934604.4345412,12.19, 29.01
1656934605.4359097,12.88, 28.88
1656934606.4373314,14.78, 29.10
1656934607.4382315,15.51, 38.12
1656934608.438946,12.55, 25.17
1656934609.4404404,15.50, 33.58
1656934610.4418993,13.77, 29.52
1656934611.442869,12.50, 32.27
1656934612.4443047,13.22, 29.18
1656934613.445811,12.99, 30.63
1656934614.4468203,13.07, 29.92
1656934615.4481494,12.87, 30.94
1656934616.449509,12.40, 29.79
1656934617.4508033,13.84, 29.40
1656934618.4521604,13.53, 31.23
1656934619.4536061,12.94, 29.84
1656934620.4547944,12.55, 29.56
1656934621.4557176,13.17, 30.42
1656934622.4571996,13.28, 29.58
1656934623.4585993,13.14, 30.34
1656934624.4593122,13.44, 27.66
1656934625.4607172,12.32, 27.81
1656934626.4621694,12.54, 25.81
1656934627.4627802,13.28, 25.60
1656934628.4642026,13.40, 27.43
1656934629.4656105,13.38, 26.08
1656934630.467017,12.15, 26.66
1656934631.4687572,12.03, 26.54
1656934632.4702594,14.42, 26.11
1656934633.4708326,13.30, 17.31
1656934634.4722579,9.92, 31.91
1656934635.4736469,12.56, 26.13
1656934636.474839,12.25, 25.58
1656934637.47538,13.02, 27.03
1656934638.4762309,13.03, 26.30
1656934639.4776173,11.50, 25.62
1656934640.478823,15.67, 29.26
1656934641.480208,14.05, 31.06
1656934642.4815447,14.01, 27.01
1656934643.4828255,13.45, 26.32
1656934644.4842036,12.58, 26.23
1656934645.4856508,12.47, 26.05
1656934646.486794,12.38, 26.78
1656934647.4882169,12.95, 27.31
1656934648.4893072,14.06, 26.42
1656934649.4907954,13.17, 26.89
1656934650.4921854,12.90, 26.78
1656934651.4932902,12.76, 24.58
