ts,ul_kBps,dl_kBps
1656935237.5051043,5.70, 16.16
1656935238.5067675,126.61, 2121.57
1656935239.508555,108.55, 2903.40
1656935240.5094638,189.44, 6086.99
1656935241.5111413,26.51, 178.39
1656935242.5121775,82.52, 2533.99
1656935243.513464,253.17, 8026.89
1656935244.5150535,228.81, 7369.24
1656935245.5166774,160.30, 5136.34
1656935246.5177875,280.82, 8938.05
1656935248.5210438,137.64, 4395.39
1656935249.522759,134.59, 4403.95
1656935250.5245652,139.72, 3993.85
1656935251.5254748,111.95, 4207.73
1656935252.5270529,96.78, 4371.25
1656935253.5287704,91.83, 4490.70
1656935254.5294988,86.07, 4317.97
1656935255.5313115,89.09, 4573.48
1656935256.5324664,98.72, 5160.43
1656935257.5335104,89.21, 4731.64
1656935258.5353968,100.82, 4853.99
1656935259.537106,83.86, 3928.15
1656935260.5387428,90.77, 4036.51
1656935261.5405517,98.61, 4537.75
1656935262.5414941,90.30, 4257.00
1656935263.5433307,97.13, 4281.51
1656935264.545295,101.80, 4328.11
1656935265.546952,100.28, 4325.92
1656935266.5484226,84.51, 4058.26
1656935267.5495155,87.30, 4143.65
1656935268.5512507,93.77, 4928.51
1656935269.5530515,105.30, 5134.58
1656935270.554636,98.37, 4446.57
1656935271.55641,105.29, 4352.93
1656935272.557481,106.70, 4364.85
1656935273.559215,103.87, 4179.93
1656935274.5608568,96.87, 3809.13
1656935275.5624216,108.58, 4428.33
1656935276.5639594,115.98, 4592.92
1656935277.5655582,88.41, 3625.52
1656935278.5674598,5.77, 184.87
1656935279.5692267,6.03, 228.51
1656935280.5709553,8.27, 399.81
1656935281.5726619,4.61, 365.27
1656935282.573484,27.99, 1004.60
1656935283.5751314,126.35, 4464.10
1656935284.5768423,154.82, 6191.82
1656935285.5785584,102.97, 4337.86
1656935286.5802515,111.85, 4559.28
1656935287.581561,111.48, 4369.52
1656935288.5832558,114.75, 4590.99
1656935289.5846677,108.03, 4444.82
1656935290.5855114,120.53, 4686.48
1656935291.5868096,107.29, 4185.93
1656935293.589454,211.97, 8375.81
1656935294.5910988,234.08, 9413.20
1656935295.5927541,263.17, 9895.60
1656935296.5935118,256.74, 9964.64
1656935297.5950577,191.25, 7269.89
1656935298.596548,187.67, 5066.49
1656935299.597495,317.01, 9675.84
1656935300.5990286,277.50, 8573.25
1656935301.600514,270.95, 8696.40
1656935302.6014152,200.53, 6462.40
1656935303.6029778,226.09, 7724.15
1656935304.6045725,232.95, 8590.49
1656935305.6058528,239.68, 8790.73
1656935306.6076314,239.85, 9120.02
1656935307.6093395,244.12, 8800.62
1656935308.611042,265.27, 9221.57
1656935309.612768,269.24, 8909.55
1656935310.61369,272.25, 8794.56
1656935311.6153316,244.79, 8140.98
1656935312.6169472,189.29, 6258.13
1656935313.6184583,233.93, 8171.09
1656935314.6199393,277.62, 9035.57
1656935315.6215043,258.51, 8829.31
1656935316.6231153,201.47, 6575.78
1656935317.6247559,13.91, 334.65
1656935318.625558,6.00, 76.93
1656935319.627258,9.37, 120.66
1656935320.6279647,33.70, 922.77
1656935321.6293917,15.42, 95.31
1656935322.6309905,25.13, 207.63
1656935323.6326988,38.45, 340.05
1656935324.6334088,69.97, 1165.51
1656935325.6350272,155.36, 4570.59
1656935326.6368213,18.30, 75.65
1656935327.638447,37.13, 505.34
1656935328.639182,21.13, 94.03
1656935329.6407745,22.01, 94.78
1656935330.6414394,20.09, 91.37
1656935331.642437,32.83, 108.03
1656935332.6439717,26.74, 96.76
1656935333.6453626,31.49, 94.39
1656935334.6468368,31.45, 112.68
1656935335.6483696,36.45, 218.51
1656935336.6494143,29.80, 101.16
1656935337.6509533,31.73, 99.76
1656935339.6534677,32.69, 100.57
1656935340.6549377,39.38, 114.53
1656935341.6565993,30.27, 101.20
1656935342.6574392,33.93, 109.39
1656935343.6590385,39.43, 256.97
1656935344.660542,31.13, 103.35
1656935345.6613302,29.18, 103.76
1656935346.662897,30.18, 97.36
1656935347.6645424,34.70, 110.76
1656935348.6653674,30.76, 94.01
1656935349.6668458,36.22, 139.56
1656935350.6683395,32.98, 103.45
1656935351.6696312,33.27, 128.56
1656935352.6711588,30.63, 100.12
1656935353.6726108,29.63, 98.50
1656935354.6734037,30.90, 102.65
1656935355.6749222,30.99, 104.55
1656935356.6763897,31.77, 104.20
1656935357.6776881,31.00, 98.77
1656935358.6792922,29.84, 98.21
1656935359.6809022,83.81, 1909.93
1656935360.68255,54.03, 873.53
1656935361.6840806,28.34, 95.76
1656935362.6854606,30.85, 98.25
1656935363.6869743,37.30, 256.50
1656935364.6884794,33.01, 115.75
1656935365.6893775,27.69, 97.35
1656935366.6902246,30.83, 97.82
1656935367.6920006,29.38, 93.42
1656935368.6934006,31.16, 100.30
1656935369.6948216,31.14, 97.82
1656935370.696363,28.13, 91.50
1656935371.6973274,34.48, 111.32
1656935372.6988945,31.01, 99.18
1656935373.7004895,29.50, 100.64
1656935374.7013788,27.07, 95.77
1656935375.7025113,28.67, 92.37
