ts,ul_kBps,dl_kBps
1657031151.1677995,17.63, 15.45
1657031152.203117,15.72, 25.07
1657031153.2497077,27.86, 377.41
1657031154.285525,31.41, 1840.46
1657031155.3177683,23.88, 671.89
1657031156.367003,25.22, 1324.75
1657031157.41827,29.70, 1085.58
1657031158.4478052,15.60, 61.24
1657031159.4820766,34.88, 2400.57
1657031160.516055,40.22, 3305.66
1657031161.5481331,49.20, 3207.87
1657031162.5808802,44.39, 3227.93
1657031163.6231377,43.71, 2946.85
1657031164.676934,41.45, 2884.91
1657031165.7191832,55.28, 3339.32
1657031166.7482548,42.95, 3242.33
1657031167.788917,38.48, 3411.64
1657031168.8296757,40.60, 3244.16
1657031169.8641448,39.13, 3187.25
1657031170.8882244,41.22, 3215.47
1657031171.9185452,41.17, 3170.41
1657031172.946174,40.31, 3332.42
1657031173.9808226,39.34, 3436.43
1657031175.0237617,37.13, 2819.05
1657031176.0585353,45.71, 3439.30
1657031177.0963438,43.22, 3482.57
1657031178.123122,49.80, 3348.33
1657031179.159788,34.14, 2017.35
1657031180.1870267,55.59, 3373.29
1657031181.2279515,53.59, 3289.16
1657031182.2605116,55.98, 3265.07
1657031183.2877364,55.24, 3427.02
1657031184.326272,55.43, 3376.18
1657031185.3584447,57.58, 3233.42
1657031186.3889754,52.17, 2278.87
1657031187.4316173,69.76, 3263.16
1657031188.4691036,68.14, 3196.73
1657031189.5028255,70.61, 3322.60
1657031190.5380921,67.46, 3254.91
1657031191.573107,66.28, 3173.51
1657031192.610308,66.94, 3231.33
1657031193.7375185,62.43, 3127.16
1657031194.799466,68.23, 3254.84
1657031195.8392508,67.57, 3322.75
1657031196.8725302,66.64, 3301.26
1657031197.9100592,59.15, 3329.64
1657031198.9524634,59.86, 3290.24
1657031199.9888048,64.34, 3286.93
1657031201.0184789,54.43, 2600.04
1657031202.0496876,56.42, 2798.19
1657031203.0919054,65.25, 3164.16
1657031204.114165,57.71, 3264.71
1657031205.1461701,60.36, 3249.61
1657031206.176645,66.85, 3296.79
1657031207.2164402,64.21, 3314.34
1657031208.2816124,62.61, 3142.53
1657031209.3221092,54.19, 2351.55
1657031210.358676,60.40, 3206.12
1657031211.400088,64.76, 3396.44
1657031212.4571178,70.02, 3252.50
1657031213.507356,63.51, 3165.19
1657031214.5542824,60.06, 3248.93
1657031215.5925004,64.83, 3300.88
1657031216.6417258,53.31, 2970.03
1657031217.6992476,40.34, 1313.09
1657031218.7486546,11.93, 30.82
1657031219.8078277,10.79, 273.12
1657031220.8376021,10.91, 32.09
1657031221.8851252,17.63, 841.18
1657031222.9310942,30.22, 2113.47
1657031223.9686763,23.99, 1546.26
1657031225.0039585,16.00, 790.32
1657031226.0310774,12.65, 32.57
1657031227.0756402,10.65, 34.89
1657031228.1074758,11.28, 33.10
1657031229.1404576,11.29, 82.64
1657031230.1672773,47.05, 3000.49
1657031231.2068079,34.68, 960.48
1657031232.2453659,38.39, 2045.16
1657031233.2896864,20.03, 162.08
1657031234.3335948,20.04, 43.77
1657031235.3761618,24.27, 46.64
1657031236.4131143,25.38, 53.26
1657031237.4565346,28.56, 48.38
1657031238.4899757,25.81, 39.15
1657031239.537378,22.55, 57.34
1657031240.5666332,26.45, 50.95
