ts,ul_kBps,dl_kBps
1656676606.2400484,0.63, 0.30
1656676607.2701285,4.40, 22.75
1656676608.295758,27.83, 2313.99
1656676609.322886,9.46, 1182.12
1656676610.352545,15.09, 1928.27
1656676611.3997881,2.34, 21.70
1656676612.4221728,11.64, 2777.79
1656676613.4390838,18.77, 4863.38
1656676614.460354,20.63, 5485.44
1656676615.485612,18.05, 5741.12
1656676616.5007615,14.91, 5303.18
1656676617.520335,19.31, 5629.80
1656676618.5401998,8.62, 2741.04
1656676619.56577,19.60, 5313.92
1656676620.5919912,16.21, 5472.88
1656676621.6142042,16.20, 5719.62
1656676622.6444654,19.07, 5268.47
1656676623.6760447,41.51, 6000.06
1656676624.704854,44.15, 5645.59
1656676625.7242186,36.08, 3994.93
1656676626.7375805,48.05, 5501.49
1656676627.761669,54.95, 5969.81
1656676628.7785907,48.97, 5426.06
1656676629.8089123,54.22, 5965.59
1656676630.840037,51.95, 5499.08
1656676631.870363,57.27, 6089.90
1656676632.8994677,52.99, 5713.36
1656676633.9207802,53.81, 5849.49
1656676634.942851,48.55, 5106.92
1656676635.9771874,54.33, 5592.28
1656676636.9974177,26.96, 4323.25
1656676638.0186417,19.72, 4561.20
1656676639.058715,13.43, 4700.54
1656676640.0860972,13.49, 4177.60
1656676641.1000102,13.20, 4625.03
1656676642.1261463,15.02, 4949.48
1656676643.150937,17.03, 5233.03
1656676644.1787949,16.16, 5559.35
1656676645.2093923,15.11, 5371.53
1656676646.223767,13.11, 4872.65
1656676647.2490468,1.69, 249.24
1656676648.272737,0.43, 2.72
1656676649.2819054,0.14, 0.07
1656676650.3070266,7.75, 22.02
1656676651.353493,23.08, 3103.46
1656676652.3756785,6.56, 4.10
1656676653.4026995,13.22, 4.56
1656676654.4228349,13.62, 1.81
1656676655.4570444,11.19, 1.54
1656676656.475384,10.70, 1.75
1656676657.5058799,11.41, 2.15
1656676658.5391693,10.61, 1.63
1656676659.5669663,10.53, 1.53
1656676660.5962536,12.27, 1.67
1656676661.6160686,11.26, 2.04
1656676662.6364071,14.23, 3.23
1656676663.6648278,10.55, 1.58
1656676664.6955125,11.12, 1.61
1656676665.7171445,11.02, 1.62
1656676666.742979,17.83, 13.81
1656676667.7762144,10.45, 1.80
1656676668.807192,10.69, 2.21
