ts,ul_kBps,dl_kBps
1657370866.1249585,0.14, 0.19
1657370867.1684608,4.21, 13.76
1657370868.1967099,29.91, 2223.84
1657370869.212252,5.98, 612.92
1657370870.240938,30.01, 2139.80
1657370871.277545,2.93, 15.31
1657370872.3047893,15.55, 4577.32
1657370873.327001,15.06, 5211.93
1657370874.347592,18.49, 5103.52
1657370875.3625476,15.19, 5474.41
1657370876.3797557,17.14, 6079.43
1657370877.4029903,16.82, 5853.22
1657370878.419532,12.72, 4150.43
1657370879.4353914,14.61, 5347.86
1657370880.4543626,15.55, 5516.44
1657370881.4762056,13.77, 5079.70
1657370882.5025425,15.28, 5318.78
1657370883.5251474,34.59, 5353.51
1657370884.556169,40.98, 5670.10
1657370885.581735,42.55, 5493.21
1657370886.5995224,45.33, 5153.09
1657370887.6199691,46.46, 5622.00
1657370888.650006,38.33, 4842.47
1657370889.6683109,46.77, 5888.74
1657370890.6905723,43.95, 5428.49
1657370891.7232633,47.02, 5744.76
1657370892.7471404,45.37, 5399.11
1657370893.7728283,48.53, 6128.90
1657370894.7946954,45.17, 5412.03
1657370895.8179395,44.50, 5754.33
1657370896.8371148,42.95, 5667.30
1657370897.8527603,42.99, 5531.78
1657370898.8760812,35.33, 5006.81
1657370899.9003334,42.19, 5589.05
1657370900.9219139,44.88, 5638.28
1657370901.949366,45.78, 5832.43
1657370902.9777153,45.75, 5658.20
1657370903.9964492,50.67, 5728.57
1657370905.0222986,13.19, 1553.04
1657370906.0467248,0.67, 10.41
1657370907.0719407,0.29, 0.18
1657370908.0915298,6.60, 37.09
1657370909.110607,10.62, 112.87
1657370910.1456754,13.85, 21.28
1657370911.178766,13.20, 539.16
1657370912.213391,21.23, 2888.77
1657370913.2555978,6.80, 1.26
1657370914.2839801,13.63, 4.44
1657370915.3096228,10.80, 1.88
1657370916.3302584,10.76, 1.36
1657370917.3509696,10.93, 1.52
1657370918.390555,11.75, 1.49
1657370919.4192967,10.34, 1.67
1657370920.4524095,11.11, 1.36
1657370921.483862,10.52, 1.41
1657370922.5081441,10.73, 1.66
1657370923.5366518,15.71, 18.43
1657370924.5677812,10.55, 1.76
1657370925.5984044,10.87, 1.41
1657370926.6297016,16.88, 13.78
1657370927.6632855,10.35, 1.26
1657370928.692374,11.40, 1.89
1657370929.7155254,10.91, 1.45
1657370930.7436028,10.40, 2.51
1657370931.7763946,10.33, 3.44
1657370932.8074572,10.99, 1.27
1657370933.8428311,11.92, 1.45
1657370934.864376,10.74, 1.70
1657370935.886702,10.37, 1.35
1657370936.91921,14.76, 2.61
1657370937.951866,9.68, 1.44
1657370938.9816108,11.03, 1.58
1657370940.0057757,10.31, 1.66
1657370941.040188,10.07, 1.75
1657370942.0672922,9.99, 1.47
1657370943.0873308,10.39, 1.44
1657370944.1216438,10.68, 1.57
1657370945.1554534,11.28, 2.61
1657370946.1786828,10.33, 1.62
1657370947.1984143,10.02, 1.72
1657370948.2291198,11.09, 1.43
1657370949.2614205,9.05, 1.64
1657370950.2968395,11.67, 1.52
1657370951.3307092,10.93, 2.28
1657370952.3561342,11.87, 12.81
1657370953.3841507,23.44, 129.03
1657370954.4258602,18.35, 513.87
1657370955.4673479,33.19, 2552.73
1657370956.5077693,18.19, 49.26
1657370957.534067,12.95, 85.59
1657370958.5615547,15.21, 114.17
1657370959.58744,11.77, 24.06
1657370960.610866,11.76, 25.82
1657370961.6399572,12.93, 138.95
1657370962.6730132,11.66, 68.59
1657370963.6997752,23.83, 1222.26
1657370964.7226307,14.05, 1011.82
1657370965.740152,12.65, 395.83
1657370966.7708187,16.98, 738.35
1657370967.8039358,16.61, 1425.30
1657370968.8276947,20.16, 2558.34
1657370969.8618832,18.69, 1565.22
1657370970.8856106,11.04, 39.40
1657370971.914071,14.22, 46.19
1657370972.9373317,12.03, 44.22
1657370973.9580717,12.26, 39.81
1657370974.9873967,12.08, 42.75
1657370976.0210316,11.15, 47.20
1657370977.044886,11.90, 44.51
1657370978.080438,11.64, 44.24
1657370979.1061995,12.24, 47.95
1657370980.1314714,12.92, 48.57
1657370981.1531308,13.21, 91.03
1657370982.1792803,11.90, 46.76
1657370983.207143,11.46, 50.03
1657370984.2360466,13.59, 51.48
1657370985.262779,13.04, 49.55
1657370986.2819052,11.32, 48.39
1657370987.3088562,12.35, 53.40
1657370988.337143,13.00, 49.81
1657370989.3632677,12.10, 48.24
1657370990.3899896,12.24, 52.10
1657370991.4185984,12.19, 47.65
1657370992.451304,11.73, 51.76
1657370993.4834144,12.52, 49.51
1657370994.5100577,12.21, 51.91
1657370995.5478716,12.06, 49.77
1657370996.5768273,12.00, 51.59
1657370997.6007967,22.26, 3228.10
1657370998.6275709,20.92, 2154.45
1657370999.6657324,12.33, 51.21
1657371000.6967192,12.81, 52.75
1657371001.731567,12.15, 48.66
1657371002.7521296,13.84, 50.70
1657371003.7765849,12.44, 48.28
1657371004.796727,11.77, 47.91
1657371005.8329868,11.71, 50.34
1657371006.8594823,11.61, 50.26
1657371007.8823757,11.27, 46.41
1657371008.911605,12.88, 46.35
1657371009.9363992,11.76, 43.79
1657371010.9665506,12.24, 45.58
1657371011.990975,12.22, 47.30
1657371013.021614,11.51, 51.38
1657371014.063142,12.55, 48.73
1657371015.089546,11.54, 44.46
1657371016.1220639,11.56, 47.54
1657371017.1538205,12.08, 46.13
1657371018.1793962,12.16, 45.45
1657371019.2049484,12.32, 49.07
1657371020.2373047,13.12, 57.55
1657371021.269081,11.68, 54.52
1657371022.299276,10.45, 53.15
1657371023.4324915,12.39, 51.57
1657371024.4847624,15.94, 46.56
1657371025.52433,12.27, 46.10
1657371026.556951,11.74, 45.90
1657371027.5843072,12.19, 45.28
1657371028.6120715,12.10, 51.82
1657371029.6303635,11.96, 49.27
1657371030.6565013,12.10, 46.01
1657371031.6817718,11.43, 43.25
1657371032.7049463,12.73, 46.55
1657371033.7259102,13.02, 48.27
1657371034.7485914,11.53, 43.85
1657371035.7688692,13.13, 42.90
1657371036.791375,11.96, 46.42
1657371037.8159094,11.54, 47.51
1657371038.838986,12.08, 41.84
1657371039.860527,11.93, 47.72
1657371040.8884065,12.16, 38.88
1657371041.9099164,11.39, 41.72
1657371042.9309216,11.87, 40.13
1657371043.9523964,12.77, 36.79
1657371044.9782994,11.96, 36.82
1657371045.9979577,13.39, 48.65
1657371047.0178626,11.82, 50.22
1657371048.0398839,12.25, 49.19
1657371049.0618725,13.22, 46.63
1657371050.0981455,13.84, 51.51
1657371051.12514,12.09, 50.44
1657371052.1482203,11.06, 49.58
1657371053.1747425,15.64, 49.28
1657371054.2098134,12.99, 48.52
1657371055.2314224,12.74, 48.14
1657371056.2623062,11.37, 44.59
1657371057.2857165,12.52, 49.70
1657371058.3180213,12.13, 49.01
1657371059.3431711,12.02, 47.31
1657371060.3684046,12.13, 46.35
1657371061.3917577,11.55, 48.93
1657371062.424756,7.06, 46.17
1657371063.457404,11.56, 49.73
1657371064.4818227,12.17, 47.85
1657371065.5016718,12.01, 45.08
1657371066.5231297,11.95, 45.67
1657371067.5479867,11.81, 49.37
1657371068.5722008,15.40, 49.17
1657371069.5947492,12.05, 45.81
1657371070.6234326,11.55, 49.21
1657371071.6501496,12.43, 48.44
1657371072.6748269,11.89, 37.83
1657371073.711138,12.91, 36.68
1657371074.7358367,12.09, 39.78
1657371075.7621882,12.20, 35.01
1657371076.7922575,12.99, 47.97
1657371077.8166523,12.08, 47.47
1657371078.8395123,11.96, 43.94
1657371079.8731802,12.24, 43.53
1657371080.8943565,15.48, 49.99
1657371081.9196577,11.57, 44.95
1657371082.9540172,11.87, 45.30
1657371083.9783762,12.34, 43.37
1657371085.005505,11.50, 42.32
1657371086.0269818,12.44, 48.66
1657371087.0465102,11.06, 42.12
1657371088.0714655,11.41, 43.22
1657371089.098038,12.83, 44.71
1657371090.121661,11.61, 44.28
1657371091.1466126,12.00, 45.72
1657371092.1817446,11.72, 41.28
1657371093.202349,12.28, 53.79
1657371094.2263727,12.68, 45.74
1657371095.2580736,12.29, 46.07
1657371096.282061,11.88, 49.25
1657371097.3132613,11.26, 44.65
1657371098.33807,11.96, 49.01
1657371099.3634279,19.73, 64.12
1657371100.4005992,11.93, 47.50
1657371101.4269638,11.45, 48.16
1657371102.452059,11.68, 50.12
1657371103.481143,11.86, 48.39
1657371104.505475,11.68, 51.25
1657371105.5401833,12.39, 47.33
1657371106.5729222,12.73, 44.32
1657371107.5976253,11.79, 46.48
1657371108.623751,13.01, 45.49
