ts,ul_kBps,dl_kBps
1657372767.4061005,18.93, 96.48
1657372768.5501888,33.81, 109.57
1657372769.5794017,186.13, 5499.20
1657372770.5893931,215.63, 9338.89
1657372771.602582,159.39, 9738.90
1657372772.6295757,166.34, 8899.23
1657372773.6587317,154.71, 8350.22
1657372774.6965318,143.17, 7197.14
1657372775.7225995,163.57, 6568.32
1657372776.746169,120.49, 8693.62
1657372777.7940545,109.95, 8587.74
1657372778.8240213,107.41, 9291.62
1657372779.8489413,125.05, 9161.74
1657372780.8710873,178.02, 9160.40
1657372781.8945465,216.31, 8964.25
1657372782.9187992,166.99, 9243.40
1657372783.9465125,150.45, 8882.51
1657372784.977193,149.63, 9653.57
1657372786.0049164,237.21, 9606.23
1657372787.0327547,132.47, 9508.38
1657372788.0589888,296.32, 9846.32
1657372789.0853686,325.40, 8296.90
1657372790.106153,376.73, 9414.04
1657372791.133745,347.32, 8339.83
1657372792.1614666,397.72, 10544.08
1657372793.1844072,408.62, 8511.72
1657372794.2015188,263.64, 5645.06
1657372795.2175522,165.68, 5574.74
1657372796.2347155,94.19, 5112.39
1657372797.253885,106.52, 4738.24
1657372798.275871,188.28, 4963.84
1657372799.29348,157.52, 4619.78
1657372800.3069317,178.29, 6213.00
1657372801.3300593,96.62, 5376.88
1657372802.3573925,148.87, 5333.90
1657372803.3752906,141.50, 4991.91
1657372804.3927464,126.64, 4993.55
1657372805.4143069,138.35, 4667.97
1657372806.4379735,131.17, 4636.47
1657372807.4544086,104.13, 4191.39
1657372808.4834235,104.84, 4246.07
1657372809.5052254,173.27, 4439.60
1657372810.525458,123.61, 4980.43
1657372811.5509908,231.63, 4303.86
1657372812.5638738,118.80, 4384.53
1657372813.577901,196.51, 4884.34
1657372814.5938864,184.99, 4796.63
1657372815.6133294,154.92, 4547.15
1657372816.642774,198.84, 4750.25
1657372817.6601582,195.08, 4686.46
1657372818.6797113,221.32, 5016.87
1657372819.693474,234.81, 5539.98
1657372820.714515,126.43, 5230.70
1657372821.736986,242.76, 5121.98
1657372822.754722,82.55, 4805.66
1657372823.7827506,88.76, 4214.46
1657372824.8031895,84.60, 4699.77
1657372825.8236415,91.93, 5223.22
1657372826.8559067,82.59, 5276.85
1657372827.8807106,92.64, 4591.86
1657372828.9084713,211.03, 7201.82
1657372829.9293947,165.78, 8449.35
1657372830.9538617,152.09, 10791.21
1657372831.9757154,118.77, 8507.36
1657372833.0083895,94.90, 9750.67
1657372834.0327382,149.03, 7876.99
1657372835.050545,172.39, 8493.18
1657372836.0781004,253.33, 9887.58
1657372837.1070118,173.36, 8064.41
1657372838.1329234,180.94, 10145.92
1657372839.1630933,172.13, 9531.03
1657372840.1929522,128.03, 9878.63
1657372841.2263424,154.88, 8445.05
1657372842.252697,161.04, 8060.18
1657372843.28536,111.13, 7491.61
1657372844.3099005,158.96, 9116.69
1657372845.338181,130.18, 7335.00
1657372846.3649006,123.41, 9478.36
1657372847.383877,98.54, 9998.59
1657372848.4103,123.69, 8541.52
1657372849.4419203,125.21, 6709.44
1657372850.4692914,104.51, 7540.41
1657372851.4959702,124.40, 9111.00
1657372852.522861,124.48, 7219.28
1657372853.550896,130.97, 8326.83
1657372854.5759912,123.87, 9035.59
1657372855.6039212,131.02, 9217.13
1657372856.6209435,114.11, 8128.99
1657372857.6501207,92.22, 5209.14
1657372858.6783955,91.69, 5645.85
1657372859.7069297,88.60, 5845.71
1657372860.73436,113.63, 4819.95
1657372861.75411,157.85, 7771.62
1657372862.7822337,136.83, 8175.84
1657372863.8131118,157.73, 9093.04
1657372864.8416846,202.69, 9545.67
1657372865.8670623,173.76, 9764.40
1657372866.8966885,222.51, 10093.72
1657372867.9234927,183.46, 8873.30
1657372868.9529161,172.70, 9182.59
1657372869.9841688,160.82, 8111.61
1657372871.00098,179.10, 7917.92
1657372872.029813,206.92, 10009.91
1657372873.050844,233.94, 10543.52
1657372874.0816042,231.28, 10494.34
1657372875.1165655,240.30, 10468.35
1657372876.1324227,220.64, 10724.82
1657372877.163743,162.21, 8855.59
1657372878.190488,143.98, 8920.89
1657372879.217231,197.51, 10758.19
1657372880.245332,201.59, 10693.33
1657372881.273369,197.78, 9783.50
1657372882.3346634,230.62, 10053.37
1657372883.365748,232.01, 10723.43
1657372884.4007757,233.20, 10688.78
1657372885.430087,234.75, 10514.96
1657372886.4587288,239.14, 10770.99
1657372887.562284,227.69, 10289.55
1657372888.7970254,189.39, 9037.00
1657372889.8232906,244.68, 9052.39
1657372890.8509235,189.32, 9282.45
1657372891.88362,220.24, 10539.78
1657372892.9119866,222.91, 11199.96
1657372893.944522,192.30, 10242.14
1657372894.9753077,208.36, 10530.50
1657372896.0004342,276.24, 10019.02
1657372897.0279527,219.22, 9128.74
1657372898.0588176,209.75, 6787.12
1657372899.0944984,138.94, 8136.96
1657372900.1209366,209.57, 8219.47
1657372901.1509843,213.43, 8913.42
1657372902.1823602,323.33, 9532.81
1657372903.20122,178.38, 9006.33
1657372904.2352214,215.81, 8030.65
1657372905.264357,242.41, 10461.46
1657372906.291,142.25, 8870.11
1657372907.319329,236.49, 8120.63
1657372908.3584855,178.51, 8164.74
1657372909.3843448,165.21, 8796.14
1657372910.4249115,251.07, 9702.80
1657372911.456406,234.33, 11078.58
1657372912.5071573,159.98, 7527.79
1657372913.541636,309.71, 11151.82
1657372914.5675125,215.61, 10201.97
1657372915.5978053,218.81, 10561.23
1657372916.6218972,221.28, 10270.46
1657372917.6560166,213.55, 10718.57
1657372918.6873024,232.36, 11276.09
1657372919.7224827,232.15, 12073.39
1657372920.7822547,214.71, 11643.63
1657372921.813595,198.26, 11003.09
