enter_room_ms,avatar_sel_ms,users_no
13814,14071,8
40878,41101,8
56764,59771,8
38505,38811,8
49902,50206,8
50426,51015,8
43866,44335,8
37877,38097,8
13233,13907,2
15904,16128,2
13074,13290,2
108428,112028,16
112187,114964,16
115749,120203,16
85938,86948,16
91877,93218,16
114931,125038,16
114098,117198,16
114231,116367,16
115951,120191,16
83363,84313,16
111314,115096,16
83813,84223,16
105820,107902,16
112304,115106,16
12361,12716,16
90836,91659,16
117554,128776,16
33945,34141,4
12138,12359,4
34407,34603,4
