ts,ul_kBps,dl_kBps
1657291074.3841794,9.91, 49.38
1657291075.4353354,39.48, 290.19
1657291076.4571328,227.48, 18588.47
1657291077.4900317,93.27, 18828.77
1657291078.5192082,58.09, 1833.03
1657291079.542207,146.79, 30517.68
1657291080.561244,117.79, 30652.05
1657291081.5802424,149.65, 31038.49
1657291082.5982435,111.08, 31374.96
1657291083.6112468,106.61, 32379.79
1657291084.6272442,101.55, 31648.73
1657291085.6427338,108.54, 32398.14
1657291086.6550615,124.42, 28831.93
1657291087.677849,110.69, 31236.04
1657291088.69285,105.42, 29161.25
1657291089.7088447,91.82, 28828.19
1657291090.7272172,105.11, 28017.95
1657291091.742653,91.49, 25329.20
1657291092.7606537,95.54, 23316.62
1657291093.7776577,144.32, 27769.95
1657291094.7866542,156.84, 26704.14
1657291095.8078902,241.39, 30240.68
1657291096.8294992,158.90, 19192.69
1657291097.8505023,238.61, 25533.88
1657291098.8591042,181.74, 18996.70
1657291099.8771062,180.58, 19530.74
1657291100.8850036,175.03, 19072.29
1657291101.8949635,183.48, 18648.88
1657291102.9119623,175.14, 17754.40
1657291103.933842,193.43, 20547.77
1657291104.9540255,123.64, 13931.07
1657291105.9730017,217.63, 22443.48
1657291106.9929984,212.53, 26801.36
1657291108.012004,222.22, 30293.38
1657291109.0239992,256.70, 29971.87
1657291110.039085,292.24, 29331.61
1657291111.0491052,249.55, 19361.44
1657291112.0641053,220.15, 18328.80
1657291113.076107,206.84, 18479.13
1657291114.0951068,220.21, 21208.04
1657291115.1131098,217.22, 19705.70
1657291116.1281087,194.86, 16792.23
1657291117.1451058,208.48, 19233.90
1657291118.164108,221.62, 20488.94
1657291119.1951118,208.48, 20438.89
1657291120.2071104,226.24, 21716.78
1657291121.2211056,233.50, 22320.02
1657291122.2351067,214.15, 21237.08
1657291123.2481194,206.51, 21189.94
1657291124.264107,194.13, 20736.62
1657291125.2901142,190.16, 19071.78
1657291126.3101063,182.68, 20862.71
1657291127.3341076,163.07, 20724.08
1657291128.3501065,187.35, 24926.68
1657291129.3651085,186.22, 25746.11
1657291130.3921096,202.58, 29434.77
1657291131.4201107,232.20, 27312.96
1657291132.43711,230.50, 27892.36
1657291133.4561112,222.30, 24770.06
1657291134.4881063,219.97, 28137.85
1657291135.5151095,214.94, 25474.71
1657291136.539108,237.20, 27559.04
1657291137.564107,211.20, 28468.65
1657291138.5811086,219.12, 24241.48
1657291139.606107,134.58, 23311.60
1657291140.6341074,124.03, 18807.84
1657291141.6641073,85.88, 19198.18
1657291142.6861098,80.82, 7764.26
1657291143.709121,73.28, 5509.35
1657291144.7331123,83.03, 445.30
1657291145.7571232,85.14, 546.19
1657291146.7841134,84.29, 6495.11
1657291147.8021076,113.97, 7526.45
1657291148.827115,184.38, 21461.58
1657291149.849113,136.88, 16718.94
1657291150.874114,111.91, 9949.18
1657291151.8911073,80.11, 542.62
1657291152.9171066,105.60, 635.53
1657291153.9391074,102.31, 1361.64
1657291154.9621089,102.12, 627.33
1657291155.988107,98.08, 611.80
1657291156.9991074,86.12, 666.14
1657291158.0201073,85.58, 536.46
1657291159.0331078,97.58, 856.28
1657291160.0491061,93.70, 913.31
1657291161.0721083,95.91, 607.67
1657291162.0891073,129.57, 2291.95
1657291163.1131072,104.46, 921.92
1657291164.1341078,129.33, 3243.39
1657291165.1621065,106.04, 790.38
1657291166.1811073,127.30, 3606.45
1657291167.2101078,117.10, 723.10
1657291168.229106,114.35, 2340.79
1657291169.2491102,114.04, 1480.48
1657291170.2761064,125.75, 3269.23
1657291171.3001065,112.48, 835.55
1657291172.330109,133.26, 3276.31
1657291173.350108,121.07, 927.28
1657291174.3791087,117.11, 2678.36
1657291175.408108,126.01, 3560.82
1657291176.4301069,115.27, 966.75
1657291177.4571073,118.92, 1213.54
1657291178.4801059,107.11, 727.50
1657291179.5021076,110.73, 3115.55
1657291180.5261068,118.79, 3101.02
1657291181.5491061,106.87, 704.35
1657291182.5711055,105.44, 649.50
1657291183.5921052,105.80, 677.81
1657291184.6191075,106.79, 805.61
1657291185.6451085,99.65, 648.26
1657291186.6681077,113.03, 816.80
1657291187.689106,95.35, 615.62
1657291188.7111087,98.48, 630.74
1657291189.7361083,87.42, 587.67
1657291190.7591069,97.24, 636.17
1657291191.7801056,85.78, 590.26
1657291192.8051069,99.13, 771.49
1657291193.8191047,97.42, 634.54
1657291194.8401062,107.05, 707.53
1657291195.8601053,104.55, 687.59
1657291196.884108,106.36, 712.30
1657291197.908107,103.56, 702.11
1657291198.9201076,107.37, 1592.34
1657291199.943106,96.41, 667.10
1657291200.9681077,112.18, 1069.14
1657291201.9801073,102.92, 691.97
1657291203.0071073,93.11, 744.38
1657291204.0311048,101.08, 668.03
1657291205.052105,100.65, 3059.31
1657291206.08111,95.29, 670.32
1657291207.0991068,94.75, 612.72
1657291208.1211069,90.92, 636.41
1657291209.147108,86.63, 603.93
1657291210.1611056,87.37, 594.17
1657291211.1801076,95.34, 646.03
1657291212.203107,91.94, 629.74
1657291213.2301073,87.79, 582.72
1657291214.2561102,86.64, 581.06
1657291215.2791052,88.05, 592.15
1657291216.3011055,92.55, 631.03
1657291217.3281116,86.97, 597.04
1657291218.3481069,90.11, 607.21
1657291219.3751063,91.47, 604.58
1657291220.4001174,86.16, 562.89
1657291221.4101107,89.67, 611.37
1657291222.4381063,87.15, 587.98
1657291223.4621055,88.88, 611.80
1657291224.4861107,92.56, 606.37
1657291225.516108,92.89, 599.08
1657291226.532113,95.03, 634.81
1657291227.548107,87.58, 609.96
1657291228.5701065,89.99, 593.12
1657291229.5981064,85.97, 562.14
1657291230.6211061,89.48, 588.22
1657291231.648107,93.08, 613.61
1657291232.6691062,87.17, 580.70
1657291233.6951103,88.38, 582.69
1657291234.7091057,90.47, 596.81
1657291235.732107,86.24, 572.38
1657291236.7571077,96.74, 626.59
1657291237.7791083,87.54, 601.90
1657291238.7991078,91.14, 598.14
1657291239.8211079,90.82, 607.74
1657291240.8471065,93.37, 602.11
1657291241.8691063,98.48, 666.41
1657291242.8911085,93.34, 637.70
1657291243.9181058,85.30, 587.18
1657291244.9391077,89.50, 601.17
1657291245.9681072,94.02, 597.74
1657291246.979105,97.38, 682.49
1657291248.0001054,88.48, 598.20
1657291249.0121076,92.68, 604.72
1657291250.0271091,89.98, 623.62
1657291251.050106,96.04, 614.05
1657291252.072106,89.84, 640.75
1657291253.0991058,92.73, 605.54
1657291254.1211147,88.17, 610.90
1657291255.1451082,94.01, 615.84
1657291256.1641083,94.24, 636.39
1657291257.1891077,95.99, 658.78
1657291258.2101054,90.42, 607.54
1657291259.2331061,86.46, 580.96
1657291260.2591064,99.01, 635.31
1657291261.2801063,89.38, 619.62
1657291262.2961082,89.22, 591.77
1657291263.3171072,86.11, 592.17
1657291264.3411057,92.20, 607.44
1657291265.3661072,88.68, 589.30
1657291266.3791068,93.83, 627.72
1657291267.3951094,95.13, 638.47
1657291268.4211075,90.83, 620.23
1657291269.4381058,93.15, 596.07
1657291270.4601054,92.08, 631.66
1657291271.4881089,96.01, 629.15
1657291272.510107,92.04, 620.93
1657291273.5411093,94.62, 619.65
1657291274.5631065,92.41, 604.32
1657291275.5771165,93.34, 637.08
1657291276.5881069,93.38, 632.21
1657291277.5991094,92.52, 625.33
1657291278.6221056,92.44, 616.20
1657291279.63611,94.62, 624.09
1657291280.6601062,90.64, 615.77
1657291281.6891072,95.54, 638.19
1657291282.7101057,86.29, 580.42
1657291283.738107,92.04, 592.23
1657291284.7601073,92.37, 624.46
1657291285.7811081,91.31, 605.03
1657291286.793106,90.91, 614.55
1657291287.8211083,92.06, 619.83
1657291288.8461075,99.59, 642.20
1657291289.8671086,90.25, 605.97
1657291290.8781059,93.77, 639.56
1657291291.9021063,94.98, 633.78
1657291292.926107,94.80, 625.33
1657291293.953107,91.40, 609.23
1657291294.9761076,91.64, 609.11
1657291296.000147,95.70, 643.05
1657291297.0241537,93.89, 652.86
1657291298.037148,94.44, 622.29
1657291299.0511367,87.52, 574.40
1657291300.0736504,95.35, 650.80
1657291301.0921135,86.86, 592.16
1657291302.116005,80.86, 577.90
1657291303.1387656,84.74, 586.45
1657291304.1609755,94.67, 616.75
1657291305.181975,97.05, 649.15
1657291306.200977,99.48, 648.04
1657291307.2229745,94.91, 654.72
1657291308.2409759,90.02, 606.79
1657291309.256974,93.36, 627.03
1657291310.279974,92.41, 609.93
1657291311.3019733,94.20, 650.01
1657291312.3269744,87.63, 576.11
1657291313.339985,93.83, 616.17
1657291314.3619745,93.78, 596.07
1657291315.3879738,91.31, 598.97
1657291316.409975,95.19, 593.90
1657291317.4319758,98.62, 621.17
1657291318.457973,102.34, 663.91
1657291319.4679735,97.74, 651.10
1657291320.4769757,99.64, 648.07
1657291321.4879766,97.21, 659.66
1657291322.4999745,91.10, 614.83
1657291323.524983,85.63, 583.38
1657291324.5399754,93.09, 626.33
1657291325.5629754,86.84, 587.94
1657291326.5899742,92.33, 641.93
1657291327.6159775,92.98, 584.37
1657291328.6419735,93.45, 649.50
1657291329.6709774,94.23, 615.90
1657291330.6979737,91.78, 591.99
1657291331.7189736,87.39, 606.07
1657291332.7309737,89.86, 588.15
1657291333.7569723,89.29, 603.30
1657291334.768977,88.98, 576.65
1657291335.7849743,92.39, 604.41
1657291336.7959752,92.61, 637.52
1657291337.8189735,89.14, 573.18
1657291338.8319755,97.15, 635.78
1657291339.846975,90.61, 607.29
1657291340.8589804,89.20, 602.63
1657291341.878976,93.76, 596.26
1657291342.8949752,91.13, 614.19
1657291343.9189768,88.85, 596.46
1657291344.941977,90.57, 602.59
1657291345.952974,88.78, 592.56
1657291346.9789736,93.45, 614.04
1657291348.0049741,91.53, 622.87
1657291349.017977,92.51, 612.41
1657291350.029974,92.63, 623.23
1657291351.0579758,93.74, 642.79
1657291352.0849786,91.97, 624.16
1657291353.1019754,85.80, 595.16
1657291354.1289737,92.48, 607.98
1657291355.1519735,85.16, 607.58
1657291356.166975,88.59, 577.66
1657291357.1819813,90.64, 649.88
1657291358.1979833,92.02, 615.13
1657291359.2129993,88.70, 632.51
1657291360.2289839,86.21, 581.95
1657291361.2459807,96.45, 644.84
1657291362.2579746,88.88, 604.19
1657291363.2739775,93.25, 617.07
1657291364.2809763,91.89, 648.39
1657291365.3009746,90.47, 628.73
1657291366.3149793,91.59, 606.28
1657291367.3249786,91.19, 621.64
1657291368.3379848,86.67, 578.21
1657291369.3529775,90.81, 602.79
1657291370.3659859,85.75, 592.03
1657291371.3819807,92.91, 608.10
1657291372.3939779,88.03, 624.04
1657291373.4079785,93.09, 624.75
1657291374.4229743,84.36, 596.29
1657291375.4399796,84.26, 577.04
1657291376.4519813,86.84, 588.35
1657291377.4679747,89.13, 615.22
1657291378.4789774,93.11, 624.75
1657291379.490975,97.62, 639.34
1657291380.5079746,101.46, 695.98
1657291381.5209723,91.69, 604.59
1657291382.535975,98.01, 694.00
1657291383.5509741,92.91, 656.12
1657291384.5579789,95.03, 657.65
1657291385.5669756,101.25, 682.31
1657291386.5859838,100.88, 716.43
1657291387.5989738,97.12, 685.79
1657291388.6159801,94.48, 657.98
1657291389.6259508,92.94, 632.50
1657291390.6369357,97.10, 649.92
1657291391.6549375,99.69, 695.42
1657291392.6669407,99.86, 670.03
1657291393.6849742,92.75, 655.30
1657291394.7019384,97.14, 647.81
1657291395.711947,96.05, 670.04
1657291396.726948,100.11, 678.23
1657291397.7389402,103.46, 709.79
1657291398.7589552,102.43, 702.59
1657291399.771943,93.64, 646.98
1657291400.7869442,95.63, 659.32
1657291401.7999425,99.22, 683.24
1657291402.8219373,98.71, 694.76
1657291403.8309355,105.38, 709.25
1657291404.840938,98.83, 686.59
1657291405.8509362,97.36, 662.62
1657291406.8639424,101.67, 716.69
1657291407.8809376,97.59, 688.25
1657291408.9019458,101.51, 696.40
1657291409.9199727,98.02, 684.21
1657291410.9339685,97.48, 692.45
1657291411.9429667,97.84, 682.08
1657291412.955969,100.62, 705.68
1657291413.977966,102.46, 695.01
1657291414.985968,99.59, 693.75
1657291416.005967,98.59, 670.54
1657291417.0219696,103.35, 713.58
1657291418.0309734,101.38, 713.92
1657291419.0499682,98.88, 670.42
1657291420.064971,99.72, 694.00
1657291421.0759697,97.13, 679.70
1657291422.0869772,99.23, 695.32
1657291423.095969,97.78, 703.89
1657291424.1109676,97.46, 677.50
1657291425.1250062,98.19, 692.82
1657291426.136984,99.21, 678.22
1657291427.1519675,101.63, 700.20
1657291428.1649764,101.58, 690.01
1657291429.1789691,98.58, 682.00
1657291430.1939704,96.92, 676.19
1657291431.205966,102.30, 695.67
1657291432.216967,99.38, 700.31
1657291433.226969,108.15, 743.04
1657291434.2359776,101.34, 706.79
1657291435.250968,103.01, 693.98
1657291436.2669697,102.36, 680.41
1657291437.2819667,105.43, 716.52
1657291438.3009677,106.01, 722.13
1657291439.310969,102.80, 717.03
1657291440.3239763,101.06, 720.01
1657291441.3409715,99.69, 694.57
1657291442.3539765,99.13, 717.51
