ts,ul_kBps,dl_kBps
1657290511.6932855,0.14, 0.13
1657290512.7110431,4.17, 13.70
1657290513.7279181,26.97, 2246.86
1657290514.7592337,10.46, 1183.28
1657290515.7986588,9.09, 1537.12
1657290516.849047,17.84, 85.91
1657290517.8747194,18.62, 3428.12
1657290518.8925078,4.70, 969.71
1657290519.9117818,17.67, 3836.71
1657290520.9237192,24.75, 4513.80
1657290521.9466438,12.04, 3113.51
1657290522.9847333,16.58, 5623.84
1657290524.0272439,6.84, 2330.11
1657290525.0562873,37.18, 7710.34
1657290526.0716033,8.99, 2252.84
1657290527.098429,2.80, 739.83
1657290528.1263688,10.89, 1654.04
1657290529.1568353,60.04, 2494.23
1657290530.178366,19.44, 3828.38
1657290531.2125592,10.96, 1601.81
1657290532.2532387,32.33, 4012.46
1657290533.3086443,18.08, 2933.65
1657290534.3618388,28.84, 3712.32
1657290535.423128,21.17, 3501.82
1657290536.4590385,15.55, 2551.78
1657290537.4844177,7.14, 689.75
1657290538.5066044,34.59, 3563.75
1657290539.5280678,48.37, 8286.82
1657290540.5479603,63.61, 13710.12
1657290541.5655189,62.42, 15547.18
1657290542.579638,65.96, 18464.71
1657290543.5929637,72.02, 16478.16
1657290544.6300004,66.20, 14912.99
1657290545.6632562,35.61, 5909.57
1657290546.6827004,26.68, 3327.12
1657290547.6937299,24.74, 2896.96
1657290548.7211552,26.32, 2961.10
1657290549.7405186,25.75, 3133.66
1657290550.7631807,29.08, 3118.22
1657290551.7989461,46.36, 6032.22
1657290552.8500876,37.42, 2984.33
1657290553.8928425,38.56, 3070.72
1657290554.9228632,35.82, 3550.22
1657290555.9527204,12.38, 1568.24
1657290556.9730422,8.32, 49.93
1657290557.997962,16.15, 61.24
1657290559.0324001,11.44, 50.13
1657290560.060892,10.49, 57.20
1657290561.0915532,9.73, 62.04
1657290562.1170678,10.60, 62.84
1657290563.1506915,11.43, 57.32
1657290564.1824367,14.67, 59.86
1657290565.212056,14.75, 71.11
1657290566.2487924,12.41, 66.49
1657290567.281757,12.92, 72.11
1657290568.3106601,11.90, 69.36
1657290569.3509562,15.07, 71.72
1657290570.4005568,14.34, 71.64
1657290571.4286788,14.45, 62.83
1657290572.4806175,21.87, 93.59
1657290573.5279353,13.68, 71.73
1657290574.6145968,14.39, 73.96
1657290575.6889517,21.62, 2179.73
1657290576.7323678,10.08, 80.37
1657290577.7764747,12.33, 73.49
1657290578.8085349,12.61, 78.06
1657290579.8536205,15.80, 81.26
1657290580.874906,14.20, 76.21
1657290581.9122822,11.08, 78.20
1657290582.9380522,14.46, 78.79
1657290583.9597702,12.56, 80.33
1657290584.9941454,16.23, 76.38
1657290586.0271506,14.78, 88.68
1657290587.0616162,14.94, 83.18
1657290588.094939,17.04, 83.71
1657290589.130644,14.89, 77.59
1657290590.1622646,14.40, 76.78
1657290591.1919453,14.20, 81.45
1657290592.227843,15.73, 78.67
1657290593.2522736,15.46, 73.26
1657290594.2824411,15.81, 86.44
1657290595.3110867,15.48, 74.78
1657290596.3388073,20.36, 79.91
1657290597.3782551,17.15, 79.34
1657290598.4164212,17.34, 82.36
1657290599.4509141,19.79, 79.72
1657290600.4889467,14.25, 76.34
1657290601.5205336,9.51, 75.55
1657290602.5476613,10.53, 71.77
1657290603.5747676,10.78, 75.85
1657290604.6120327,10.37, 76.51
1657290605.6411443,11.01, 79.56
1657290606.6673331,9.61, 76.81
1657290607.7058294,10.68, 80.40
1657290608.7415104,9.47, 81.94
1657290609.7803175,15.72, 90.58
1657290610.8242826,16.64, 77.49
1657290611.8564012,13.62, 78.86
1657290612.8888652,9.91, 89.58
1657290613.911808,12.42, 87.92
1657290614.9375925,14.38, 87.22
1657290615.9795072,13.66, 66.24
1657290617.0093083,12.82, 66.91
1657290618.0489025,15.73, 87.18
1657290619.0755055,20.22, 98.77
1657290620.1100984,12.66, 91.41
1657290621.1398735,14.29, 88.76
1657290622.1689594,15.90, 87.39
1657290623.198746,15.95, 91.51
1657290624.2250388,13.55, 91.19
1657290625.2679803,14.27, 85.47
1657290626.3070946,17.38, 1838.23
1657290627.3381267,10.33, 161.21
1657290628.3692093,10.90, 245.34
1657290629.392767,11.84, 398.83
1657290630.4304583,14.77, 697.31
1657290631.4594932,14.88, 1087.94
1657290632.4898043,16.46, 1399.05
1657290633.521443,20.19, 3265.66
1657290634.5580761,12.66, 111.33
1657290635.5891955,12.66, 110.04
1657290636.631217,18.59, 103.85
1657290637.6745188,19.31, 127.33
1657290638.7127914,13.79, 101.71
1657290639.7557867,12.96, 144.48
1657290640.799242,13.31, 112.29
1657290641.8328571,19.98, 110.74
1657290642.8779488,14.39, 123.78
1657290643.92302,13.61, 132.17
1657290644.9655306,13.20, 128.76
1657290646.002666,13.65, 114.64
1657290647.0509627,11.10, 103.68
1657290648.0900123,11.41, 114.56
