ts,ul_kBps,dl_kBps
1658237780.5980747,1.31, 6.46
1658237781.6264758,2.00, 7.74
1658237782.64841,17.75, 3046.13
1658237783.6684587,21.01, 5261.37
1658237784.7037618,9.64, 2000.57
1658237785.7389524,6.38, 36.96
1658237786.7537405,58.80, 21846.38
1658237787.767221,28.25, 10344.31
1658237788.7940416,51.82, 23618.74
1658237789.8123395,17.17, 4565.47
1658237790.8297071,1.36, 2.17
1658237791.8449807,3.91, 0.69
1658237792.868834,0.99, 0.55
1658237793.8840973,0.91, 0.49
1658237794.9126074,4.62, 16.42
1658237795.940582,19.64, 118.39
1658237796.9642892,13.02, 100.46
1658237797.9916744,60.38, 6938.39
1658237799.0367615,183.45, 27957.23
1658237800.065681,97.36, 13629.93
1658237801.0970097,10.14, 1.83
1658237802.1254508,7.97, 1.61
1658237803.1519237,8.48, 2.47
1658237804.1793318,8.27, 2.39
1658237805.2051694,10.35, 1.62
1658237806.2306185,8.53, 2.57
1658237807.268679,9.51, 1.70
1658237808.2992926,10.14, 2.77
1658237809.3374045,7.86, 1.38
1658237810.3711946,9.86, 2.75
1658237811.3974807,10.59, 1.51
1658237812.4277022,9.12, 1.47
1658237813.4797273,8.67, 2.88
1658237814.5184278,8.59, 1.15
1658237815.5504549,9.77, 2.17
1658237816.5844634,9.01, 1.69
1658237817.6227617,8.01, 2.28
1658237818.6562707,7.14, 3.42
1658237819.6879237,9.08, 1.36
1658237820.7114456,8.49, 2.75
1658237821.7592266,8.17, 1.26
1658237822.7841413,7.72, 2.14
1658237823.8031623,7.44, 1.04
1658237824.827681,7.22, 2.34
1658237825.8532472,9.21, 1.61
1658237826.874377,14.90, 19.48
1658237827.8986244,7.34, 2.19
1658237828.9222858,10.05, 1.38
1658237829.946928,9.13, 1.74
1658237830.987558,8.19, 1.47
1658237832.0221775,11.51, 1.82
1658237833.0459473,8.80, 3.81
1658237834.0726125,8.77, 6.93
1658237835.106899,8.42, 5.02
1658237836.1471384,9.62, 9.16
1658237837.1814232,8.13, 2.15
1658237838.2187884,7.39, 2.14
1658237839.2538216,7.09, 20.21
1658237840.2977178,9.53, 102.44
1658237841.33809,18.76, 98.65
1658237842.3748543,9.75, 37.14
1658237843.4008083,10.35, 21.83
1658237844.4234104,11.31, 24.51
1658237845.4622436,13.52, 54.88
1658237846.4926195,12.18, 30.77
1658237847.5187976,10.03, 31.13
1658237848.5500069,10.76, 30.26
1658237849.5857894,10.41, 40.80
1658237850.6129305,12.69, 127.32
1658237851.6406,9.38, 27.32
1658237852.6767416,12.03, 29.44
1658237853.7068446,11.31, 26.06
1658237854.7389655,13.12, 35.64
1658237855.7675638,14.64, 48.02
1658237856.798693,11.89, 27.79
1658237857.8218284,11.30, 30.82
1658237858.84607,11.47, 25.73
1658237859.8780289,13.09, 24.33
1658237860.90271,16.89, 41.51
1658237861.9392548,12.48, 23.43
1658237862.9720867,13.20, 29.56
1658237864.007193,12.67, 22.71
1658237865.0428302,12.30, 34.57
1658237866.073253,13.46, 29.23
1658237867.1071317,12.38, 30.80
1658237868.1420925,12.55, 26.66
1658237869.1692028,13.09, 30.24
1658237870.2033846,13.61, 44.35
1658237871.23481,13.45, 31.16
1658237872.2660604,17.29, 41.56
1658237873.297672,13.22, 27.37
1658237874.3355975,12.74, 185.41
1658237875.3709743,13.56, 216.82
1658237876.3986034,13.69, 143.33
1658237877.4331903,12.71, 36.49
1658237878.4546483,12.96, 146.12
1658237879.489037,13.04, 30.06
1658237880.5299542,12.67, 173.67
1658237881.5577247,12.90, 193.03
1658237882.5873134,16.73, 201.34
1658237883.6130853,13.21, 160.15
1658237884.6466641,11.98, 105.94
1658237885.6782386,13.08, 169.22
1658237886.7127502,12.57, 116.09
1658237887.7414074,12.45, 28.22
1658237888.7772233,12.10, 27.09
1658237889.8108256,12.08, 23.39
1658237890.8368392,13.54, 49.30
1658237891.8703363,15.60, 79.68
1658237892.906475,12.30, 21.83
1658237893.9469018,12.55, 76.35
1658237894.9865863,15.34, 39.59
1658237896.0259438,12.60, 15.75
1658237897.061512,12.98, 15.32
1658237898.095331,11.88, 17.92
1658237899.1289716,12.14, 12.91
1658237900.1565988,12.90, 41.12
1658237901.1991117,9.07, 27.26
