ts,ul_kBps,dl_kBps
1658237982.3623667,1.57, 6.84
1658237983.4060616,2.80, 13.13
1658237984.4503655,14.57, 717.29
1658237985.4747002,29.26, 422.22
1658237986.4900649,9.59, 22.23
1658237987.5093498,39.66, 12861.61
1658237988.5387695,21.98, 1395.03
1658237989.560044,1.17, 35.41
1658237990.5713525,34.16, 50.26
1658237991.5980535,64.78, 146.81
1658237992.6129234,10.57, 164.14
1658237993.6328495,5.31, 379.53
1658237994.6550553,26.96, 9277.02
1658237995.697413,20.38, 9646.82
1658237997.7312665,52.49, 5443.87
1658237998.7467322,121.96, 26090.62
1658237999.7581468,159.43, 24821.19
1658238000.784531,70.29, 9823.02
1658238001.8063118,3.26, 0.89
1658238002.825207,3.49, 1.04
1658238003.8403282,3.34, 1.20
1658238004.8602057,3.38, 2.44
1658238005.8855166,4.81, 1.55
1658238006.8992586,10.39, 4.89
1658238007.920002,17.13, 5372.40
1658238008.946728,27.09, 9912.86
1658238009.9632156,4.10, 3.50
1658238010.9926772,3.24, 3.32
1658238012.0251868,4.91, 4.64
1658238013.037442,3.49, 5.61
1658238014.0657525,3.70, 5.09
1658238015.0787935,3.56, 3.61
1658238016.093036,3.43, 4.66
1658238017.1089437,5.32, 5.22
1658238018.1298897,3.39, 3.97
1658238019.150572,7.01, 4.48
1658238020.1664639,3.30, 4.83
1658238021.1999915,8.80, 10.88
1658238022.2251601,3.32, 3.85
1658238023.2554557,3.62, 4.67
1658238024.273333,3.36, 3.98
1658238025.2926784,3.48, 4.03
1658238026.3190928,3.64, 4.11
1658238027.3322015,3.00, 2.91
1658238028.370742,3.25, 4.95
1658238029.393825,6.82, 5.60
1658238030.412923,4.32, 5.39
1658238031.4347947,3.83, 5.09
1658238032.4493678,3.66, 3.33
1658238033.470116,4.67, 4.52
1658238034.4961376,3.90, 4.42
1658238035.523028,3.90, 5.77
1658238036.5557342,3.97, 4.50
1658238037.577724,6.89, 6.21
1658238038.5998921,3.69, 2.86
1658238039.6276038,6.56, 2.70
1658238040.652149,7.10, 9.84
1658238041.665976,9.91, 18.92
1658238042.69572,25.06, 27.11
1658238043.7200458,14.14, 23.47
1658238044.7410276,4.45, 9.48
1658238045.7623143,8.91, 6.63
1658238046.787822,4.23, 6.22
1658238047.8188372,5.23, 8.25
1658238048.846528,4.18, 4.97
1658238049.8810453,5.19, 7.32
1658238050.8994057,3.89, 3.74
1658238051.921258,6.07, 4.84
1658238052.9510462,7.57, 7.24
1658238053.969794,10.45, 7.78
1658238054.983464,18.40, 15.90
1658238055.9954252,12.35, 9.78
1658238057.012289,12.13, 6.08
1658238058.0385299,13.81, 75.95
1658238059.0691123,6.11, 131.24
1658238060.1014569,3.09, 53.50
1658238061.137564,4.07, 36.70
1658238062.16693,5.33, 23.98
1658238063.2088957,5.06, 30.72
1658238064.2453423,6.30, 44.61
1658238065.2746496,4.08, 83.34
1658238066.3029096,17.46, 52.31
1658238067.356134,2.98, 10.78
1658238068.383389,10.77, 19.09
1658238069.4260354,5.74, 11.08
1658238070.5336838,6.97, 11.15
1658238071.577799,5.97, 10.58
1658238072.607973,5.37, 11.72
1658238073.6405058,5.02, 12.21
1658238074.6634858,8.27, 13.88
1658238075.6835883,5.57, 11.51
1658238076.7130342,8.95, 14.14
1658238077.7452981,5.40, 12.25
1658238078.7712831,12.67, 15.70
1658238079.803873,5.66, 13.01
1658238080.8536339,21.21, 167.43
1658238081.8771937,5.03, 251.90
1658238082.910467,8.62, 458.81
1658238083.9342656,7.59, 336.77
1658238084.9574387,8.51, 242.21
1658238085.9756246,5.19, 227.41
1658238087.007015,8.57, 313.63
1658238088.042961,5.36, 116.53
1658238089.0971985,7.66, 88.15
1658238090.1467683,5.31, 210.77
1658238091.1707404,10.75, 136.36
1658238092.2037363,4.45, 348.23
1658238093.2325294,7.23, 537.51
1658238094.2568438,4.77, 363.44
1658238095.2820957,9.56, 733.19
1658238096.298524,7.65, 1329.68
1658238097.3242042,14.29, 2780.31
1658238098.3509426,6.89, 540.42
1658238099.3719163,7.55, 18.20
1658238100.4033053,5.25, 52.07
1658238101.4339592,8.94, 30.97
1658238102.506155,20.56, 6209.29
1658238103.5979316,5.03, 17.25
1658238104.6206753,5.08, 19.78
1658238105.654023,8.78, 15.74
1658238106.694459,6.54, 12.25
1658238107.720781,8.50, 11.91
1658238108.7615407,4.84, 20.06
1658238109.7919378,5.14, 64.84
