ts,ul_kBps,dl_kBps
1658226915.69575,1.38, 6.56
1658226916.7263305,8.23, 12.28
1658226917.771049,11.90, 109.84
1658226918.807583,1.68, 244.05
1658226919.8277338,6.28, 1535.21
1658226920.8436148,11.16, 123.70
1658226921.8780706,24.46, 551.72
1658226922.9113197,8.17, 2145.78
1658226923.9371426,1.88, 14.87
1658226924.9619968,2.60, 843.82
1658226925.9889944,27.09, 10905.01
1658226927.0034783,52.24, 26054.50
1658226928.0169425,42.77, 21035.26
1658226929.0402055,0.45, 0.24
1658226930.0515423,0.65, 242.84
1658226931.0720737,0.30, 0.12
1658226933.1055036,9.19, 22.39
1658226934.134845,18.81, 126.93
1658226935.1594348,16.03, 102.79
1658226936.1895115,14.36, 1470.37
1658226937.2111356,11.42, 1.46
1658226938.2323213,112.76, 12465.27
1658226939.2529793,186.37, 27524.50
1658226940.2810578,54.73, 7327.78
1658226941.3059561,10.40, 1.51
1658226942.3398979,9.32, 1.46
1658226943.3747227,12.42, 1.87
1658226944.389882,13.30, 2.04
1658226945.4185276,9.30, 1.71
1658226946.4389815,7.57, 1.22
1658226947.460063,9.06, 1.14
1658226948.4882653,8.78, 1.62
1658226949.5197146,7.79, 1.28
1658226950.540451,7.44, 1.05
1658226951.5646775,8.74, 1.50
1658226952.589515,8.13, 1.45
1658226953.6125977,10.53, 1.75
1658226954.640508,7.95, 1.42
1658226955.6561403,7.97, 1.30
1658226956.6798284,7.27, 1.11
1658226957.7147362,16.72, 4.53
1658226958.7372234,8.84, 4.18
1658226959.7534564,9.30, 1.44
1658226960.7851002,7.36, 1.21
1658226961.798964,8.83, 1.57
1658226962.8148339,8.17, 1.37
1658226963.830048,9.66, 1.70
1658226964.8499007,7.46, 1.23
1658226965.87109,7.79, 1.34
1658226966.8867545,8.28, 2.50
1658226967.9153395,7.50, 1.63
1658226968.9342122,7.79, 1.24
1658226969.9549916,8.52, 2.63
1658226970.9705925,9.43, 1.66
1658226971.9980555,9.02, 1.49
1658226973.015708,10.98, 1.54
1658226974.034213,7.59, 2.39
1658226975.0656095,8.82, 2.13
1658226976.0979345,9.03, 1.30
1658226977.1296897,15.75, 14.43
1658226978.1567662,10.23, 1.86
1658226979.1849482,11.57, 1.83
1658226980.2143228,7.48, 1.56
1658226981.2440813,13.26, 15.70
1658226982.2674155,15.42, 115.47
1658226983.2927632,12.06, 886.07
1658226984.3323658,13.97, 1952.52
1658226985.3709307,12.04, 14.56
1658226986.397694,9.01, 16.98
1658226987.430213,9.96, 22.63
1658226988.4478068,11.26, 33.71
1658226989.4782128,13.05, 55.87
1658226990.5091245,10.92, 81.70
1658226991.5349934,8.02, 12.29
1658226992.5655563,7.75, 12.42
1658226993.5935593,13.42, 19.73
1658226994.6248326,8.89, 11.35
1658226995.6526434,9.85, 11.63
1658226996.681959,8.58, 12.17
1658226997.7138314,10.43, 12.85
1658226998.7405012,9.13, 14.88
