ts,ul_kBps,dl_kBps
1658215930.2288349,1.35, 6.65
1658215931.260934,2.21, 7.90
1658215932.2933457,4.96, 82.23
1658215933.314221,20.30, 2558.67
1658215934.3421452,10.20, 2030.37
1658215935.374093,6.16, 37.20
1658215936.39287,29.79, 6504.51
1658215937.405948,53.53, 21484.57
1658215938.4198234,19.15, 8748.46
1658215939.4486015,49.48, 21584.45
1658215940.4768515,0.79, 238.63
1658215941.4921377,0.12, 0.17
1658215942.5104156,3.73, 6.18
1658215943.5237029,0.13, 0.19
1658215944.5414958,4.09, 6.44
1658215945.5634491,8.57, 125.71
1658215946.5778236,14.22, 123.14
1658215947.6018705,40.97, 4686.15
1658215948.620541,170.97, 27200.90
1658215949.6476586,126.20, 18835.02
1658215950.6689274,4.23, 0.78
1658215951.6937559,4.34, 1.03
1658215952.717028,6.39, 1.58
1658215953.7400658,3.63, 0.66
1658215954.751488,3.36, 0.55
1658215955.7734559,3.72, 0.86
1658215956.790397,3.92, 1.08
1658215957.813125,3.37, 1.12
1658215958.8347526,3.51, 0.88
1658215959.8513849,3.64, 0.80
1658215960.866639,3.26, 0.98
1658215961.882661,8.98, 2.76
1658215962.892872,8.76, 2.58
1658215963.9136558,3.23, 1.04
1658215964.922995,3.08, 0.71
1658215965.9418721,3.67, 1.15
1658215966.962817,3.57, 0.93
1658215967.986764,3.33, 0.70
1658215969.0082958,3.31, 1.33
1658215970.0266895,6.07, 1.65
1658215971.049147,3.51, 1.13
1658215972.071218,3.64, 0.63
1658215973.0955656,3.52, 0.70
1658215974.1184652,3.15, 0.80
1658215975.136804,8.66, 2.31
1658215976.1537,3.55, 1.10
1658215977.1666715,3.77, 0.85
1658215978.1899276,3.51, 0.86
1658215979.2084646,3.51, 0.79
1658215980.2301803,3.43, 0.77
1658215981.2473345,3.83, 1.49
1658215982.2668595,3.64, 1.23
1658215983.2845442,3.44, 1.76
1658215984.3039634,3.16, 2.89
1658215985.324964,6.02, 2.95
1658215986.3477948,9.69, 20.27
1658215987.368756,3.69, 0.70
1658215988.3853073,3.62, 0.81
1658215989.4075716,3.27, 0.71
1658215990.4228528,7.98, 8.45
1658215991.4527338,14.93, 161.77
1658215992.4814103,10.03, 14.88
1658215993.5067484,22.72, 2031.30
1658215994.5421329,18.71, 2569.46
1658215995.568608,29.22, 4727.13
1658215996.588687,41.83, 11272.34
1658215997.612869,46.84, 21028.85
1658215998.6349745,48.66, 20651.75
1658215999.653732,34.98, 10587.86
1658216000.6720605,7.37, 247.38
1658216001.6973176,4.97, 4.66
1658216002.711709,4.30, 6.60
1658216003.7265868,4.46, 9.66
1658216004.7496955,7.76, 35.15
1658216005.77062,6.51, 21.66
1658216006.7950976,25.58, 242.92
1658216007.8228512,21.27, 88.60
1658216008.8564382,121.26, 14711.12
1658216009.9020922,180.14, 27502.14
1658216010.9249876,62.50, 7289.71
1658216011.9506938,17.51, 18.54
1658216012.9718301,16.36, 18.66
1658216013.9953198,15.81, 16.89
1658216015.0213492,16.88, 19.20
1658216016.0531821,18.70, 20.48
1658216017.0777247,16.21, 19.09
1658216018.1087465,14.64, 21.86
1658216019.133622,23.03, 21.58
1658216020.1650543,20.27, 22.77
1658216021.1845307,18.78, 21.38
1658216022.2038834,19.99, 22.79
1658216023.230362,17.42, 20.23
1658216024.2501864,17.89, 20.36
1658216025.27376,16.76, 19.88
1658216026.301189,18.18, 20.05
1658216027.329959,26.31, 25.01
1658216028.3515375,18.55, 22.78
1658216029.3731892,12.11, 15.91
1658216030.3943753,15.25, 15.42
1658216031.415029,23.56, 24.48
1658216032.434844,20.57, 23.78
1658216033.4559531,19.80, 22.78
1658216034.4761515,19.99, 22.94
1658216035.495126,21.21, 29.74
1658216036.5164356,15.52, 20.56
1658216037.548846,14.15, 15.47
1658216038.5814373,23.01, 23.16
1658216039.6138213,21.55, 24.76
1658216040.6503844,20.43, 23.37
1658216041.685324,14.60, 17.64
1658216042.719904,17.73, 24.49
1658216043.7483633,20.12, 24.21
1658216044.8310921,23.90, 29.98
1658216045.8744884,30.97, 119.30
1658216046.9032373,32.55, 1762.33
1658216047.9352908,24.59, 597.39
1658216048.9717498,27.08, 2012.51
1658216050.0065718,37.55, 106.08
1658216051.0387185,26.77, 58.16
1658216052.1056998,78.98, 22991.24
1658216053.1714113,65.47, 22724.04
1658216054.2234468,53.11, 15099.02
1658216055.2851696,71.36, 61.63
