ts,ul_kBps,dl_kBps
1658238883.6456532,1.39, 7.76
1658238884.6735215,2.22, 9.13
1658238885.7159069,11.76, 85.37
1658238886.7339323,24.15, 7795.74
1658238887.747762,13.48, 2633.73
1658238888.7679977,6.89, 48.10
1658238889.792797,49.19, 17366.39
1658238890.8053517,36.55, 17619.84
1658238891.836937,51.79, 21871.16
1658238892.857717,18.53, 3151.02
1658238893.8746166,4.78, 265.60
1658238894.8880396,1.63, 7.71
1658238895.9090245,1.52, 8.59
1658238896.9215643,1.66, 7.71
1658238897.939526,3.41, 20.03
1658238898.9869943,15.76, 1328.11
1658238900.040146,12.63, 1099.39
1658238901.091784,58.73, 6339.56
1658238902.1364253,177.94, 27102.38
1658238903.171944,88.30, 12424.00
1658238904.2019794,9.98, 10.65
1658238905.2421813,10.90, 10.96
1658238906.2650015,9.44, 8.95
1658238907.2908528,10.24, 8.40
1658238908.3227673,9.34, 8.91
1658238909.3545892,10.60, 9.92
1658238910.3877516,13.62, 18.03
1658238911.422279,9.22, 8.49
1658238912.4425943,8.33, 8.23
1658238913.473284,9.19, 10.67
1658238914.495004,10.29, 11.62
1658238915.5271313,10.83, 8.62
1658238916.5573826,7.93, 11.35
1658238917.6039534,10.58, 17.69
1658238918.6419098,9.71, 10.80
1658238919.675725,9.27, 9.15
1658238920.700879,15.49, 17.87
1658238921.7326877,10.80, 9.53
1658238922.7669265,8.83, 8.54
1658238923.8016994,10.05, 9.64
1658238924.8417373,9.56, 9.82
1658238925.8793397,10.38, 10.03
1658238926.9215877,9.74, 8.01
1658238927.954364,9.26, 6.72
1658238928.990061,9.26, 3.86
1658238930.0306826,9.87, 3.66
1658238931.0612383,9.16, 8.63
1658238932.1109943,7.76, 9.39
1658238933.1552804,8.34, 8.11
1658238934.1894684,10.32, 8.93
1658238935.2301836,10.52, 9.11
1658238936.2706547,8.54, 7.79
1658238937.3084564,12.30, 5.17
1658238938.3431916,7.74, 3.31
1658238939.3818417,7.83, 2.03
1658238940.4294417,10.43, 20.01
1658238941.482706,11.66, 69.96
1658238942.516769,11.30, 175.88
1658238943.5528388,11.26, 194.96
1658238944.5995405,19.14, 187.26
1658238945.6417615,10.92, 154.38
1658238946.6765263,9.99, 91.61
1658238947.7223606,10.67, 198.67
1658238948.7485726,9.67, 32.95
1658238949.7821772,12.34, 18.61
1658238950.8114886,9.38, 19.54
1658238951.8408995,12.86, 18.45
1658238952.8731804,9.03, 16.60
1658238953.9063544,10.48, 40.76
1658238954.946459,10.59, 42.88
1658238955.9801812,10.46, 23.74
1658238957.0129545,9.66, 25.79
1658238958.052853,9.58, 31.11
1658238959.0780034,10.75, 114.26
1658238960.1125133,10.32, 208.13
1658238961.1564772,9.95, 203.93
1658238962.1995497,9.97, 205.97
1658238963.231804,10.71, 174.73
1658238964.2621744,14.24, 190.78
1658238965.2913108,16.07, 152.14
1658238966.333733,13.53, 193.18
1658238967.3768435,12.28, 170.04
1658238968.4177954,12.75, 153.35
1658238969.4531934,13.41, 218.72
1658238970.4835744,13.32, 162.22
1658238971.5149093,12.89, 135.63
1658238972.5451722,12.52, 163.06
1658238973.5829637,12.93, 184.39
1658238974.6165085,12.20, 212.17
1658238975.6625385,11.99, 184.31
1658238976.7007577,12.52, 175.74
1658238977.7329154,12.77, 159.12
1658238978.7656107,13.73, 163.15
1658238979.807143,13.30, 210.84
1658238980.8508844,12.91, 228.77
1658238981.8850005,11.73, 147.83
1658238982.9164662,12.18, 175.47
1658238983.9399478,12.59, 180.32
1658238984.9812024,12.52, 162.44
1658238986.0204787,16.89, 151.24
1658238987.0534532,11.92, 182.40
1658238988.0906634,12.25, 173.31
1658238989.114321,12.79, 79.73
1658238990.139883,12.54, 82.64
1658238991.1706355,16.02, 130.83
1658238992.2009075,12.31, 187.54
1658238993.2338374,13.62, 191.96
1658238994.2678707,13.01, 159.73
1658238995.3006263,12.93, 149.38
1658238996.3470378,14.27, 160.92
1658238997.3760178,11.92, 137.78
1658238998.406455,13.57, 61.16
