ts,ul_kBps,dl_kBps
1658227502.9898858,6.88, 8.57
1658227504.0216918,2.78, 11.96
1658227505.0624926,14.15, 716.93
1658227506.0862417,38.06, 448.13
1658227507.1267006,8.78, 19.76
1658227508.1497328,34.02, 9840.70
1658227509.1681452,26.84, 4596.81
1658227510.1891599,2.05, 31.92
1658227511.2034483,27.19, 55.88
1658227512.2240756,63.37, 217.27
1658227513.2659967,46.04, 18357.24
1658227514.2856998,0.10, 1.07
1658227515.3010962,2.47, 0.43
1658227516.3154078,29.66, 10.78
1658227517.3297029,5.00, 5.39
1658227518.3501835,30.17, 6557.35
1658227519.3638062,120.98, 23653.14
1658227520.379523,175.25, 26979.46
1658227521.4015877,59.35, 6279.50
1658227522.4194908,3.18, 1.01
1658227523.4399693,3.44, 1.26
1658227524.460927,3.52, 1.49
1658227525.4779403,3.19, 1.35
1658227526.495299,3.07, 1.17
1658227527.5109017,6.27, 3.67
1658227528.5281298,3.51, 1.32
1658227529.5465488,1.98, 0.72
1658227530.5621502,5.07, 1.57
1658227531.578675,5.18, 2.04
1658227532.601227,1.99, 0.93
1658227533.6257331,1.82, 0.55
1658227534.6448216,2.00, 0.69
1658227535.6661625,5.00, 1.73
1658227536.684792,4.68, 1.63
1658227537.7089093,1.73, 0.83
1658227538.725948,2.36, 0.61
1658227539.7466822,3.30, 1.01
1658227540.766241,3.03, 1.64
1658227541.785838,11.88, 2.21
1658227542.7973902,3.91, 1.28
1658227543.8089108,3.41, 1.08
1658227544.8380878,4.63, 1.38
1658227545.8580055,3.53, 1.13
1658227546.878313,9.13, 2.29
1658227547.9010859,4.22, 2.10
1658227548.9240227,4.06, 1.15
1658227549.9418626,4.35, 1.27
1658227550.9646566,3.45, 1.40
1658227551.9878445,6.79, 1.20
1658227553.0035903,3.80, 2.04
1658227554.0230138,3.99, 1.27
1658227555.0495017,4.24, 1.08
1658227556.0712368,5.84, 1.52
1658227557.0901725,3.19, 1.16
1658227558.1215386,9.78, 5.67
1658227559.1400523,3.48, 1.14
1658227560.1596758,3.05, 1.09
1658227561.1863248,3.00, 0.97
1658227562.2087383,4.67, 1.44
1658227563.225987,3.87, 1.27
1658227564.2654886,17.71, 20.04
1658227565.2877,6.89, 3.81
1658227566.323631,16.67, 3341.01
1658227567.3500147,17.48, 6836.09
1658227568.3730195,12.81, 7.48
1658227569.4028432,5.34, 5.33
1658227570.4326425,5.90, 4.53
1658227571.453874,5.51, 4.70
1658227572.4790015,5.91, 4.46
1658227573.5052693,5.95, 4.15
1658227574.5344682,7.85, 5.43
1658227575.5648515,6.38, 4.62
1658227576.5939143,6.45, 4.53
1658227577.6190507,5.15, 4.33
1658227578.6493268,8.65, 4.91
1658227579.6811252,5.14, 5.00
1658227580.7014627,5.21, 4.56
1658227581.7343464,5.85, 4.74
1658227582.7620234,6.26, 5.42
1658227583.7864928,5.16, 4.03
1658227584.8092327,8.13, 8.12
1658227585.841824,6.87, 8.26
1658227586.866713,5.71, 4.70
1658227587.8860178,5.25, 4.62
1658227588.9070187,11.93, 6.12
1658227589.938889,5.90, 5.59
1658227590.9649296,6.73, 9.19
1658227591.9845152,5.73, 35.32
1658227593.0099132,5.03, 28.59
1658227594.042476,6.20, 93.70
1658227595.076002,3.92, 4.52
1658227596.109327,4.65, 5.00
1658227597.1203318,9.41, 11.98
1658227598.149499,5.44, 4.80
1658227599.174409,10.78, 5.71
1658227600.1940722,5.60, 5.73
1658227601.2225895,6.62, 5.17
1658227602.2585406,7.28, 5.66
1658227603.2779899,5.40, 4.33
1658227604.3081403,6.05, 4.52
1658227605.3367724,6.45, 4.38
1658227606.3634982,6.84, 4.86
1658227607.379374,6.65, 4.64
1658227608.4124177,8.74, 5.30
1658227609.442135,7.03, 4.97
1658227610.472513,9.14, 6.02
1658227611.4980898,9.17, 6.05
1658227612.5271893,6.42, 4.71
1658227613.554207,8.46, 5.07
1658227614.5860379,12.16, 6.52
1658227615.6040368,4.87, 4.66
1658227616.6287148,27.31, 10091.54
1658227617.6576371,4.44, 4.94
1658227618.6863737,6.04, 6.51
1658227619.709815,7.71, 7.90
1658227620.7262433,10.04, 7.51
1658227621.746319,4.97, 7.31
1658227622.7740123,8.50, 18.48
1658227623.795467,5.58, 7.35
1658227624.827406,4.37, 6.05
1658227625.854219,9.84, 8.20
1658227626.86855,7.59, 7.73
1658227627.9002633,8.04, 8.28
1658227628.932288,8.07, 8.38
1658227629.9604313,8.71, 8.81
1658227630.9893062,15.56, 16.87
1658227632.0206387,11.22, 9.70
1658227633.0561664,7.57, 8.44
1658227634.0786297,7.40, 8.30
1658227635.1074123,7.97, 8.72
1658227636.144385,9.23, 8.80
1658227637.1736267,7.25, 8.75
1658227638.2022388,7.45, 8.17
1658227639.2328641,7.34, 8.38
1658227640.2569773,7.38, 8.59
1658227641.2820685,11.09, 9.64
1658227642.3114448,9.98, 8.66
1658227643.3389664,7.43, 9.43
1658227644.3665192,7.44, 8.93
1658227645.3956826,7.09, 8.61
1658227646.4159791,7.13, 8.54
1658227647.4414032,13.40, 9.68
1658227648.4754262,11.77, 10.67
1658227649.490859,7.34, 8.83
1658227650.5186973,7.43, 8.86
1658227651.548445,10.32, 9.39
1658227652.5796132,7.03, 8.27
1658227653.6065557,7.25, 9.20
1658227654.6296067,8.07, 8.65
1658227655.6579638,7.68, 8.55
1658227656.6847286,7.93, 8.61
1658227657.6982896,7.56, 8.47
1658227658.7298095,13.69, 10.56
1658227659.7604868,7.87, 8.34
1658227660.7877789,10.04, 9.51
