ts,ul_kBps,dl_kBps
1658238645.448896,1.25, 6.38
1658238646.4922197,3.63, 13.37
1658238647.5194,26.25, 1061.58
1658238648.564275,19.19, 98.62
1658238649.5838096,21.40, 49.56
1658238650.5994318,32.20, 10494.27
1658238651.619701,27.41, 3908.93
1658238652.6361122,1.72, 32.91
1658238653.646409,25.33, 66.99
1658238654.672105,69.97, 258.04
1658238655.700682,67.49, 16839.85
1658238656.7287803,4.68, 2267.29
1658238657.751028,3.07, 1.31
1658238658.780413,2.56, 7.73
1658238659.797429,2.05, 5.46
1658238660.829139,8.41, 3.50
1658238661.8564556,28.43, 4479.22
1658238662.8815122,68.61, 29733.91
1658238663.9036427,3.91, 5.76
1658238664.9186058,3.67, 5.24
1658238665.9469256,5.89, 6.72
1658238666.9654603,5.22, 5.13
1658238667.9931858,4.01, 4.12
1658238669.0168524,8.12, 8.75
1658238670.0483136,19.16, 8.22
1658238671.0715544,10.30, 17.59
1658238672.0855913,24.83, 31.99
1658238673.1037707,13.66, 12.17
1658238674.1325643,5.17, 9.76
1658238675.1577845,4.53, 6.98
1658238676.1717088,3.88, 8.70
1658238677.1907666,4.50, 7.64
1658238678.2211995,4.13, 7.48
1658238679.2477083,4.39, 6.52
1658238680.262011,4.19, 7.86
1658238681.2958121,4.30, 7.23
1658238682.3330345,7.24, 15.83
1658238683.3543644,15.24, 15.90
1658238684.3728511,4.77, 7.54
1658238685.4015813,4.28, 6.42
1658238686.4346995,4.08, 6.81
1658238687.453717,4.35, 6.86
1658238688.4736378,6.90, 15.52
1658238689.5062084,4.39, 7.87
1658238690.5285115,5.82, 11.71
1658238691.5450506,7.42, 7.89
1658238692.5758994,4.26, 5.60
1658238693.5969393,6.86, 6.67
1658238694.6255243,10.28, 8.46
1658238695.6472845,4.38, 7.59
1658238696.6649227,4.64, 7.27
1658238697.695748,4.44, 6.48
1658238698.721831,3.45, 4.85
1658238699.746602,4.11, 5.49
1658238700.772264,4.25, 6.86
1658238701.7978792,4.19, 7.12
1658238702.8277798,7.21, 7.54
1658238703.858643,14.79, 16.65
1658238704.8796916,21.03, 16.49
1658238705.901866,20.55, 22.92
1658238706.9236164,5.45, 10.45
1658238707.952418,12.15, 14.91
1658238708.9777236,13.47, 167.04
1658238710.0071118,18.45, 19.69
1658238711.031018,20.04, 18.83
1658238712.0591977,7.97, 177.67
1658238713.105258,3.58, 186.86
1658238714.1634026,7.54, 147.59
1658238715.1848063,2.79, 56.61
1658238716.2220635,4.33, 146.29
1658238717.2696488,9.81, 308.77
1658238718.3094747,7.55, 1092.57
1658238719.3376594,91.63, 13151.27
1658238720.3901467,145.15, 23150.14
1658238721.444545,78.45, 10229.08
1658238722.4843082,9.13, 2676.39
1658238723.5188355,10.20, 3355.41
1658238724.5515602,4.44, 298.51
1658238725.5801094,4.79, 284.47
1658238726.6089234,6.73, 314.06
1658238727.635762,8.97, 333.51
1658238728.6638196,4.75, 157.18
1658238729.6897974,4.85, 354.45
1658238730.7159693,4.33, 215.97
1658238731.7591796,8.25, 322.95
1658238732.7916842,35.70, 261.45
1658238733.8133998,3.66, 263.60
1658238734.858911,4.31, 302.17
1658238735.8852015,5.48, 280.81
1658238736.9184551,4.64, 335.80
1658238737.945843,7.84, 323.04
1658238738.9662218,4.80, 342.95
1658238739.9859028,4.74, 164.48
1658238741.0167294,18.66, 5238.53
1658238742.03796,4.34, 382.93
1658238743.0763896,8.42, 357.05
1658238744.1124618,5.09, 376.59
1658238745.131011,6.96, 383.88
1658238746.1560001,5.66, 305.07
1658238747.191969,5.60, 328.64
1658238748.2231522,7.45, 282.76
1658238749.2459924,8.21, 393.08
1658238750.2857203,5.85, 379.41
1658238751.3138611,8.65, 358.30
1658238752.3491492,5.29, 369.99
1658238753.3879862,10.80, 365.69
1658238754.4118528,5.86, 364.27
1658238755.4407804,5.56, 354.33
1658238756.477601,5.42, 378.59
1658238757.5177436,8.23, 301.73
