ts,ul_kBps,dl_kBps
1658223547.07474,3.24, 80.60
1658223548.0976,4.03, 91.24
1658223549.1234028,8.76, 268.16
1658223550.1651282,41.87, 1050.13
1658223551.204808,9.49, 101.68
1658223552.2242155,13.71, 1590.23
1658223553.28913,55.74, 12103.57
1658223554.3336995,4.71, 122.47
1658223555.3578331,4.66, 85.62
1658223556.3977356,35.36, 133.31
1658223557.417128,61.25, 121.79
1658223558.449119,27.08, 341.92
1658223559.4718528,32.92, 750.33
1658223560.4902132,45.03, 2732.49
1658223561.5080035,40.23, 5666.92
1658223562.5342097,38.57, 7661.74
1658223563.5647178,115.12, 17933.12
1658223564.5878966,185.32, 28769.02
1658223565.6179047,40.69, 5497.13
1658223566.649153,5.28, 83.88
1658223567.6703508,72.03, 18814.61
1658223568.6996942,40.73, 146.62
1658223569.7133265,5.65, 101.22
1658223570.7324722,5.04, 81.03
1658223571.7458596,4.46, 64.17
1658223572.7632458,4.78, 77.77
1658223573.7876878,4.63, 74.65
1658223574.8129184,4.70, 77.55
1658223575.836538,4.94, 78.93
1658223576.859629,5.69, 88.93
1658223577.882898,4.62, 85.95
1658223578.9101107,8.32, 89.57
1658223579.9355776,6.17, 81.61
1658223580.957435,4.31, 87.39
1658223581.9819603,3.77, 83.33
1658223583.0094576,4.96, 83.40
1658223584.03745,10.81, 83.09
1658223585.065461,4.86, 89.50
1658223586.0817628,2.96, 83.45
1658223587.1064816,6.45, 85.99
1658223588.1288605,4.49, 82.03
1658223589.1584885,3.03, 84.59
1658223590.1861637,9.81, 82.26
1658223591.2037547,5.42, 86.44
1658223592.2195773,3.46, 78.88
1658223593.2476282,3.18, 79.54
1658223594.2751591,5.03, 79.07
1658223595.3011124,2.64, 89.85
1658223596.3249629,3.36, 83.97
1658223597.3516037,2.81, 82.29
1658223598.3770058,3.59, 84.58
1658223599.4057014,3.33, 77.94
1658223600.4312506,5.28, 79.25
1658223601.4566686,3.95, 91.88
1658223602.4948242,6.75, 95.68
1658223603.5245798,14.10, 753.93
1658223604.5575323,33.72, 554.90
1658223605.5864558,12.93, 98.22
1658223606.6320717,25.38, 4574.71
1658223607.7320094,40.61, 8590.04
1658223608.8411233,28.39, 161.97
1658223609.956757,5.17, 74.83
1658223611.026076,6.01, 86.10
1658223612.0758133,2.99, 79.01
1658223613.1184497,4.59, 84.92
1658223614.1641576,16.48, 120.72
1658223615.2026732,25.03, 107.41
1658223616.2441657,21.56, 95.57
1658223617.2924447,162.60, 13996.59
1658223618.3382738,124.14, 14482.09
1658223619.382602,156.41, 19608.27
1658223620.4185698,91.97, 15192.07
1658223621.4532619,6.10, 79.94
1658223622.489685,5.29, 76.61
1658223623.5221555,8.29, 91.41
1658223624.5449994,5.87, 86.65
1658223625.5687878,7.54, 1911.49
1658223626.586859,14.81, 3419.16
1658223627.6151536,8.79, 89.65
1658223628.640681,4.19, 80.05
1658223629.7099986,8.17, 88.36
1658223630.7873216,18.74, 81.84
1658223631.829181,8.41, 82.00
1658223632.8809235,56.96, 13811.66
1658223633.9286754,57.48, 24750.42
1658223634.9522305,9.93, 88.59
1658223636.0072145,22.47, 91.12
1658223637.0373952,13.27, 89.21
1658223638.0634978,8.99, 105.44
1658223639.113358,11.29, 126.46
1658223640.1802568,22.69, 140.46
1658223641.2355032,15.15, 193.28
1658223642.2927427,10.56, 325.65
1658223643.3471055,13.69, 1366.86
1658223644.4176967,14.14, 1795.64
1658223645.487529,15.41, 1419.51
1658223646.5584564,69.94, 20775.11
1658223647.585254,16.89, 95.94
1658223648.6376164,12.84, 90.50
1658223649.7334497,12.02, 88.65
