"Interval start","Downlink Bitrate","Uplink Bitrate","Downlink Packet Size","Uplink Packet Size","Downlink Packet Rate","Uplink Packet Rate"
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,15544,9120,121.438,103.636,16,11
6,45720,35968,85.2985,89.92,67,50
7,48248,37024,90.0149,92.56,67,50
8,48760,40120,89.6324,92.8704,68,54
9,48760,38128,89.6324,93.451,68,51
10,48248,36680,90.0149,93.5714,67,49
11,48032,39200,89.6119,92.4528,67,53
12,48760,38472,89.6324,92.4808,68,52
13,48248,36704,90.0149,93.6327,67,49
14,47504,36864,89.9697,94.0408,66,49
15,48784,37936,89.6765,92.9804,68,51
16,48952,37752,89.9853,92.5294,68,51
17,49488,38664,89.6522,92.9423,69,52
18,93800,39272,167.5,96.2549,70,51
19,48880,37408,91.194,93.52,67,50
20,49968,65048,97.5938,165.939,64,49
21,82072,89744,101.574,142,101,79
22,131048,131392,136.508,172.884,120,95
23,298192,385760,258.847,415.69,144,116
25,563488,514512,300.735,456.128,233,141
26,573848,505824,309.747,454.878,245,139
27,553736,506976,304.146,452.657,245,140
28,551864,508632,303.068,444.608,245,143
29,597952,513312,300.79,464.957,233,138
30,585048,534152,298.494,473.539,245,141
31,578480,508784,309.017,454.271,234,140
32,581544,492552,300.384,442.942,242,139
33,564992,507064,297.992,452.736,237,140
34,580200,525728,302.188,466.071,240,141
35,582640,512712,307.3,454.532,237,141
36,558904,523728,292.314,474.391,239,138
37,586744,537784,308.164,480.164,238,140
38,578904,542320,299.021,491.232,242,138
39,575664,528800,296.123,468.794,243,141
40,582248,530208,299.51,470.043,243,141
41,580048,510848,302.108,462.725,240,138
42,572440,539656,299.393,478.418,239,141
43,567728,524264,295.692,471.46,240,139
44,553856,519040,298.414,470.145,232,138
45,580232,506848,302.204,452.543,240,140
46,571648,506696,295.273,452.407,242,140
47,584392,505776,303.108,451.586,241,140
48,572888,481360,299.628,449.03,239,134
72,1.04221e+06,483232,385.432,440.905,338,137
73,1.05919e+06,492488,376.134,439.721,352,140
74,1.07925e+06,505144,389.902,457.558,346,138
75,1.07525e+06,505264,394.152,454.374,341,139
76,1.09382e+06,498800,392.897,445.357,348,140
77,1.08816e+06,498328,388.629,448.137,350,139
78,1.09034e+06,503632,386.096,459.518,353,137
79,1.08549e+06,506504,384.38,449.028,353,141
80,1.09648e+06,504232,390.484,456.732,351,138
81,1.09278e+06,506528,397.084,449.05,344,141
82,1.07698e+06,505152,387.963,454.273,347,139
83,1.10644e+06,497168,388.497,453.62,356,137
84,1.08279e+06,504040,386.711,456.558,350,138
85,1.10178e+06,506504,386.862,449.028,356,141
86,1.07135e+06,505544,390.434,451.379,343,140
87,1.11064e+06,512472,393.286,457.564,353,140
88,1.09204e+06,496888,394.523,453.365,346,137
89,1.08365e+06,503784,392.626,459.657,345,137
90,1.06601e+06,505496,391.915,451.336,340,140
91,1.09884e+06,506504,398.13,449.028,345,141
92,1.07983e+06,504960,383.463,454.101,352,139
72,1.04221e+06,483232,385.432,440.905,338,137
73,1.05919e+06,492488,376.134,439.721,352,140
74,1.07925e+06,505144,389.902,457.558,346,138
75,1.07525e+06,505264,394.152,454.374,341,139
76,1.09382e+06,498800,392.897,445.357,348,140
77,1.08816e+06,498328,388.629,448.137,350,139
78,1.09034e+06,503632,386.096,459.518,353,137
79,1.08549e+06,506504,384.38,449.028,353,141
80,1.09648e+06,504232,390.484,456.732,351,138
81,1.09278e+06,506528,397.084,449.05,344,141
82,1.07698e+06,505152,387.963,454.273,347,139
83,1.10644e+06,497168,388.497,453.62,356,137
84,1.08279e+06,504040,386.711,456.558,350,138
85,1.10178e+06,506504,386.862,449.028,356,141
86,1.07135e+06,505544,390.434,451.379,343,140
87,1.11064e+06,512472,393.286,457.564,353,140
88,1.09204e+06,496888,394.523,453.365,346,137
89,1.08365e+06,503784,392.626,459.657,345,137
90,1.06601e+06,505496,391.915,451.336,340,140
91,1.09884e+06,506504,398.13,449.028,345,141
92,1.07983e+06,504960,383.463,454.101,352,139
93,1.11692e+06,495760,397.764,459.037,351,135
94,1.09839e+06,504424,394.537,456.906,348,138
95,1.07333e+06,499808,382.239,443.092,351,141
96,1.06099e+06,505688,403.112,451.507,351,140
97,1.0122e+06,506504,403.511,449.028,352,141
98,1.0029e+06,506888,403.55,446.204,352,142
99,1.0322e+06,498136,403.003,447.964,352,139
140,1.57746e+06,499272,462.871,445.779,426,140
141,1.56445e+06,511488,456.907,459.971,428,139
142,1.53886e+06,506504,445.271,449.028,432,141
143,1.53922e+06,496720,451.65,453.212,426,137
144,1.57689e+06,506312,473.825,448.858,416,141
145,1.53027e+06,505688,457.617,451.507,418,140
146,1.53696e+06,497816,447.832,450.92,429,138
147,1.53326e+06,512920,455.242,454.716,421,141
148,1.5288e+06,506632,451.773,449.142,423,141
149,1.52137e+06,497152,457.142,450.319,416,138
150,1.54333e+06,504512,458.233,456.986,421,138
151,1.56754e+06,506224,462.127,448.78,424,141
152,1.57142e+06,504512,462.184,456.986,425,138
153,1.56522e+06,513584,459.277,452.099,426,142
154,1.57081e+06,504512,463.092,456.986,424,138
155,1.43382e+06,498048,433.964,447.885,413,139
156,1.50574e+06,505776,448.136,451.586,420,140
157,1.46498e+06,504984,445.552,454.122,411,139
158,1.53884e+06,499376,443.214,445.871,434,140
159,1.53406e+06,511656,455.482,460.122,421,139
160,1.55902e+06,499488,465.1,445.971,419,140
161,1.54338e+06,497320,460.437,450.471,419,138
162,1.55487e+06,506504,460.566,449.028,422,141
163,1.55375e+06,506328,459.147,448.872,423,141
164,1.57534e+06,503296,467.736,462.588,421,136
165,1.56406e+06,504232,457.862,456.732,427,138
166,1.51196e+06,497792,455.41,450.899,415,138
