ts,ul_kBps,dl_kBps
1658047588.6503386,20.34, 1710.41
1658047589.6519063,6.04, 16.11
1658047590.6535122,15.65, 0.84
1658047591.6543016,0.37, 0.53
1658047592.6560817,18.49, 756.87
1658047595.6605735,2.74, 12.33
1658047596.662261,10.65, 1.87
1658047597.6640272,2.16, 0.24
1658047598.6658404,0.50, 11.93
1658047600.6694708,5.78, 1.14
1658047601.670374,0.88, 12.12
1658047602.6721644,7.57, 6.12
1658047603.6740015,2.67, 12.29
1658047605.677579,0.16, 0.26
1658047606.6793995,2.95, 12.62
1658047607.681126,3.05, 0.59
1658047608.6823654,2.09, 0.18
1658047609.6841698,1.65, 12.28
1658047610.685933,21.04, 2186.74
1658047611.687573,21.71, 159.56
1658047612.6893663,48.86, 77.91
1658047613.6912823,20.76, 16.15
1658047614.6930656,5.78, 15.18
1658047615.6943462,39.87, 2.87
1658047616.696138,2.35, 0.42
1658047617.6979523,14.52, 12.70
1658047619.7015464,4.04, 12.16
1658047620.7033489,0.44, 0.80
1658047621.7051523,2.89, 1.20
1658047622.70695,2.76, 12.22
1658047623.708744,9.21, 1.26
1658047624.7103674,0.06, 0.21
1658047625.7121603,2.56, 12.34
1658047627.7158134,2.32, 0.30
1658047628.7176166,0.25, 11.73
1658047629.7194357,3.44, 0.86
1658047630.7211945,2.60, 12.35
1658047632.724262,0.23, 0.30
1658047634.7278812,3.10, 13.00
1658047635.7296302,0.06, 0.10
1658047636.7312784,41.42, 3296.93
1658047637.732947,19.04, 517.16
1658047638.7347271,60.32, 495.30
1658047639.7365363,67.91, 18.49
1658047640.7383568,3.18, 12.98
1658047641.7400374,11.95, 11.03
1658047642.7417262,17.25, 629.16
1658047643.7435157,9.10, 13.81
1658047644.745315,11.76, 1.89
1658047645.7463713,10.12, 0.61
1658047646.7481685,3.47, 13.10
1658047647.7493434,3.34, 1.29
1658047648.7511303,3.09, 12.24
1658047649.7529135,0.43, 2.00
1658047651.7564726,3.01, 12.48
1658047654.7619312,2.61, 12.11
1658047655.7637131,0.34, 0.27
1658047656.7655027,2.51, 0.55
1658047657.7673018,1.94, 95.05
1658047658.7690926,15.67, 1977.69
1658047659.7703772,2.68, 12.61
1658047660.7721825,4.02, 1.24
1658047661.774143,0.14, 0.20
1658047662.776108,2.59, 12.13
