ts,ul_kBps,dl_kBps
1657521559.9462545,0.20, 0.13
1657521560.9911175,2.88, 8.18
1657521562.0503128,17.25, 1977.06
1657521563.1214,6.20, 86.00
1657521564.1590245,4.23, 590.63
1657521565.2063644,9.54, 2039.18
1657521566.2627778,6.29, 46.29
1657521567.3239093,11.15, 3050.40
1657521568.3737862,19.91, 8592.89
1657521569.4129257,21.73, 7033.42
1657521570.4639504,24.53, 6994.73
1657521571.4946404,24.46, 7115.68
1657521572.565037,20.28, 7083.94
1657521573.6912432,24.24, 5572.29
1657521574.7379305,4.25, 625.13
1657521575.7683432,2.37, 255.77
1657521576.7860193,3.57, 8.01
1657521577.8051686,0.56, 3.38
1657521578.823658,2.54, 39.88
1657521579.851499,1.36, 2.72
1657521580.8810167,1.13, 6.18
1657521581.918865,1.68, 1.72
1657521582.9723167,2.04, 58.55
1657521584.0291514,4.57, 180.22
1657521585.0879953,5.32, 95.35
1657521586.1825843,5.35, 877.88
1657521587.273262,8.90, 2566.47
1657521588.3282003,12.30, 3759.90
1657521589.380607,7.43, 2667.73
1657521590.430848,8.45, 7.83
1657521591.4909215,4.10, 8.01
1657521592.539306,1.71, 5.46
1657521593.5943193,3.78, 323.06
1657521594.6557047,15.22, 4008.18
1657521595.7132556,14.61, 3661.74
1657521596.7671342,14.38, 3786.53
1657521597.791515,4.27, 722.90
1657521598.8292475,2.78, 32.26
1657521599.8874426,2.08, 3.62
1657521600.9528167,1.45, 5.12
1657521602.0219002,1.02, 7.78
1657521603.0959997,1.48, 8.26
1657521604.18292,2.14, 21.43
1657521605.2713292,2.15, 7.85
1657521606.3502822,1.11, 8.75
1657521607.4379003,1.07, 6.06
1657521608.5159817,1.17, 9.67
1657521609.588802,1.72, 20.52
1657521610.6567,1.76, 1.67
1657521611.7396507,11.52, 34.22
1657521612.8110392,0.64, 3.81
1657521613.8825347,1.81, 18.80
1657521614.9589136,4.96, 3.30
1657521616.005869,1.07, 1.68
1657521617.0604584,0.78, 6.66
1657521618.1276662,1.22, 5.99
1657521619.2134464,1.71, 25.32
1657521620.2906878,1.58, 8.03
1657521621.3553739,1.26, 2.09
1657521622.4214916,0.62, 3.33
1657521623.5033245,0.96, 2.75
1657521624.57891,1.38, 17.01
1657521625.6406264,8.21, 8.64
1657521626.6924813,1.82, 6.52
1657521627.7351646,2.39, 6.96
1657521628.7829425,1.51, 3.82
1657521629.8233352,2.50, 18.40
1657521630.8692224,3.49, 451.17
1657521631.9152675,1.55, 31.31
1657521632.9699426,1.12, 33.94
1657521634.0210798,2.16, 21.86
1657521635.067508,2.68, 8.96
1657521636.1066787,23.92, 1985.33
1657521637.172061,51.68, 7852.46
1657521638.2268128,48.57, 7523.30
1657521639.2826705,54.25, 8078.43
1657521640.3467696,57.54, 8598.97
1657521641.4114866,53.84, 8220.39
1657521642.4685583,19.31, 2610.17
1657521643.5038667,1.67, 27.39
1657521644.5486295,11.62, 1394.71
1657521645.588875,8.80, 1705.32
1657521646.644241,2.66, 159.67
1657521647.7140646,3.29, 259.17
1657521648.7816727,4.14, 1030.51
1657521649.8623707,5.11, 844.51
1657521650.9340024,9.46, 3305.11
1657521652.0107524,1.63, 15.83
1657521653.0774782,1.86, 13.71
1657521654.1492553,2.13, 38.56
1657521655.2344537,6.75, 27.22
1657521656.310577,1.56, 21.88
1657521657.3839884,1.61, 14.17
1657521658.4332514,1.47, 12.65
1657521659.4831214,2.75, 50.89
1657521660.5428247,2.37, 31.73
1657521661.6098924,1.59, 14.99
1657521662.692531,1.17, 6.85
1657521663.7646687,0.86, 11.36
1657521664.8385653,1.60, 21.64
1657521665.9102335,1.62, 3.05
1657521666.9822721,1.22, 1.86
1657521668.064565,0.66, 2.32
1657521669.1355264,1.55, 18.87
1657521670.205707,4.71, 4.43
1657521671.2773328,1.06, 8.62
1657521672.3550196,1.00, 1.97
1657521673.4400783,0.81, 2.50
1657521674.514271,1.69, 26.69
1657521675.591717,1.71, 10.55
1657521676.6758175,0.81, 6.78
1657521677.7492442,1.25, 10.87
1657521678.8337255,1.11, 5.76
1657521679.9245927,0.96, 2.18
1657521681.0051467,1.23, 2.67
1657521682.08733,1.27, 2.38
1657521683.1614861,0.96, 6.03
1657521684.2448776,5.71, 165.44
1657521685.3050308,1.57, 7.27
1657521686.361815,0.80, 2.19
1657521687.4044352,1.21, 1.60
1657521688.4590924,0.79, 3.95
1657521689.5113277,14.17, 3183.06
1657521690.5814207,6.16, 1752.41
1657521691.6610284,1.16, 6.48
1657521692.7372916,1.14, 6.63
1657521693.8104813,0.64, 1.57
1657521694.869786,3.54, 20.61
1657521695.9570868,1.91, 5.83
1657521697.0299242,0.98, 14.44
1657521698.112691,0.97, 2.43
1657521699.197881,1.58, 20.74
1657521700.277675,2.38, 8.32
1657521701.3584023,0.94, 2.29
1657521702.413575,1.16, 2.21
1657521703.4809952,0.85, 2.11
1657521704.565814,2.97, 24.23
1657521705.6476119,1.92, 8.80
1657521706.7276752,0.80, 3.46
1657521707.8091507,1.01, 8.49
1657521708.8890562,1.39, 26.69
1657521709.9751449,0.92, 5.85
1657521711.0626001,1.62, 12.51
1657521712.1355715,1.02, 14.29
1657521713.2189772,0.95, 9.01
1657521714.2944193,2.48, 32.73
1657521715.3712676,2.10, 18.89
1657521716.4491894,1.40, 14.07
1657521717.5204535,1.98, 45.92
1657521718.610921,7.90, 30.08
1657521719.6948643,2.49, 34.85
1657521720.7701464,2.22, 14.47
1657521721.8580327,1.06, 8.61
1657521722.9329872,1.64, 21.38
1657521723.9805532,4.96, 39.65
1657521725.0321121,1.85, 21.17
1657521726.091841,0.81, 8.60
1657521727.145588,12.61, 34.02
1657521728.2229745,6.83, 58.19
1657521729.3098443,1.93, 26.47
1657521730.3891537,2.47, 13.43
1657521731.4659638,1.94, 11.84
1657521732.552869,2.35, 51.31
1657521733.6301389,1.33, 14.79
1657521734.70748,4.16, 29.16
1657521735.7806194,2.04, 13.22
