ts,ul_kBps,dl_kBps
1657549377.8118868,3.89, 23.08
1657549378.8369052,23.33, 2038.78
1657549379.8558671,9.17, 2571.49
1657549380.8796256,9.68, 82.62
1657549381.896891,11.55, 4361.52
1657549382.9109693,50.65, 23923.86
1657549383.9302444,62.87, 18432.46
1657549384.9512384,40.39, 17714.57
1657549385.9628356,8.10, 274.75
1657549386.9902291,2.82, 30.07
1657549388.0235379,1.77, 24.72
1657549389.03731,1.64, 24.58
1657549390.0542586,1.83, 24.22
1657549391.064319,1.74, 27.53
1657549392.0821335,1.23, 26.60
1657549393.1470587,2.91, 48.34
1657549394.1776407,24.46, 1902.16
1657549395.2061892,30.07, 3197.23
1657549396.2265208,27.49, 3475.62
1657549397.2420983,19.72, 4203.70
1657549398.263403,11.78, 2291.44
1657549399.2937803,23.21, 5742.90
1657549400.3212001,14.39, 1373.44
1657549401.354964,22.85, 2852.49
1657549402.3811588,27.35, 3054.20
1657549403.403281,30.56, 3057.54
1657549404.4259179,31.05, 2834.55
1657549405.4439964,32.10, 2718.79
1657549406.4767754,35.81, 3040.79
1657549407.513376,33.02, 3099.56
1657549408.5508,27.46, 3108.44
1657549409.570482,27.33, 3119.07
1657549410.6039295,29.30, 3111.31
1657549411.6355588,32.75, 3095.74
1657549412.6696553,23.68, 1891.07
1657549413.7002997,7.95, 21.08
1657549414.7260847,3.06, 125.65
1657549415.7574236,1.23, 30.82
1657549416.7918227,9.51, 44.64
1657549417.8173602,7.63, 52.16
1657549418.8389177,4.76, 40.45
1657549419.8822012,2.39, 37.19
1657549420.9196203,1.69, 32.64
1657549421.9526544,1.40, 33.31
1657549422.9847934,1.97, 34.69
1657549424.0184577,1.40, 29.66
1657549425.052245,2.36, 25.42
1657549426.0820231,1.28, 23.97
1657549427.092139,1.07, 26.30
1657549428.1216772,2.11, 30.22
1657549429.1318774,1.18, 37.22
1657549430.17158,3.40, 40.26
1657549431.2119951,1.60, 52.53
1657549432.2319868,4.87, 54.37
1657549433.271896,1.34, 50.86
1657549434.3116004,1.88, 46.64
1657549435.3516412,2.27, 45.30
1657549436.3717504,4.66, 41.11
1657549437.4216268,8.35, 46.24
1657549438.4719918,1.74, 36.17
1657549439.5118566,1.60, 41.30
1657549440.5520227,2.62, 57.60
1657549441.5922089,2.47, 65.57
1657549442.625845,15.57, 86.62
1657549443.6511521,19.25, 83.43
1657549444.756334,12.30, 817.18
1657549445.8008425,17.55, 151.85
1657549447.0013402,14.32, 123.27
1657549448.0716643,48.67, 164.85
1657549449.097452,8.66, 58.54
1657549450.1321976,50.02, 233.95
1657549451.156483,17.87, 181.60
1657549452.1787486,11.05, 182.29
1657549453.2431622,45.30, 703.15
1657549454.277099,76.67, 204.12
1657549455.3012283,56.20, 367.46
1657549456.3321657,53.12, 4177.81
1657549457.3587694,32.49, 144.16
1657549458.3856194,11.34, 721.89
1657549459.403833,3.51, 877.36
1657549460.4196374,27.86, 2825.14
1657549461.4332237,7.03, 2696.80
1657549462.4451067,14.13, 1588.91
1657549463.4668703,1.80, 30.70
1657549464.4845088,1.28, 30.90
1657549465.5110106,2.46, 28.58
1657549466.533796,2.02, 27.20
1657549467.5603764,2.14, 65.36
1657549468.5914228,1.41, 28.45
1657549469.648124,5.43, 569.52
1657549470.6817155,15.03, 2080.11
1657549471.7216613,4.41, 28.55
1657549472.7815933,1.09, 27.88
1657549473.8155973,13.53, 30.07
1657549474.8386738,1.18, 31.40
1657549475.8616147,1.31, 28.47
1657549476.8894053,1.03, 28.68
1657549477.9115753,6.26, 51.42
1657549478.9390779,1.33, 37.33
1657549479.961359,1.68, 44.44
1657549480.9802966,13.92, 1829.01
1657549482.0044677,1.22, 39.43
1657549483.0317287,1.37, 45.90
1657549484.0437918,14.35, 800.99
1657549485.0699525,3.29, 822.90
1657549486.0914443,4.39, 1004.26
1657549487.1173663,1.63, 49.77
1657549488.1417034,2.10, 56.60
1657549489.1645944,14.54, 1721.56
1657549490.1889095,2.10, 64.56
1657549491.2059014,7.46, 58.92
1657549492.233898,2.17, 58.24
1657549493.259654,1.47, 60.10
1657549494.2883184,1.81, 55.43
1657549495.3106563,2.36, 57.18
1657549496.3463018,8.89, 54.14
1657549497.369921,16.32, 2096.85
1657549498.398372,1.47, 45.22
1657549499.4241736,1.54, 53.26
1657549500.4496274,1.22, 53.06
1657549501.4794314,7.17, 50.94
1657549502.5055506,1.23, 62.98
1657549503.5331473,1.62, 69.04
1657549504.554507,7.99, 806.02
1657549505.568072,14.18, 225.90
1657549506.5898473,1.15, 57.56
1657549507.6024055,0.59, 64.68
1657549508.6329887,1.57, 62.46
1657549509.6640239,5.98, 66.05
1657549510.6869256,3.98, 132.10
1657549511.705697,4.52, 347.32
1657549512.7347982,16.17, 2865.69
1657549513.760214,12.87, 2012.55
1657549514.7885463,5.06, 736.79
1657549515.818683,1.39, 57.01
1657549516.8439534,1.23, 72.25
1657549517.8702664,1.81, 68.13
1657549518.8947868,1.71, 84.20
1657549519.912031,1.56, 68.15
1657549520.9399972,2.32, 79.75
1657549521.9765394,4.58, 73.77
1657549523.0009274,7.89, 73.54
1657549524.0190756,19.35, 2706.84
1657549525.0392435,1.70, 84.23
1657549526.0661573,3.91, 79.16
1657549527.0885406,1.30, 66.46
1657549528.1009874,1.50, 70.24
1657549529.1249688,1.87, 71.18
1657549530.1495695,1.58, 86.73
1657549531.1728804,1.66, 78.40
1657549532.2208157,4.59, 69.06
1657549533.271344,1.88, 146.97
1657549534.3090205,2.38, 75.91
1657549535.36886,0.97, 65.94
1657549536.4181533,3.74, 66.29
1657549537.4633648,3.96, 68.05
1657549538.532602,3.09, 70.78
1657549539.572417,1.21, 65.83
1657549540.6101947,0.93, 53.33
