ts,ul_kBps,dl_kBps
1658072947.3042488,1.72, 5.33
1658072948.3060634,2.48, 2.28
1658072949.3078334,5.57, 25.44
1658072950.3094823,49.57, 715.38
1658072951.3111818,56.26, 496.49
1658072952.313021,13.67, 35.01
1658072953.314645,132.27, 3289.79
1658072954.3161047,397.20, 12076.99
1658072955.3176692,1.42, 58.01
1658072956.3193636,0.17, 0.15
1658072957.3210063,2.59, 1.04
1658072959.3236728,41.40, 70.72
1658072960.3252203,63.63, 90.93
1658072961.3265076,30.52, 135.66
1658072962.3283634,81.44, 1114.98
1658072963.3309872,137.27, 2923.88
1658072964.3327742,250.05, 5836.29
1658072965.3343344,224.73, 8409.63
1658072966.3359678,0.51, 1.15
1658072967.3374913,134.66, 5516.35
1658072968.3383117,0.12, 1.06
1658072969.3400223,1.75, 0.18
1658072970.3416157,4.85, 8.41
1658072971.342144,332.78, 9423.53
1658072972.3429873,36.49, 75.53
1658072973.344675,7.54, 27.48
1658072974.346324,4.49, 0.88
1658072975.3481054,6.74, 13.08
1658072976.3498378,3.91, 0.88
1658072977.3515508,6.04, 1.38
1658072978.3533158,6.17, 13.03
1658072979.3542295,3.16, 0.91
1658072980.3558547,3.10, 1.32
1658072981.3576589,8.41, 13.47
1658072982.3593917,3.48, 1.86
1658072983.3611429,3.38, 1.17
1658072984.3624232,5.66, 13.00
1658072985.3641682,3.27, 0.88
1658072986.365958,2.84, 1.00
1658072987.3676796,5.29, 13.22
1658072988.3693624,2.71, 0.78
1658072989.37028,5.52, 1.39
1658072990.371575,3.55, 12.73
1658072991.373358,3.64, 1.13
1658072992.3744376,8.07, 1.56
1658072993.3762555,4.06, 13.72
1658072994.378057,3.13, 0.95
1658072995.3798301,5.11, 1.33
1658072996.381579,4.14, 12.98
1658072997.3834026,3.41, 1.09
1658072998.385125,5.54, 1.21
1658072999.3862896,3.65, 13.29
1658073000.3878813,3.01, 0.96
1658073001.3894582,4.96, 1.20
1658073002.3903394,6.50, 12.95
1658073003.3916404,3.68, 2.15
1658073005.3943393,6.18, 12.95
1658073006.3960805,5.77, 1.42
1658073007.3977947,3.29, 0.97
1658073008.3995697,6.46, 13.27
1658073009.4011705,3.19, 1.04
1658073010.4021869,2.56, 1.21
1658073011.4028919,4.14, 12.66
1658073012.4044127,65.95, 1448.23
1658073013.4061778,325.88, 11047.96
1658073014.4078858,12.36, 21.57
1658073015.4092035,7.79, 49.35
1658073016.4104345,3.72, 5.76
