ts,ul_kBps,dl_kBps
1658048093.9214318,2.56, 12.28
1658048095.9250214,0.18, 0.10
1658048096.9264522,3.12, 12.62
1658048097.9283853,0.07, 0.13
1658048098.9301643,9.08, 10.31
1658048099.9319856,75.46, 110.56
1658048100.9337776,16.32, 15.53
1658048101.9354248,12.80, 7.90
1658048102.93704,14.58, 18.59
1658048103.938279,4.77, 56.59
1658048105.9412966,15.95, 14.44
1658048106.9422915,30.50, 27.19
1658048107.944005,63.23, 20.05
1658048108.9456732,27.74, 24.68
1658048110.9483752,56.39, 787.25
1658048111.9498024,115.80, 2626.53
1658048112.9515507,442.59, 14223.82
1658048113.953213,1.66, 0.55
1658048114.95429,157.49, 5506.24
1658048115.9560711,1.40, 14.13
1658048116.9570243,2.04, 0.49
1658048117.9583528,249.76, 5996.36
1658048118.9602478,126.54, 2927.42
1658048119.9620252,10.88, 35.09
1658048120.9637694,17.74, 1.81
1658048121.965581,4.19, 13.91
1658048122.9674199,2.18, 0.75
1658048123.969245,7.53, 1.43
1658048124.9704041,2.53, 12.54
1658048125.9714234,3.63, 3.60
1658048126.9724274,20.54, 15.83
1658048127.9735975,2.39, 1.51
1658048128.975413,2.58, 0.98
1658048129.977214,7.52, 1.51
1658048130.9783483,3.84, 18.06
1658048131.9800253,2.47, 0.74
1658048132.981664,11.91, 2.19
1658048133.983388,8.96, 15.12
1658048134.9851263,3.38, 1.36
1658048135.9863229,2.64, 0.74
1658048136.9873629,5.06, 12.72
1658048137.9891484,1.36, 0.62
1658048138.9902418,12.75, 1.24
1658048139.9919188,9.91, 15.58
1658048140.9937067,75.64, 900.74
1658048141.9954946,33.75, 257.84
1658048142.9971533,176.22, 4188.55
1658048143.9983182,350.25, 10831.25
1658048145.0000355,0.78, 32.74
1658048146.0017505,2.81, 12.52
1658048147.0034919,19.90, 1.81
1658048148.0052326,73.76, 19.95
1658048149.0064046,34.21, 155.58
1658048150.0081048,54.96, 707.65
1658048151.0098104,189.99, 5076.85
1658048152.0115826,130.72, 5190.00
1658048153.0133095,239.81, 6654.52
1658048154.0143409,2.90, 3.30
1658048155.016057,142.91, 5512.04
1658048157.0195534,1.54, 0.61
1658048158.021274,4.49, 7.80
1658048159.0221725,33.55, 23.37
1658048160.023672,46.09, 77.57
1658048161.0253353,6.99, 11.86
1658048162.026197,4.08, 12.94
1658048163.0279245,3.88, 1.29
1658048164.02973,5.42, 1.11
1658048165.03186,7.45, 13.48
1658048166.0338247,4.26, 1.14
1658048167.0357301,6.75, 1.36
1658048168.0375113,4.21, 12.57
1658048169.0392923,4.48, 1.09
1658048170.0408356,6.63, 13.71
1658048171.0422816,11.84, 2.64
1658048172.0438266,2.91, 0.84
1658048173.0454915,4.72, 12.81
1658048174.047198,1.88, 0.88
1658048175.048956,2.31, 0.97
1658048176.0506997,8.79, 13.92
1658048177.052396,3.53, 1.09
1658048178.0539873,2.88, 0.88
1658048179.0557358,4.40, 12.92
1658048180.0576642,3.11, 1.17
1658048181.0594711,11.40, 8.40
1658048182.061233,7.36, 13.93
1658048183.0622718,4.28, 1.21
1658048184.0639632,4.29, 1.09
1658048185.0657163,7.21, 13.76
1658048186.0675075,4.71, 1.04
1658048187.0692024,6.77, 2.24
1658048188.0709376,5.81, 12.90
1658048189.0726924,2.85, 1.54
1658048190.0743828,3.70, 0.97
1658048191.0761838,9.79, 13.46
1658048192.0779843,3.57, 1.91
1658048193.0798523,3.28, 1.13
1658048194.0816762,5.86, 12.97
1658048195.0833528,4.46, 0.66
1658048196.085005,4.19, 2.65
1658048197.0863395,7.11, 13.14
1658048198.0881262,4.67, 1.12
1658048199.089822,6.97, 1.48
1658048200.0915928,4.97, 12.77
1658048201.0930438,4.35, 1.22
1658048203.0961354,12.68, 3.53
1658048204.0979555,5.21, 13.14
1658048205.0997667,4.81, 1.09
1658048206.1015234,8.00, 2.56
1658048207.1022677,18.72, 16.32
1658048208.1039486,12.21, 5.59
1658048209.1049724,13.95, 13.47
1658048210.1063817,10.88, 76.56
1658048211.108185,71.76, 1364.47
1658048212.1099997,227.49, 7397.15
1658048213.111899,8.11, 15.41
1658048214.1128912,4.31, 3.53
1658048215.114317,3.33, 3.44
1658048216.1160948,7.08, 14.50
1658048217.1178544,4.39, 2.31
1658048218.1196482,3.77, 3.88
1658048219.1213176,8.59, 16.71
1658048220.1223037,4.00, 4.27
1658048221.1240017,2.91, 4.01
1658048222.1256857,8.74, 16.17
1658048223.1274123,4.68, 4.11
1658048224.1291173,3.88, 4.15
1658048225.1303341,8.15, 16.21
1658048226.132149,4.37, 3.44
1658048227.1339204,3.91, 3.02
1658048228.1356027,7.73, 16.12
1658048229.137311,10.07, 5.12
1658048230.1383662,12.04, 10.71
1658048231.1401176,7.39, 17.36
1658048232.1418624,6.48, 5.09
1658048233.1435983,5.59, 4.24
1658048234.1452506,9.71, 16.98
1658048235.146367,4.74, 3.05
1658048236.147639,4.89, 3.85
1658048237.149132,9.59, 16.82
1658048238.1503506,3.96, 3.88
1658048239.1521308,5.37, 3.75
