ts,ul_kBps,dl_kBps
1658046091.007316,0.24, 0.32
1658046093.0105896,2.69, 3.35
1658046094.0122452,7.99, 8.72
1658046095.0138717,28.62, 11.41
1658046096.015671,26.13, 38.87
1658046097.017526,30.84, 4.61
1658046098.019145,18.09, 8.78
1658046099.020758,11.54, 12.75
1658046100.022084,1.38, 44.29
1658046102.0252829,13.42, 1.80
1658046103.026879,27.69, 14.92
1658046104.0285645,57.74, 73.25
1658046105.0293221,2.10, 0.92
1658046106.0309036,26.79, 13.74
1658046107.0329232,21.47, 17.35
1658046108.0346766,21.65, 11.79
1658046109.0362055,29.21, 34.51
1658046110.0374398,49.47, 24.75
1658046111.039019,205.90, 4853.22
1658046112.040471,81.23, 2097.49
1658046113.0419886,106.87, 2586.10
1658046114.0436099,93.01, 2013.79
1658046115.045249,54.31, 1114.12
1658046116.0469735,120.02, 3270.41
1658046117.048689,57.81, 1024.15
1658046118.0494947,125.95, 3474.00
1658046119.0512183,184.03, 4780.45
1658046120.0525947,389.64, 11021.50
1658046121.0534868,56.55, 977.12
1658046122.05526,48.47, 628.62
1658046123.056973,169.95, 3962.28
1658046124.058754,507.20, 16258.28
1658046125.0597367,539.05, 18999.30
1658046126.0611537,223.70, 6184.77
1658046127.0628736,184.76, 4395.41
1658046129.0654924,100.72, 1804.46
1658046130.067103,5.23, 76.74
1658046131.0680661,346.24, 10407.47
1658046132.0694718,465.29, 13912.06
1658046133.0710242,10.86, 186.82
1658046134.0725286,48.35, 503.68
1658046135.0734277,484.34, 14501.15
1658046136.075109,305.09, 9466.47
1658046137.0768504,753.34, 23774.15
1658046138.0785198,505.98, 15463.07
1658046140.0815923,301.07, 9468.94
1658046141.0831332,17.97, 501.70
1658046142.0846717,20.24, 617.73
1658046143.0855093,215.30, 6271.86
1658046144.08728,0.47, 1.28
1658046146.0907333,21.31, 1.16
1658046147.0924664,1.71, 1.40
1658046148.0935104,1.87, 0.68
1658046149.095405,1.97, 0.98
1658046150.097365,2.18, 0.78
1658046151.0990684,7.97, 1.19
1658046152.1007729,2.15, 1.76
1658046153.1025536,1.72, 0.88
1658046154.1042693,9.27, 96.23
1658046155.1054792,9.46, 178.87
1658046156.1070175,53.55, 1819.23
1658046157.108527,40.50, 1146.14
1658046158.1095185,2.11, 0.62
1658046159.1111665,2.44, 1.12
1658046160.1127455,2.29, 0.83
1658046161.1134374,1.81, 0.73
1658046162.11525,14.30, 2.36
1658046163.1164014,2.36, 1.02
1658046164.1173553,18.53, 27.57
1658046165.1189177,7.45, 2.96
1658046166.1205516,2.71, 1.29
1658046167.121488,2.18, 0.98
1658046168.123373,1.97, 0.83
1658046169.125251,2.25, 0.99
1658046170.1268716,2.95, 0.91
1658046171.1285248,61.23, 1763.40
1658046172.1294246,5.80, 2.36
1658046174.1328297,2.11, 0.95
1658046175.1344733,2.31, 0.79
1658046176.1359599,1.93, 0.97
1658046177.1375046,1.61, 0.67
1658046178.1390376,1.57, 0.57
1658046179.140696,1.74, 0.68
1658046180.1413724,1.63, 0.70
1658046181.143049,1.77, 0.74
1658046182.1447515,8.98, 7.35
1658046183.1453195,7.66, 2.01
1658046184.1468232,2.62, 1.84
1658046185.1484256,2.39, 0.96
1658046186.1494386,1.41, 0.57
1658046187.15082,4.04, 1.77
1658046188.1522837,2.46, 0.88
1658046189.153493,17.69, 2.06
1658046190.1548667,7.67, 3.15
1658046191.1563745,2.77, 0.97
1658046192.1573117,3.71, 1.51
1658046193.1589322,2.48, 0.91
1658046194.1606956,2.37, 1.29
1658046195.1613228,17.65, 2.64
1658046196.1626115,2.27, 1.83
1658046197.1642802,2.49, 0.78
1658046198.165367,3.53, 1.13
