ts,ul_kBps,dl_kBps
1657375492.616345,9.04, 37.89
1657375493.6338172,44.12, 388.19
1657375494.651636,98.97, 8326.59
1657375495.6823924,82.11, 8539.49
1657375496.7101865,35.69, 2459.66
1657375497.7270732,44.41, 8755.22
1657375498.748661,50.62, 8260.18
1657375499.769357,60.92, 10659.88
1657375500.7878797,36.91, 7762.77
1657375501.8070633,40.62, 7584.41
1657375502.820246,37.92, 7951.43
1657375503.84109,37.75, 8318.77
1657375504.860993,33.16, 7340.02
1657375505.8811986,30.01, 6141.77
1657375506.9018562,40.84, 6504.62
1657375507.9222436,37.45, 7373.51
1657375508.9450035,39.79, 6693.71
1657375509.9637158,41.54, 6569.74
1657375510.9819841,56.77, 6630.19
1657375512.005733,58.69, 5352.00
1657375513.0233467,59.98, 5032.64
1657375514.0470016,68.49, 6384.53
1657375515.0720806,60.85, 5515.46
1657375516.0972152,72.34, 6211.49
1657375517.1221511,64.29, 5828.46
1657375518.1461957,75.91, 6723.16
1657375519.1695468,63.20, 5279.67
1657375520.189643,52.28, 5030.49
1657375521.200746,60.75, 5006.80
1657375522.2220352,71.60, 5875.40
1657375523.2465627,52.93, 5094.89
1657375524.2700248,44.76, 4318.17
1657375525.2918746,43.21, 4524.22
1657375526.3090398,47.00, 4813.79
1657375527.3295138,49.71, 4957.95
1657375528.349727,53.26, 4513.80
1657375529.373294,52.13, 4994.90
1657375530.3954494,65.68, 6250.58
1657375531.4199986,69.53, 6603.85
1657375532.442185,65.01, 5901.04
1657375533.4647944,55.10, 4969.63
1657375534.4844148,53.31, 5377.33
1657375535.5067294,53.60, 4978.54
1657375536.5264978,50.87, 4896.62
1657375537.534583,43.97, 4444.17
1657375538.5540621,65.80, 5549.44
1657375539.5738888,79.84, 7368.93
1657375540.5941966,64.84, 6173.95
1657375541.6181388,122.44, 10407.68
1657375542.6368983,130.50, 11055.87
1657375543.662496,132.47, 10771.68
1657375544.682367,109.36, 10009.76
1657375545.7068079,100.84, 9437.30
1657375546.724981,156.30, 9507.28
1657375547.746744,105.12, 7967.46
1657375548.762848,105.42, 8549.48
1657375549.7794511,125.73, 10861.08
1657375550.7950807,130.95, 11645.73
1657375551.8133314,108.04, 11105.40
1657375552.8267293,138.10, 11766.56
1657375553.8474035,113.31, 11554.31
1657375554.8648448,89.66, 10268.87
1657375555.8820133,77.96, 9824.52
1657375556.892974,119.34, 11050.31
1657375557.9047406,110.83, 9498.46
1657375558.9171803,56.62, 8340.37
1657375559.928545,57.48, 7785.11
1657375560.9383862,47.30, 6049.23
1657375561.9480867,88.75, 7833.94
1657375562.963727,60.33, 6198.29
1657375563.9739816,66.87, 8742.71
