ts,ul_kBps,dl_kBps
1657375924.3252246,0.34, 0.19
1657375925.3578255,4.21, 22.95
1657375926.3786368,27.69, 2177.34
1657375927.4094336,4.43, 63.34
1657375928.466841,16.23, 2604.95
1657375929.5099144,7.87, 68.45
1657375930.5381286,11.36, 2931.04
1657375931.5591822,16.38, 4969.57
1657375932.5919726,23.54, 4949.88
1657375933.6130297,14.73, 4780.90
1657375934.6311386,13.05, 4451.69
1657375935.658455,12.08, 4674.79
1657375936.6774926,12.64, 4861.31
1657375937.7003644,15.17, 5387.51
1657375938.7304037,14.23, 5150.71
1657375939.7599354,13.40, 4855.05
1657375940.7963936,13.34, 4790.71
1657375941.8265493,14.14, 3973.18
1657375942.857552,37.88, 5663.64
1657375943.8878157,44.27, 5875.64
1657375944.9067433,39.56, 5591.96
1657375945.933901,47.23, 5718.62
1657375946.959664,43.90, 5043.25
1657375947.9958603,43.31, 5596.52
1657375949.0149481,47.09, 5947.30
1657375950.0446517,42.04, 5701.20
1657375951.0679905,40.80, 5624.78
1657375952.0886185,47.75, 5926.51
1657375953.121705,44.65, 5878.13
1657375954.1448529,40.16, 5381.64
1657375955.17514,58.26, 6323.27
1657375956.1943347,37.34, 4917.43
1657375957.2243013,44.29, 5344.22
1657375958.245134,44.46, 5461.96
1657375959.2688422,44.15, 5629.35
1657375960.28513,33.57, 4928.92
1657375961.304742,33.98, 4793.32
1657375962.3268633,40.56, 5065.00
1657375963.3555028,41.44, 5082.04
1657375964.3877473,27.80, 3611.59
1657375965.417029,1.97, 250.57
1657375966.4344914,0.28, 0.25
1657375967.4597864,1.02, 1.01
1657375968.4859996,9.76, 58.22
1657375969.5133984,21.23, 1413.24
1657375970.5358653,10.99, 293.65
1657375971.557308,12.21, 2.16
1657375972.592211,11.66, 1.48
1657375973.617059,15.19, 2.11
1657375974.652729,16.51, 7.31
1657375975.6834183,10.64, 1.48
1657375976.7220933,10.77, 1.64
1657375977.749911,10.90, 1.65
1657375978.7867355,10.52, 1.67
1657375979.8177595,11.11, 1.69
1657375980.8517148,11.21, 1.71
1657375981.8845298,10.31, 1.78
1657375982.9173198,11.79, 1.42
1657375983.949495,10.78, 1.72
1657375984.9881284,16.64, 13.66
1657375986.0081284,10.42, 1.57
1657375987.036748,11.20, 1.83
1657375988.0750134,10.67, 1.35
1657375989.1043277,11.76, 4.27
1657375990.1233263,10.61, 1.67
1657375991.146446,10.94, 1.70
1657375992.179171,10.08, 1.58
1657375993.2154377,11.52, 1.48
1657375994.2448835,9.79, 1.68
1657375995.2814794,11.17, 2.25
1657375996.3019114,10.31, 1.45
1657375997.3343563,10.13, 1.48
1657375998.367036,11.48, 1.45
1657375999.3908095,10.42, 1.61
1657376000.4256077,10.19, 1.18
1657376001.4450278,11.75, 0.36
1657376002.4642367,16.40, 3.67
1657376003.491508,10.61, 1.46
1657376004.5257425,13.46, 1.92
1657376005.553431,9.61, 1.30
1657376006.584348,11.07, 1.51
1657376007.6076827,10.44, 1.41
1657376008.6438265,11.18, 1.66
1657376009.6664627,10.66, 2.52
1657376010.7021046,10.47, 1.55
1657376011.7347643,10.22, 5.40
1657376012.7595217,10.37, 20.17
1657376013.7931983,13.15, 73.22
1657376014.8199844,10.93, 55.72
1657376015.8549027,10.32, 1.59
1657376016.8767946,10.48, 1.58
1657376017.9113815,15.01, 8.54
1657376018.9336553,9.69, 1.53
1657376019.968498,10.90, 1.76
1657376021.0010626,9.89, 1.33
1657376022.034885,9.79, 1.52
1657376023.0662603,10.92, 1.48
1657376024.0979934,10.78, 1.63
1657376025.1169412,10.22, 1.37
1657376026.1473205,9.62, 1.44
1657376027.1767833,10.53, 1.51
1657376028.2032747,10.56, 1.39
1657376029.2255495,10.36, 1.84
1657376030.2476926,9.81, 1.31
1657376031.2819614,10.18, 1.48
1657376032.3105438,10.07, 1.63
1657376033.3395333,15.02, 3.58
1657376034.3727667,9.70, 1.76
1657376035.3984122,10.07, 1.43
1657376036.4363751,10.22, 1.62
1657376037.467341,9.63, 1.38
1657376038.4982007,9.96, 1.59
1657376039.533665,10.84, 1.69
1657376040.5622501,8.47, 1.51
1657376041.5904455,9.85, 1.52
1657376042.6206093,10.81, 4.50
1657376043.660157,9.75, 1.72
1657376044.681347,10.63, 1.56
1657376045.7039766,9.66, 1.46
1657376046.7341034,9.83, 1.59
1657376047.7679772,9.64, 1.63
1657376048.7965584,11.12, 1.66
1657376049.8270502,10.15, 1.84
1657376050.8590307,10.81, 1.55
1657376051.8930094,9.61, 4.15
1657376052.9246655,17.06, 123.33
1657376053.9560857,13.42, 114.66
1657376054.9896872,20.01, 2409.10
1657376056.0090525,8.01, 36.03
1657376057.0341578,8.73, 3.01
1657376058.055735,11.18, 9.61
1657376059.085269,10.74, 10.72
1657376060.1083002,11.00, 9.64
1657376061.1454682,11.06, 10.74
1657376062.17189,10.65, 10.65
1657376063.2009108,12.07, 9.68
1657376064.2339432,11.05, 12.14
1657376065.2688837,11.21, 10.11
1657376066.3009043,11.49, 11.20
1657376067.3368075,10.98, 16.34
1657376068.3677115,10.97, 13.38
1657376069.4026527,10.87, 11.81
1657376070.4365628,12.15, 22.40
1657376071.4722555,17.05, 1547.27
1657376072.5143228,13.66, 1432.17
1657376073.5411854,15.05, 26.27
1657376074.5688965,11.40, 20.73
1657376075.6076593,10.35, 22.36
1657376076.6348102,9.61, 25.45
1657376077.6767564,11.50, 26.10
1657376078.7225487,11.64, 24.48
1657376079.754154,11.61, 25.53
1657376080.7885537,12.58, 26.65
1657376081.820857,10.51, 24.77
1657376082.8531294,10.75, 24.31
1657376083.8935068,12.53, 27.70
1657376084.9273138,12.35, 22.82
1657376085.9605658,11.20, 24.35
1657376086.9893956,11.37, 26.78
1657376088.0183806,8.40, 26.51
1657376089.0481203,4.68, 32.01
1657376090.081526,17.42, 1793.56
1657376091.1161504,9.07, 41.23
1657376092.1399448,16.99, 2239.44
1657376093.1620464,12.29, 188.34
1657376094.1879604,15.48, 922.52
1657376095.2118719,21.81, 2623.09
1657376096.2585583,12.27, 64.65
1657376097.296464,12.27, 56.92
1657376098.3378232,12.43, 55.38
1657376099.3645055,11.99, 60.25
1657376100.3959506,12.79, 59.58
1657376101.4353406,11.87, 62.12
1657376102.4755282,12.43, 65.13
1657376103.5119565,11.12, 75.32
1657376104.5528088,13.06, 75.13
1657376105.5888941,12.34, 73.52
1657376106.6191127,12.66, 79.59
1657376107.6506689,12.55, 83.41
1657376108.68134,13.04, 80.50
1657376109.721717,14.49, 87.67
1657376110.769372,13.07, 79.72
1657376111.795983,12.62, 79.38
1657376112.8377013,12.89, 85.72
1657376113.8714468,16.46, 81.91
1657376114.909784,13.14, 79.91
1657376115.950925,13.21, 81.59
1657376116.9825935,13.33, 89.94
1657376118.019881,8.20, 88.09
1657376119.067993,12.34, 88.80
1657376120.1074798,11.91, 89.70
1657376121.1383896,10.93, 84.50
1657376122.1800334,13.16, 83.78
1657376123.2035818,14.34, 83.33
1657376124.2380471,13.03, 84.87
1657376125.2670813,11.06, 87.19
1657376126.2991927,11.88, 84.14
1657376127.333167,12.44, 85.25
1657376128.3685462,13.37, 89.26
1657376129.3975573,12.69, 83.31
1657376130.4270384,13.99, 86.52
1657376131.4630704,12.38, 81.52
1657376132.5012476,13.19, 79.50
1657376133.5362098,12.50, 77.11
1657376134.5702314,12.95, 84.00
1657376135.6086354,13.40, 84.23
1657376136.6480806,12.44, 79.37
1657376137.6885917,11.65, 81.69
1657376138.7301571,13.38, 80.78
1657376139.7738786,13.51, 85.90
1657376140.8059232,12.42, 83.41
1657376141.8405674,13.67, 81.71
1657376142.875621,12.23, 84.71
1657376143.898401,14.38, 86.36
1657376144.9265645,13.31, 85.04
1657376145.968786,12.42, 80.63
1657376146.995979,12.78, 77.32
1657376148.0380554,9.82, 80.97
1657376149.078057,7.58, 78.34
1657376150.1125195,11.49, 83.10
1657376151.1384678,13.21, 72.91
1657376152.1706204,12.20, 74.39
1657376153.209412,13.48, 75.78
1657376154.2471194,13.06, 74.08
1657376155.284586,14.23, 77.64
1657376156.324484,9.51, 71.04
1657376157.362624,13.07, 70.71
1657376158.3947892,13.64, 77.98
1657376159.438104,12.82, 75.12
1657376160.4789302,15.51, 357.61
1657376161.5222845,14.93, 416.63
1657376162.553079,17.52, 1394.18
1657376163.593455,27.66, 2773.96
1657376164.6257014,21.45, 2069.99
1657376165.666197,12.97, 78.91
1657376166.7095032,14.89, 83.75
1657376167.739763,18.77, 83.86
1657376168.7878826,14.65, 82.58
1657376169.8224103,15.93, 79.44
1657376170.863206,13.54, 68.56
1657376171.9039104,12.33, 71.61
1657376172.9395752,10.46, 69.91
1657376173.966474,61.95, 112.19
1657376175.007698,21.82, 253.89
1657376176.039076,70.42, 350.91
1657376177.0743954,62.16, 154.57
1657376178.1027226,37.73, 522.11
1657376179.1434011,65.06, 161.28
1657376180.1783586,29.82, 404.64
1657376181.212595,10.66, 67.36
1657376182.2434464,14.68, 86.74
1657376183.2758255,13.42, 62.24
1657376184.3164387,12.32, 72.36
1657376185.3404806,19.04, 86.50
1657376186.376528,23.46, 95.39
1657376187.4140773,20.39, 89.81
1657376188.457406,13.04, 77.24
1657376189.5011063,12.85, 80.25
1657376190.5433311,11.95, 78.07
1657376191.5756965,25.92, 78.73
1657376192.614794,176.83, 86.69
1657376193.6545548,10.63, 77.71
1657376194.6826336,11.18, 73.19
1657376195.7139075,13.44, 72.99
1657376196.7511866,12.19, 77.37
1657376197.7842484,12.80, 74.24
1657376198.8238256,13.88, 76.13
1657376199.8571002,13.88, 72.96
1657376200.8886156,18.90, 81.75
1657376201.925577,20.36, 824.51
1657376202.9591649,25.86, 2667.62
1657376203.9881856,19.44, 90.80
1657376205.0135891,13.69, 74.63
1657376206.0416653,16.20, 80.36
1657376207.0778658,12.74, 70.18
1657376208.117546,13.22, 72.02
1657376209.172762,11.67, 68.62
1657376210.2241492,12.14, 71.59
1657376211.2667413,10.18, 14.02
1657376212.3149343,10.16, 1.40
1657376213.392582,10.67, 1.65
