ts,ul_kBps,dl_kBps
1656939177.9441414,0.45, 0.29
1656939178.979103,4.22, 24.96
1656939179.995734,25.02, 2254.86
1656939181.0297694,6.45, 82.59
1656939182.0516503,17.23, 1934.07
1656939183.0768921,11.75, 1175.10
1656939184.1033943,10.29, 1825.72
1656939185.1202328,14.23, 3740.05
1656939186.1354775,18.37, 3876.40
1656939187.1538537,11.30, 3455.09
1656939188.1672716,13.67, 3977.49
1656939189.1895118,11.58, 2937.62
1656939190.2167556,10.98, 2726.31
1656939191.2520938,8.33, 1920.25
1656939192.2841184,13.55, 3245.40
1656939193.3210518,12.00, 3429.00
1656939194.3606699,10.36, 3042.79
1656939195.382426,10.32, 2508.55
1656939196.41568,24.82, 2957.83
1656939197.4474876,19.74, 3475.69
1656939198.4753003,19.26, 3211.66
1656939199.506475,16.87, 2788.62
1656939200.5421088,23.67, 3716.12
1656939201.585091,17.50, 2773.03
1656939202.6116152,15.37, 2420.60
1656939203.6466815,18.56, 3228.56
1656939204.6766987,19.38, 3563.23
1656939205.6965494,11.98, 1613.44
1656939206.7298214,12.16, 1840.19
1656939207.7633052,14.02, 2521.27
1656939208.8007693,15.01, 2776.68
1656939209.8319783,16.92, 3613.61
1656939210.8636055,16.39, 3389.79
1656939211.8910017,17.62, 3593.39
1656939212.9281068,16.06, 2999.87
1656939213.9553893,17.76, 3533.35
1656939214.984999,21.05, 3406.07
1656939216.0091593,20.14, 3211.88
1656939217.0333061,12.30, 2047.48
1656939218.0649507,16.85, 2866.41
1656939219.095114,20.61, 2930.72
1656939220.1190355,18.62, 3099.45
1656939221.1531594,17.71, 3113.20
1656939222.1839893,23.34, 3733.37
1656939223.2134867,20.18, 3379.18
1656939224.2485666,24.53, 2866.73
1656939225.2725708,12.07, 2021.20
1656939226.2913334,13.13, 2191.47
1656939227.3192487,11.12, 1718.96
1656939228.3530033,11.15, 1992.17
1656939229.385725,20.13, 3451.62
1656939230.4200244,29.45, 4378.42
1656939231.4647727,21.31, 3477.75
1656939232.5063534,19.28, 3358.67
1656939233.5376036,16.70, 2662.79
1656939234.5667503,18.85, 2833.72
1656939235.5991297,12.80, 1942.93
1656939236.6377857,16.25, 2377.48
1656939237.6715114,16.06, 2491.12
1656939238.7066052,16.43, 1584.64
1656939239.7312698,7.36, 1631.07
1656939240.7542117,8.57, 2837.27
1656939241.7819815,9.76, 2896.76
1656939242.8143678,19.30, 2756.70
1656939243.8390334,39.68, 4275.11
1656939244.8747501,29.30, 3414.72
1656939245.9040089,11.93, 4.22
1656939246.943058,12.00, 6.16
1656939247.9748898,12.77, 12.02
1656939249.0059676,11.28, 24.95
1656939250.0547583,11.06, 46.33
1656939251.0749416,12.14, 66.60
1656939252.1076007,11.69, 1.53
1656939253.140825,10.75, 1.94
1656939254.1731086,11.01, 1.48
1656939255.2073977,14.20, 8.66
1656939256.238762,10.85, 1.83
1656939257.2607274,11.67, 1.44
1656939258.2918406,10.64, 1.63
1656939259.3272517,10.91, 1.42
1656939260.3480346,10.45, 1.58
1656939261.3841615,10.82, 1.52
1656939262.41343,11.14, 1.47
1656939263.4382446,10.40, 1.66
1656939264.4605396,13.59, 1.94
1656939265.4989169,10.35, 1.44
1656939266.5295165,10.23, 1.63
1656939267.5586283,10.41, 1.49
1656939268.590087,9.74, 1.57
1656939269.613227,10.81, 1.99
1656939270.6478727,10.40, 1.60
1656939271.6796107,10.50, 1.48
1656939272.7048042,11.89, 148.59
1656939273.7370095,12.09, 368.88
1656939274.763364,13.60, 734.93
1656939275.7907712,14.77, 1450.77
1656939276.8244576,18.34, 2308.71
1656939277.855171,15.48, 1687.39
1656939278.8867078,10.99, 1.81
1656939279.9137857,10.79, 1.54
1656939280.946756,16.38, 1032.79
1656939281.9757953,21.33, 3354.53
1656939282.9988701,13.59, 825.22
1656939284.0220087,10.66, 1.74
1656939285.0438166,9.56, 1.44
1656939286.0773125,12.71, 2.54
1656939287.1079986,10.28, 1.48
1656939288.1424682,11.72, 2.07
1656939289.1788702,10.58, 1.86
1656939290.2020874,11.21, 42.40
1656939291.22941,10.42, 1.61
1656939292.2603076,14.09, 2.40
1656939293.2940695,10.24, 1.76
1656939294.3207636,12.77, 3.18
1656939295.3573713,15.66, 7.23
1656939296.386235,9.97, 1.60
1656939297.4206152,11.22, 1.60
1656939298.4433274,12.30, 1.66
1656939299.4664855,11.16, 2.41
1656939300.4891276,10.18, 1.63
1656939301.5213785,9.91, 1.55
1656939302.5533204,10.47, 1.57
1656939303.5825963,10.74, 7.80
1656939304.6119378,10.63, 1.28
1656939305.634325,9.86, 1.13
1656939306.6656206,9.88, 1.45
1656939307.7004237,12.05, 2.08
1656939308.736247,9.91, 1.31
1656939309.7550647,10.86, 5.44
1656939310.7936199,10.01, 6.76
1656939311.8392406,19.71, 544.14
1656939312.8708963,15.91, 578.81
1656939313.9023063,25.33, 2875.21
1656939314.9498901,27.41, 3674.53
1656939315.9872286,9.21, 192.24
1656939317.0167506,7.19, 37.27
1656939318.0499463,10.00, 38.69
1656939319.0778053,12.28, 43.13
1656939320.1051815,14.95, 62.93
1656939321.1475837,26.68, 2745.13
1656939322.180858,13.86, 343.28
1656939323.2102585,14.22, 66.68
1656939324.2391462,13.99, 77.04
1656939325.2638404,13.41, 74.57
1656939326.2891233,14.26, 82.37
1656939327.3182347,13.64, 79.12
1656939328.358257,14.31, 85.43
1656939329.3962,14.27, 91.40
1656939330.4323394,13.52, 86.72
1656939331.4704294,14.49, 93.14
