ts,ul_kBps,dl_kBps
1656949965.842839,2.12, 6.98
1656949966.84337,14.81, 64.05
1656949967.8447871,78.14, 2322.29
1656949968.8461933,60.79, 3211.39
1656949969.8471513,9.49, 57.55
1656949970.8485463,4.72, 106.79
1656949971.8499725,23.71, 1762.13
1656949972.8508444,57.04, 5353.13
1656949973.8523228,38.88, 4586.18
1656949974.8533247,56.72, 5139.94
1656949975.8547764,53.07, 5292.78
1656949976.856172,54.91, 5228.11
1656949977.8580918,43.57, 4075.04
1656949978.8591814,50.66, 4985.42
1656949979.860549,53.16, 5308.25
1656949980.861891,50.34, 4833.03
1656949981.8628874,42.17, 4156.71
1656949982.86433,50.64, 3431.03
1656949983.8657436,73.50, 3703.20
1656949984.8668387,73.48, 3460.17
1656949985.8682294,46.62, 4619.06
1656949986.869671,54.60, 5271.13
1656949987.870876,47.72, 4398.52
1656949988.8722916,49.63, 5027.07
1656949989.8736596,56.63, 5282.95
1656949990.874874,53.92, 5276.06
1656949991.8762255,44.35, 4696.63
1656949992.8776264,51.73, 5084.33
1656949993.8788068,45.95, 4752.19
1656949994.880178,46.32, 4760.18
1656949995.8815484,48.93, 4791.92
1656949996.8828387,58.36, 4117.03
1656949997.8842638,42.42, 4570.45
1656949998.885675,41.75, 3860.95
1656949999.886888,44.31, 4781.45
1656950000.888308,2.10, 152.66
1656950001.8896797,3.23, 259.46
1656950002.8908408,5.89, 104.56
1656950003.8923197,25.09, 158.82
1656950004.8932037,19.55, 462.93
1656950005.8946214,24.86, 1270.63
1656950006.8960576,12.74, 1.72
1656950007.8974535,12.27, 1.63
1656950008.898807,13.05, 1.79
1656950009.9001951,12.75, 1.85
1656950010.9015753,12.49, 1.57
1656950011.9028158,11.99, 2.01
1656950012.9043047,12.07, 1.48
1656950013.9058115,13.65, 2.16
1656950014.9067974,12.68, 1.63
1656950015.9081953,11.87, 1.55
1656950016.9096909,12.07, 3.19
1656950017.9108489,14.41, 10.56
1656950018.9122374,28.03, 128.82
1656950019.913562,16.46, 231.92
1656950020.9148307,40.09, 2492.13
1656950021.916231,12.04, 12.94
1656950022.9176176,12.97, 20.37
1656950023.9188218,14.56, 23.29
1656950024.9202416,23.33, 348.99
1656950025.92155,39.86, 2773.13
1656950026.9228592,67.41, 3483.43
1656950027.924229,58.86, 3609.82
1656950028.925692,13.66, 23.13
1656950029.9267814,18.59, 64.16
1656950030.9282258,13.30, 22.38
1656950031.9294288,24.21, 1277.60
1656950032.9308102,54.18, 4116.48
1656950033.9322977,18.07, 239.85
1656950034.9336798,12.88, 19.27
1656950035.934888,13.33, 22.04
1656950036.9363904,15.55, 28.76
1656950037.9378982,12.54, 25.72
1656950038.9388182,13.38, 28.67
1656950039.9394834,13.26, 25.39
1656950040.9409041,15.24, 33.39
1656950041.9422982,12.03, 24.48
1656950042.9427872,12.49, 27.93
1656950043.9434285,15.50, 31.22
1656950044.944857,12.70, 23.93
1656950045.9462886,12.81, 25.44
1656950046.9467943,12.36, 23.02
1656950047.947859,14.93, 28.19
1656950048.9491937,13.61, 25.85
1656950049.9502554,12.65, 22.58
1656950050.9508507,17.71, 182.59
1656950051.9522393,12.72, 24.80
1656950052.9536095,12.15, 22.43
1656950053.9548316,13.36, 23.51
1656950054.9555907,27.88, 564.46
1656950055.9569535,23.29, 543.73
1656950056.9578576,23.20, 441.54
1656950057.9588034,16.84, 142.26
1656950058.9601762,43.52, 2611.87
1656950059.9617047,12.76, 23.98
1656950060.9628203,14.80, 28.92
1656950061.9642563,14.75, 28.48
1656950062.9647665,13.25, 24.70
1656950063.9661384,13.93, 24.05
1656950064.9667876,12.33, 25.67
1656950065.968176,12.46, 23.01
1656950066.9695187,13.59, 23.50
1656950067.9707978,12.47, 25.99
1656950068.97224,13.61, 26.08
1656950069.9736927,13.34, 25.90
1656950070.9747872,12.58, 26.65
1656950071.9761772,13.14, 27.98
1656950072.977392,12.46, 28.34
1656950073.9787936,14.34, 28.81
1656950074.9802468,12.78, 26.59
1656950075.9816608,12.42, 25.21
1656950076.9828002,12.48, 26.91
1656950077.9841952,12.69, 26.76
1656950078.9857304,13.45, 27.38
1656950079.986794,12.85, 24.72
1656950080.988114,12.67, 26.72
1656950081.9894636,12.08, 27.66
1656950082.9908,12.03, 26.53
1656950083.992167,14.19, 26.67
1656950084.9936492,12.51, 25.33
1656950085.9948266,13.35, 23.05
1656950086.9955988,12.20, 23.42
1656950087.9970634,12.89, 23.37
1656950088.9984598,14.30, 24.30
1656950089.999829,12.90, 20.75
1656950091.0012648,13.62, 21.18
1656950092.002682,12.74, 22.67
1656950093.0040157,12.25, 23.91
1656950094.0054004,13.35, 26.10
1656950095.0067992,13.77, 26.73
1656950096.0081933,11.99, 22.21
1656950097.009595,12.95, 23.65
1656950098.0108454,13.05, 27.04
1656950099.012291,13.27, 27.65
1656950100.0136836,13.33, 23.24
1656950101.0148187,12.52, 23.40
1656950102.0162132,12.83, 20.28
1656950103.017584,13.75, 26.81
1656950104.0189052,13.62, 26.74
1656950105.0197039,13.72, 22.74
1656950106.0210824,12.85, 27.62
1656950107.0224411,13.38, 25.88
1656950108.0233858,13.15, 27.17
1656950109.0247998,13.62, 26.76
1656950110.0262341,13.22, 27.00
1656950111.0268471,12.84, 26.01
1656950112.0282705,12.07, 25.60
1656950113.0295248,12.54, 25.96
1656950114.0307963,13.38, 27.75
1656950115.0315511,13.06, 25.18
1656950116.0328825,12.22, 24.48
1656950117.0342937,12.64, 23.65
1656950118.0349061,13.22, 21.65
1656950119.0362942,13.29, 26.63
1656950120.037651,13.14, 23.54
1656950121.0388825,13.13, 22.49
1656950122.0403314,12.56, 20.10
1656950123.041802,12.88, 23.34
1656950124.0428376,13.08, 24.33
1656950125.0442204,12.49, 26.49
1656950126.0455544,13.08, 23.10
1656950127.046807,14.15, 22.14
1656950128.048192,12.23, 14.87
1656950129.0495033,14.29, 33.51
1656950130.0508096,12.28, 23.13
1656950131.0521803,12.37, 22.63
1656950132.053572,12.38, 22.57
1656950133.0548458,12.18, 23.27
1656950134.0562332,13.24, 20.99
1656950135.0576463,12.12, 19.94
1656950136.0588152,13.13, 26.99
1656950137.0602462,12.13, 20.58
1656950138.0616434,12.27, 22.37
1656950139.0628147,13.79, 23.11
1656950140.0641866,12.73, 22.45
1656950141.065538,13.84, 23.17
1656950142.0669494,12.39, 24.27
1656950143.068338,12.80, 12.19
1656950144.0698023,13.33, 37.96
1656950145.070862,13.61, 26.04
1656950146.0721953,12.54, 23.94
1656950147.0729086,12.92, 25.48
1656950148.0742989,12.24, 26.24
1656950149.0748217,13.74, 27.79
1656950150.0761893,12.56, 25.71
1656950151.0776443,12.47, 25.20
1656950152.0788364,12.77, 26.98
1656950153.0802119,12.61, 27.63
1656950154.0816238,14.05, 27.11
1656950155.08279,13.29, 26.11
1656950156.0841348,13.50, 25.48
1656950157.0855,12.79, 25.19
1656950158.0868065,12.28, 26.06
1656950159.0881972,13.86, 28.92
1656950160.089325,13.12, 26.38
1656950161.0907145,12.68, 27.50
1656950162.092105,12.74, 28.87
1656950163.0934517,13.80, 29.82
1656950164.0948305,13.57, 28.52
1656950165.0963306,12.76, 28.88
1656950166.0979164,12.38, 28.89
1656950167.098823,12.16, 28.13
1656950168.1000314,12.68, 29.67
1656950169.1013792,12.96, 31.04
1656950170.1027772,13.08, 28.58
1656950171.1041925,13.32, 28.87
1656950172.105602,11.97, 26.00
1656950173.1068008,12.38, 31.39
1656950174.1081345,13.56, 29.60
1656950175.1095011,13.35, 28.84
1656950176.1108418,12.85, 27.53
1656950177.112289,12.43, 27.52
1656950178.1136246,12.08, 29.92
1656950179.1148772,13.41, 30.60
1656950180.1161509,13.51, 29.01
1656950181.1176066,12.59, 29.37
1656950182.1188438,12.25, 29.17
1656950183.1202664,12.80, 30.20
1656950184.1217675,13.16, 30.83
1656950185.122794,12.65, 28.86
1656950186.1241434,13.53, 29.32
1656950187.124715,11.95, 23.70
1656950188.1261816,13.36, 34.14
1656950189.1269183,14.75, 31.39
1656950190.1275537,12.61, 29.35
1656950191.129031,12.10, 29.78
1656950192.1298547,12.63, 29.63
1656950193.1308768,12.22, 29.80
1656950194.1323454,14.27, 28.84
1656950195.1337037,12.75, 27.21
1656950196.1348672,12.85, 28.58
1656950197.1362693,12.84, 26.31
1656950198.137276,12.02, 27.08
1656950199.13857,13.39, 28.12
1656950200.1400468,12.66, 26.06
1656950201.1415455,13.29, 24.37
1656950202.142844,12.33, 20.02
1656950203.144285,12.06, 32.12
1656950204.1458051,13.59, 27.77
1656950205.1467893,13.38, 26.49
1656950206.148159,12.88, 25.96
1656950207.1495569,12.54, 26.56
1656950208.1508007,12.51, 27.59
1656950209.1521866,14.80, 27.67
1656950210.1536045,13.74, 25.42
1656950211.1547878,12.24, 25.60
1656950212.1561968,12.39, 26.10
1656950213.1575248,12.83, 25.95
1656950214.1587765,12.93, 24.89
1656950215.1601868,12.64, 26.08
1656950216.1615646,12.60, 26.66
1656950217.162921,13.17, 19.94
1656950218.1643765,12.40, 37.26
1656950219.1657465,14.11, 28.96
1656950220.166786,11.53, 23.77
1656950221.168148,12.73, 27.15
1656950222.169633,12.65, 26.00
1656950223.1708128,12.50, 28.81
1656950224.1721284,13.35, 29.68
1656950225.1735203,12.63, 28.15
1656950226.1747966,12.54, 26.59
1656950227.1761866,12.29, 29.11
1656950228.1775615,12.15, 26.92
1656950229.1788478,12.94, 24.69
1656950230.180309,12.66, 26.69
1656950231.181761,12.70, 25.82
1656950232.1828134,12.27, 25.59
1656950233.184175,12.11, 26.72
1656950234.1856215,13.66, 27.47
1656950235.1868196,12.46, 26.93
1656950236.188188,12.91, 26.47
1656950237.1895835,12.93, 26.34
1656950238.1908772,13.59, 25.11
1656950239.1917138,13.95, 24.10
1656950240.1930883,13.43, 29.24
1656950241.1944518,13.30, 25.26
1656950242.1958544,13.17, 25.03
1656950243.1973193,13.13, 26.33
1656950244.1987047,14.90, 26.11
1656950245.1998641,12.68, 28.25
1656950246.2012289,12.98, 25.76
1656950247.2025554,13.02, 28.01
1656950248.2039402,13.02, 29.11
1656950249.2046597,14.65, 26.53
1656950250.2060866,12.99, 22.16
1656950251.2068596,12.56, 24.43
1656950252.2082825,13.14, 24.58
1656950253.2097387,13.54, 26.68
1656950254.2108464,13.91, 22.34
1656950255.2122762,13.35, 27.61
1656950256.2136748,13.59, 25.80
1656950257.214866,13.35, 28.19
1656950258.2162693,13.27, 29.38
1656950259.2176754,14.21, 27.83
1656950260.2188942,13.32, 27.32
1656950261.2202744,13.34, 27.09
1656950262.2216554,13.15, 24.93
1656950263.2228227,12.73, 27.03
1656950264.2235546,14.37, 25.88
1656950265.2250473,14.44, 26.90
1656950266.2264795,13.51, 26.53
1656950267.2279258,12.89, 26.27
1656950268.229325,12.68, 26.81
1656950269.2306712,13.69, 18.57
1656950270.2317505,13.99, 32.77
1656950271.2331831,15.72, 34.94
1656950272.2346365,12.75, 25.83
1656950273.2360852,12.70, 27.36
1656950274.2375338,14.35, 25.68
1656950275.238836,12.65, 27.20
1656950276.2401965,12.79, 25.08
1656950277.241543,13.02, 27.44
1656950278.2427933,12.82, 26.83
1656950279.2441847,13.81, 24.61
1656950280.2455735,13.27, 26.45
1656950281.2467902,13.14, 23.89
1656950282.2481847,12.98, 23.39
1656950283.2495406,12.88, 22.77
1656950284.2508361,13.60, 16.25
1656950285.252177,13.59, 31.21
1656950286.2535102,12.85, 23.68
1656950287.2549078,13.08, 23.41
1656950288.2563353,12.43, 20.77
1656950289.2577803,13.92, 23.65
1656950290.2589648,13.65, 24.31
1656950291.260324,12.68, 20.90
1656950292.2617762,11.54, 23.49
1656950293.2627869,12.64, 26.18
1656950294.2641733,13.87, 23.49
1656950295.265543,13.74, 26.77
1656950296.2668343,12.92, 23.86
1656950297.2682164,12.72, 23.79
1656950298.2695994,12.83, 25.96
1656950299.270856,13.56, 17.19
1656950300.2719169,14.07, 33.99
1656950301.273325,12.59, 20.93
1656950302.2746868,12.80, 25.09
1656950303.276028,13.18, 26.31
1656950304.2773807,14.17, 24.71
1656950305.2787697,14.02, 26.29
1656950306.2801485,12.99, 25.55
1656950307.2815728,13.24, 23.94
1656950308.2828088,13.33, 23.57
1656950309.2842264,14.01, 23.47
1656950310.2857616,13.50, 24.04
1656950311.2868485,13.06, 22.80
1656950312.2882657,13.01, 22.80
1656950313.2890887,12.53, 23.78
1656950314.290472,13.53, 13.85
1656950315.2919588,13.52, 33.51
1656950316.2934747,13.22, 24.84
1656950317.2948148,13.21, 24.49
1656950318.2962556,12.98, 26.87
1656950319.297638,13.74, 25.41
1656950320.2988412,13.58, 27.78
1656950321.2995207,13.02, 23.43
1656950322.2998972,13.01, 24.03
1656950323.3013089,13.43, 33.74
1656950324.302734,15.30, 28.54
1656950325.3040648,14.33, 29.82
1656950326.3049004,13.26, 29.59
1656950327.3063781,13.40, 27.08
1656950328.3068266,12.83, 28.88
1656950329.3082106,14.15, 28.56
1656950330.3094795,13.37, 26.96
1656950331.3108082,13.12, 26.70
1656950332.311561,12.85, 25.61
1656950333.3130097,12.49, 26.98
1656950334.3144147,14.20, 26.47
1656950335.314808,13.28, 26.53
1656950336.3162577,13.09, 25.56
1656950337.3176928,13.85, 26.45
1656950338.318837,12.53, 26.58
1656950339.3202817,14.43, 26.66
1656950340.3216834,13.58, 26.10
1656950341.3228734,13.17, 26.14
1656950342.323629,12.79, 25.41
1656950343.325075,13.31, 25.30
1656950344.3264778,14.09, 27.28
1656950345.3279226,13.46, 26.36
1656950346.3293314,12.88, 26.65
1656950347.3308065,12.86, 20.09
1656950348.3321576,12.82, 26.87
1656950349.3335109,14.32, 26.70
1656950350.3347998,13.51, 27.43
1656950351.33559,13.52, 26.37
1656950352.3369935,13.21, 24.75
1656950353.3384,12.86, 24.98
1656950354.338847,14.53, 27.69
1656950355.3404174,13.07, 26.21
1656950356.3415658,13.60, 25.82
1656950357.342859,13.22, 26.45
1656950358.3443117,13.22, 24.26
1656950359.3457477,14.11, 24.87
1656950360.3468459,13.54, 30.50
1656950361.347787,13.66, 26.70
1656950362.3491766,13.39, 26.25
1656950363.3505583,12.81, 25.99
1656950364.3520045,14.19, 26.73
1656950365.3534553,13.58, 26.48
1656950366.354837,12.90, 27.09
1656950367.356207,13.22, 26.50
1656950368.356689,12.88, 24.34
1656950369.3580792,14.58, 26.51
1656950370.3587947,13.06, 23.14
1656950371.3602324,14.11, 29.21
1656950372.3616986,12.95, 28.41
1656950373.362804,12.24, 24.87
1656950374.36349,14.64, 29.54
1656950375.364878,13.16, 29.35
1656950376.366302,12.66, 28.50
1656950377.3668125,12.95, 28.10
1656950378.3681645,12.63, 29.64
1656950379.3693233,15.13, 29.18
1656950380.3707366,13.22, 28.79
1656950381.372269,12.55, 27.18
1656950382.3737073,12.72, 26.85
1656950383.3748453,13.13, 28.96
1656950384.3762732,14.77, 28.55
1656950385.377747,15.62, 31.17
1656950386.378825,13.25, 27.95
1656950387.380168,13.27, 28.18
1656950388.381551,13.22, 27.14
1656950389.3827786,13.51, 25.82
1656950390.3841827,13.85, 27.27
1656950391.3846788,13.09, 26.19
1656950392.3861246,13.30, 27.72
1656950393.3868046,12.97, 25.74
1656950394.3881812,13.45, 25.04
1656950395.3895593,14.23, 27.68
1656950396.3908415,12.87, 30.84
1656950397.3922255,12.77, 28.73
1656950398.393657,13.48, 29.69
1656950399.394853,13.60, 30.50
1656950400.3963134,13.73, 29.05
1656950401.39773,12.85, 29.59
1656950402.3987923,14.12, 29.54
1656950403.4001956,12.19, 30.27
