ts,ul_kBps,dl_kBps
1656953246.0908196,15.50, 32.30
1656953247.0923488,276.01, 4388.41
1656953248.0934577,406.45, 9270.75
1656953249.0950274,226.27, 5581.81
1656953250.0966473,186.60, 4054.27
1656953251.0974143,325.07, 8787.97
1656953252.098925,255.24, 6750.08
1656953253.1000602,230.84, 7311.32
1656953254.10145,180.23, 5512.89
1656953255.1029625,309.82, 8968.28
1656953256.1043286,206.01, 6475.71
1656953257.1053421,155.38, 4937.29
1656953258.1067438,178.95, 4781.51
1656953259.1083024,139.75, 4319.75
1656953260.1094525,142.36, 5596.99
1656953261.1112015,138.73, 5153.57
1656953262.1133986,136.85, 5104.80
1656953263.1146483,136.55, 5259.81
1656953264.116297,145.56, 5342.33
1656953265.1179593,152.60, 5599.07
1656953266.1194682,171.75, 6413.16
1656953267.1210344,253.24, 11361.57
1656953268.1226544,231.90, 9231.67
1656953269.1241663,225.97, 9006.84
1656953270.1254456,219.75, 8743.39
1656953271.1266048,208.94, 8421.19
1656953272.128167,204.33, 8813.27
1656953273.1294417,140.92, 5716.74
1656953274.1310651,126.41, 4549.30
1656953275.1327002,116.76, 4428.42
1656953276.1335168,111.14, 4109.59
1656953277.1351023,17.99, 435.56
1656953278.1367111,20.54, 625.89
1656953280.1386619,23.58, 722.61
1656953281.1402621,14.42, 394.02
1656953282.1414487,20.07, 700.34
1656953283.142929,131.62, 3770.25
1656953284.1444664,146.74, 4561.59
1656953285.1455193,143.55, 4899.88
1656953286.1471362,141.35, 4742.11
1656953287.1487749,154.46, 5652.40
1656953288.1494834,149.37, 5452.98
1656953289.1509748,146.46, 4693.16
1656953290.152588,156.40, 4921.47
1656953291.153461,153.90, 4752.59
1656953292.1550682,160.18, 4862.04
1656953293.1566708,168.59, 5074.29
1656953294.1577451,164.33, 4990.21
1656953295.1587725,154.70, 4791.67
1656953296.1605535,225.16, 8027.84
1656953297.1614206,261.26, 9227.90
1656953298.1630108,284.05, 9070.72
1656953299.1653907,313.56, 9674.79
1656953300.1670394,286.65, 7913.57
1656953301.1686249,264.11, 6235.74
1656953302.1694276,332.08, 9641.58
1656953303.1710541,290.91, 8822.23
1656953304.1726139,296.92, 9010.99
1656953305.173484,308.31, 9172.63
1656953306.1751094,383.94, 9705.78
1656953307.17676,324.99, 8742.86
1656953308.177866,328.62, 9376.02
1656953309.1794112,305.09, 9001.13
1656953310.1807888,316.35, 9155.50
1656953311.1829877,304.73, 9121.08
1656953312.1847022,347.89, 9635.86
1656953313.185429,314.39, 9191.20
1656953314.1868894,307.25, 9019.01
1656953315.188488,305.16, 9133.94
1656953316.189713,293.96, 9259.09
1656953317.1912556,262.75, 9344.92
1656953318.192817,249.41, 8604.20
1656953319.1933668,263.61, 9112.16
1656953320.1947646,285.08, 9011.55
1656953321.1954818,294.10, 9032.26
1656953322.1963332,300.82, 9228.44
1656953323.198588,294.12, 8995.93
1656953325.2015169,299.91, 9180.18
1656953326.2030847,290.46, 8882.84
1656953327.2045236,297.47, 9065.13
1656953328.2058475,310.55, 9301.22
1656953329.2074125,311.62, 9309.63
1656953330.2089994,307.60, 9069.44
1656953331.2102914,303.54, 9163.04
1656953332.2111275,296.51, 9137.98
1656953333.2127423,277.80, 8591.73
1656953334.213873,289.04, 9094.53
1656953335.2151952,275.76, 8804.50
1656953336.2167647,299.22, 9396.32
1656953337.2174904,285.27, 8857.98
1656953338.2190018,292.28, 8796.73
1656953339.2205493,299.94, 8961.28
1656953340.221439,294.90, 8781.95
1656953341.2231915,274.55, 8207.98
1656953342.2247002,276.72, 8169.74
1656953343.2253523,246.47, 7235.07
1656953344.2267365,240.20, 6682.92
1656953345.2292705,232.69, 7382.79
1656953346.2311485,306.14, 8791.98
1656953347.232904,292.55, 9220.84
1656953348.2345273,282.20, 8593.69
1656953349.2361965,316.33, 9339.10
1656953350.2376773,308.81, 9200.75
1656953351.2384818,317.83, 9407.89
1656953352.2398841,323.58, 9020.27
1656953353.241442,326.97, 8951.01
1656953354.2430558,331.17, 8981.33
1656953355.2445831,290.71, 8408.55
1656953356.245832,303.57, 8932.30
1656953357.2474506,335.13, 9175.24
1656953358.2485251,341.32, 9278.32
1656953359.249931,331.58, 9180.06
1656953360.251722,354.57, 9162.52
1656953361.2534275,360.88, 9358.84
1656953362.255022,294.03, 8723.01
1656953363.2564929,300.08, 8831.41
1656953364.2575316,327.77, 9209.78
1656953365.2588556,316.00, 9186.73
1656953366.2602024,314.67, 8903.63
1656953367.2614288,334.26, 8945.33
1656953368.2630467,341.76, 9133.99
1656953369.2647133,333.68, 9260.16
1656953371.2670407,307.18, 8634.87
1656953372.268719,291.76, 9374.07
1656953373.2695456,253.33, 9025.61
1656953374.2704885,226.91, 9331.78
1656953375.2722507,198.28, 9070.45
1656953376.2734704,230.52, 9282.50
1656953377.275153,275.31, 9219.03
1656953378.2761292,283.30, 8876.79
1656953379.2774487,315.08, 9723.18
1656953380.2782633,331.20, 9268.52
1656953381.2796896,317.76, 9452.11
1656953382.281396,335.18, 9164.01
1656953383.2830353,351.31, 9484.14
1656953384.2850523,304.36, 9046.87
1656953385.286718,294.15, 8590.47
1656953386.2882338,312.90, 9345.71
1656953387.2894955,342.86, 9094.37
1656953388.2905493,341.87, 9430.73
1656953389.2914827,293.31, 8795.44
1656953390.2931647,291.41, 9185.70
1656953391.294824,251.56, 8943.46
1656953392.2965162,244.67, 9250.27
1656953393.2973824,225.18, 8451.33
1656953394.2983475,242.78, 9603.44
1656953395.2995596,217.91, 8748.66
1656953396.3011649,228.06, 9132.89
1656953397.3027868,235.84, 8869.32
1656953398.3042474,236.34, 8916.95
1656953399.3056202,275.84, 9292.59
1656953400.3077848,267.65, 8684.43
1656953401.3093858,291.59, 9416.68
1656953402.3119304,294.21, 9375.10
1656953403.3134162,303.82, 9571.70
1656953404.315056,296.44, 7790.52
1656953405.316426,290.92, 9234.72
1656953406.317857,285.41, 9043.98
1656953407.3194926,270.36, 8528.31
1656953408.3211076,298.83, 9322.96
1656953409.3227062,284.35, 9045.54
1656953410.3243039,301.56, 9426.30
1656953411.3254628,299.22, 9490.60
1656953412.327084,288.61, 9143.40
1656953413.3288789,279.10, 8931.09
1656953414.3307102,272.25, 8774.59
1656953416.3334281,308.27, 9770.85
1656953417.334625,307.53, 9582.51
1656953418.3356612,299.39, 9509.58
1656953419.336971,293.11, 9046.55
1656953420.3384287,284.26, 9208.77
1656953421.3399262,296.89, 9374.78
1656953422.3414092,296.57, 9213.11
1656953423.3430295,285.34, 8942.15
1656953424.3441987,288.71, 9436.85
1656953425.3453252,286.45, 9177.16
1656953426.3461828,294.26, 9507.62
1656953427.3477094,292.17, 9171.37
1656953428.3495,292.74, 9439.46
1656953429.3512695,282.32, 9079.09
1656953430.3525648,276.21, 8783.13
1656953431.3533874,299.50, 9410.59
1656953432.3543534,305.92, 9709.56
1656953433.355785,305.91, 9751.92
1656953434.3573542,294.03, 9447.42
1656953435.358294,280.30, 8941.09
1656953436.3599396,306.52, 9680.35
1656953437.3614745,283.45, 9116.58
1656953438.362589,287.92, 9385.31
1656953439.3640869,302.76, 9467.68
1656953440.3654404,294.68, 9400.48
1656953441.3670182,295.51, 9694.55
1656953442.3686218,289.21, 9484.02
1656953443.369493,280.09, 9035.18
1656953444.3710349,290.21, 9545.41
1656953445.3719058,352.46, 13803.21
1656953446.373498,186.01, 8240.18
1656953447.3750432,23.17, 621.86
1656953448.3763947,48.81, 908.94
1656953449.377432,84.12, 3243.54
1656953450.3783083,131.24, 4349.79
1656953451.379844,119.03, 5324.90
1656953452.3813872,52.18, 321.78
1656953453.3829734,152.69, 5241.48
1656953454.3846283,210.39, 5742.23
1656953455.3856328,285.60, 8521.11
1656953456.3891623,261.31, 8371.09
1656953457.3908758,278.59, 7982.59
1656953458.3929086,278.32, 6072.20
1656953459.394794,269.87, 6207.79
1656953462.4062939,283.82, 8210.93
1656953463.407243,276.58, 7254.48
1656953464.409013,310.35, 8451.54
1656953465.4106638,298.18, 8663.02
1656953466.4123685,294.94, 8674.26
1656953467.4145024,294.62, 7922.02
1656953468.4167368,208.79, 6476.60
1656953469.4182296,80.55, 485.81
1656953470.420169,96.75, 554.99
1656953471.4216557,100.43, 597.07
