ts,ul_kBps,dl_kBps
1656677272.0580149,0.41, 0.25
1656677273.1049087,4.16, 22.77
1656677274.1267478,32.45, 2323.78
1656677275.1380434,7.65, 621.59
1656677276.1564877,21.80, 2515.48
1656677277.1736767,3.33, 33.82
1656677278.2051756,12.46, 3968.82
1656677279.2164273,10.23, 4334.73
1656677280.2367287,16.86, 4577.24
1656677281.2499886,15.07, 4753.55
1656677282.2692919,11.15, 4627.61
1656677283.2878551,14.67, 5357.61
1656677284.3166893,16.48, 5582.43
1656677285.3383079,15.77, 5275.33
1656677286.3608692,12.38, 3861.94
1656677287.3789725,14.33, 5221.07
1656677288.4105372,18.14, 4896.44
1656677289.4474554,37.55, 5313.53
1656677290.4716735,40.05, 6314.56
1656677291.48932,42.14, 5884.81
1656677292.517182,37.96, 5146.75
1656677293.5496132,41.88, 5370.60
1656677294.5774817,41.01, 5279.96
1656677295.5994265,38.34, 5271.02
1656677296.6251287,40.53, 5063.63
1656677297.6528292,29.22, 1727.41
1656677298.6681185,43.90, 5316.03
1656677299.6871667,48.32, 5383.70
1656677300.715729,40.28, 5212.38
1656677301.7395556,45.89, 5263.30
1656677302.7675264,51.56, 5651.91
1656677303.7824605,51.81, 5538.19
1656677304.7988055,50.11, 5563.78
1656677305.8314414,43.59, 4858.31
1656677306.8606284,44.73, 5017.21
1656677307.8921895,49.31, 6172.16
1656677308.9194412,47.45, 5628.31
1656677309.9366121,47.57, 5594.09
1656677310.952428,46.43, 5370.45
1656677311.9786353,26.80, 3112.16
1656677312.993796,20.10, 2338.58
1656677314.0110288,10.80, 1492.76
1656677315.0353105,0.43, 0.18
1656677316.0585423,8.63, 23.67
1656677317.090363,24.59, 2712.34
1656677318.120902,6.27, 4.51
1656677319.1404428,10.92, 1.70
1656677320.1725707,11.47, 1.52
1656677321.1886222,12.23, 1.80
1656677322.2203345,11.30, 2.08
1656677323.2554116,10.54, 1.71
1656677324.2836573,10.41, 1.70
1656677325.3163614,10.75, 1.79
1656677326.3358307,11.17, 1.50
1656677327.3565068,9.23, 1.63
1656677328.3770044,13.69, 1.39
1656677329.3972561,10.07, 1.86
1656677330.4305522,13.23, 1.66
1656677331.47863,12.25, 9.43
1656677332.5118902,26.13, 38.03
1656677333.544161,32.08, 173.14
1656677334.58369,21.92, 380.95
1656677335.6107593,10.03, 1.55
1656677336.6333048,10.73, 1.77
1656677337.668193,14.74, 7.99
1656677338.705568,10.41, 41.81
1656677339.724071,10.03, 1.59
1656677340.7511961,10.92, 1.74
1656677341.7744348,10.30, 1.76
1656677342.8038862,12.58, 2.90
1656677343.827509,9.84, 1.45
1656677344.846463,10.49, 1.56
1656677345.8802195,9.76, 1.55
1656677346.9076424,10.69, 8.65
1656677347.928846,10.06, 1.62
1656677348.9507027,10.39, 1.48
1656677349.972028,10.79, 1.78
1656677351.00127,12.17, 2.45
1656677352.0184596,9.96, 1.70
1656677353.0377676,9.20, 1.67
1656677354.0547922,9.51, 1.86
1656677355.0735478,10.61, 2.09
1656677356.0962484,10.73, 1.55
1656677357.1243792,10.13, 1.71
1656677358.1516273,25.52, 11.86
1656677359.1819506,14.28, 560.09
1656677360.208138,20.10, 3815.79
1656677361.2710161,16.15, 857.03
1656677362.3320012,10.51, 2.18
1656677363.3532968,10.13, 1.75
1656677364.3806245,13.44, 2.55
1656677365.4135778,10.44, 1.71
1656677366.4420333,11.14, 1.74
1656677367.4731271,10.40, 1.99
1656677368.4969072,9.92, 1.54
1656677369.520913,9.78, 1.55
1656677370.5416982,10.88, 1.67
1656677371.562922,10.63, 1.44
1656677372.5845816,9.92, 0.55
1656677373.6027842,12.95, 2.53
1656677374.6399536,9.99, 1.64
1656677375.66605,9.91, 1.59
1656677376.6948893,11.16, 2.32
1656677377.7249548,11.47, 7.59
1656677378.753594,10.68, 1.56
1656677379.7819934,13.99, 4.63
1656677380.812757,12.58, 1.77
1656677381.845816,10.90, 2.57
1656677382.8757975,10.43, 2.07
1656677383.908485,11.15, 1.97
1656677384.9399376,10.32, 1.49
1656677385.9772303,11.12, 1.62
