ts,ul_kBps,dl_kBps
1657289072.6970465,9.98, 50.85
1657289073.7442195,29.75, 176.03
1657289074.7662215,233.21, 17722.23
1657289075.8827283,103.00, 18083.06
1657289076.9038095,65.19, 713.94
1657289077.9226356,130.54, 25111.31
1657289078.9486382,193.53, 31860.17
1657289079.9626362,156.47, 32043.85
1657289080.9722688,188.02, 31821.89
1657289081.9862862,224.34, 32212.27
1657289082.997268,104.65, 31882.92
1657289084.013436,103.85, 32240.83
1657289085.0258849,80.48, 27488.49
1657289086.0408921,109.69, 25676.08
1657289087.0574315,144.26, 30081.39
1657289088.0763931,97.44, 30511.44
1657289089.1023972,93.89, 30501.52
1657289090.116849,114.00, 24481.13
1657289091.1388528,77.48, 13895.30
1657289092.1544974,44.99, 11198.65
1657289093.1624992,57.08, 10398.88
1657289094.1834962,84.99, 11134.89
1657289095.1927452,94.49, 10776.09
1657289096.2077417,163.85, 16889.30
1657289097.229743,198.64, 19239.27
1657289098.2477424,291.65, 29906.70
1657289099.2677197,295.51, 32495.12
1657289100.2847219,136.77, 27460.25
1657289101.2986226,143.00, 25606.85
1657289102.3158286,169.59, 22474.05
1657289103.3338296,180.49, 23169.49
1657289104.3478036,146.99, 24692.81
1657289105.3619542,179.68, 24437.34
1657289106.3735993,163.87, 22398.77
1657289107.386649,192.38, 23953.08
1657289108.407649,211.41, 26513.03
1657289109.426582,145.01, 24792.17
1657289110.4394507,161.63, 23610.15
1657289111.4586697,144.86, 25662.17
1657289112.4729779,148.99, 23860.96
1657289113.4931357,126.66, 25995.89
1657289114.5051355,106.26, 25408.09
1657289115.5227928,123.44, 25562.58
1657289116.5361192,125.28, 22950.55
1657289117.5759685,164.29, 25804.02
1657289118.5883472,134.40, 27600.03
1657289119.6033425,201.53, 27193.98
1657289120.621219,217.64, 28468.81
1657289121.6508896,182.74, 28223.19
1657289122.676891,180.07, 26005.77
1657289123.7088907,196.15, 25293.13
1657289124.7309012,205.70, 25202.91
1657289125.7528024,208.97, 28427.22
1657289126.7768025,220.88, 26981.73
1657289127.802799,261.60, 21649.87
1657289128.8218036,248.18, 24968.15
1657289129.8358035,258.56, 23022.29
1657289130.8517985,261.60, 23170.29
1657289131.8907995,245.82, 24673.80
1657289132.9217973,288.96, 22779.20
1657289133.9457989,250.32, 23776.88
1657289134.958799,244.62, 21192.32
1657289135.9797988,223.68, 19918.07
1657289137.0017996,141.70, 11940.32
1657289138.0238035,136.08, 10682.34
1657289139.0468013,183.84, 18053.18
1657289140.0637991,157.20, 14484.31
1657289141.0768008,98.30, 5483.96
1657289142.0987978,92.72, 2320.13
1657289143.1197999,75.69, 504.62
1657289144.1428015,82.93, 577.71
1657289145.1517982,79.44, 550.77
1657289146.1627986,90.47, 625.75
1657289147.182798,97.10, 708.79
1657289148.2018027,92.21, 777.85
1657289149.219802,99.30, 802.85
1657289150.232799,109.80, 841.81
1657289151.2528,97.11, 687.57
1657289152.2747986,99.71, 671.60
1657289153.2898037,95.70, 687.54
1657289154.3007982,103.49, 676.15
1657289155.3158014,98.73, 703.38
1657289156.334799,95.60, 710.82
1657289157.3427994,100.43, 746.52
1657289158.3648021,94.82, 830.06
1657289159.3738008,93.28, 985.85
1657289160.3907988,90.81, 1289.08
1657289161.4117982,89.42, 1938.08
1657289162.4327986,97.77, 3177.19
1657289163.4517984,102.08, 7429.95
1657289164.4737988,94.16, 638.36
1657289165.4947996,100.44, 661.60
1657289166.5167992,102.08, 671.09
1657289167.5267997,95.27, 656.81
1657289168.5457993,90.39, 631.06
1657289169.5608013,92.91, 612.84
1657289170.5817997,93.74, 648.68
1657289171.602802,96.62, 665.21
1657289172.6207995,92.02, 697.39
1657289173.646798,93.28, 691.56
1657289174.667799,91.46, 818.65
1657289175.686797,92.32, 980.14
1657289176.7007992,94.30, 1323.79
1657289177.7207985,99.63, 1942.42
1657289178.7328074,92.39, 3292.77
1657289179.7478004,85.85, 588.14
1657289180.761799,89.52, 591.15
1657289181.7798011,86.49, 606.45
1657289182.7987986,94.38, 616.94
1657289183.8157983,92.39, 638.10
1657289184.8347986,87.08, 589.36
1657289185.8448002,90.07, 632.47
1657289186.8638046,86.90, 654.92
1657289187.8737993,94.20, 720.53
1657289188.895798,84.48, 893.27
1657289189.9177976,87.60, 1207.08
1657289190.936798,87.28, 1857.00
1657289191.9578001,84.97, 2147.58
1657289192.9718025,100.53, 7817.66
1657289193.9887986,95.95, 987.52
1657289195.007797,91.61, 603.05
1657289196.0268047,91.51, 595.66
1657289197.0467997,78.66, 544.33
1657289198.065799,88.77, 587.52
1657289199.081801,87.12, 603.30
1657289200.1008,83.81, 586.95
1657289201.1217985,85.66, 618.39
1657289202.1398065,79.67, 652.33
1657289203.1587987,80.90, 672.90
1657289204.1687994,86.09, 931.27
1657289205.1828,83.48, 1216.92
1657289206.2007978,87.17, 1905.37
1657289207.2187982,88.09, 3240.66
1657289208.2367983,82.86, 1745.54
1657289209.2508001,83.46, 569.64
1657289210.2698007,83.95, 569.40
1657289211.2917974,96.90, 631.94
1657289212.3058043,84.20, 591.60
1657289213.3237994,88.98, 620.06
1657289214.3417976,89.82, 632.77
1657289215.3498,85.75, 685.16
1657289216.3688,86.97, 705.17
1657289217.3877976,88.53, 932.97
1657289218.4087992,90.39, 1257.43
1657289219.4168015,82.69, 1861.17
1657289220.4377978,91.72, 2210.88
1657289221.4597986,93.18, 3004.67
1657289222.481799,89.29, 597.69
1657289223.499803,89.31, 590.93
1657289224.518799,82.92, 569.03
1657289225.5287979,86.42, 583.01
1657289226.5367978,84.79, 585.90
1657289227.5567987,86.22, 577.80
1657289228.5707972,92.30, 658.53
1657289229.5877988,88.66, 673.01
1657289230.5998015,88.57, 758.16
1657289231.6198013,88.17, 927.47
1657289232.6348011,86.26, 986.03
1657289233.6448007,89.93, 1875.78
1657289234.664798,89.76, 2179.10
1657289235.6797993,92.04, 2291.67
1657289236.6977985,98.85, 1491.48
1657289237.7188005,86.32, 603.17
1657289238.7368023,88.98, 588.01
1657289239.7557993,89.10, 614.20
1657289240.7697992,82.84, 574.89
1657289241.7887988,85.50, 628.31
1657289242.8087988,92.77, 661.29
1657289243.8188,86.19, 742.55
1657289244.8397973,83.98, 843.27
1657289245.8497982,81.54, 1152.68
1657289246.8668,87.09, 1784.39
1657289247.8758006,89.60, 2955.92
1657289248.898798,87.43, 2365.90
1657289249.9178011,87.95, 594.47
1657289250.927798,88.50, 568.74
1657289251.9497955,90.00, 617.90
1657289252.971798,88.39, 627.33
1657289253.9827993,94.04, 642.44
1657289254.9917974,93.06, 612.86
1657289256.010805,84.65, 574.99
1657289257.0308042,88.24, 618.45
1657289258.0498025,89.52, 612.24
1657289259.0678046,93.35, 618.47
1657289260.0888028,87.96, 614.71
1657289261.1097977,87.29, 596.17
1657289262.118798,90.73, 622.84
1657289263.1337984,93.99, 630.30
1657289264.1548011,87.63, 607.27
1657289265.1768017,84.30, 585.66
1657289266.1978052,84.89, 573.31
1657289267.2148023,84.54, 588.54
1657289268.2217999,87.73, 590.55
1657289269.2418008,82.06, 571.46
1657289270.261804,88.51, 590.41
1657289271.282801,82.33, 566.73
1657289272.3048027,91.21, 629.86
1657289273.3167982,88.21, 616.26
1657289274.3388002,83.72, 590.30
1657289275.3548017,86.46, 614.54
1657289276.3738012,81.36, 554.30
1657289277.3967972,88.40, 628.80
1657289278.4068046,83.05, 586.71
1657289279.4247985,91.96, 600.02
1657289280.442802,83.90, 584.23
1657289281.4607975,86.25, 579.52
1657289282.4748023,90.76, 622.62
1657289283.4918017,91.46, 621.83
1657289284.5017989,90.74, 614.58
1657289285.5208042,87.30, 610.54
1657289286.5367985,94.04, 616.44
1657289287.5608003,93.61, 643.64
1657289288.5727994,86.73, 614.32
1657289289.5928023,88.02, 643.74
1657289290.6067996,87.01, 625.03
1657289291.6217985,90.55, 763.75
1657289292.6308107,87.52, 823.63
1657289293.6387978,92.37, 1258.70
1657289294.660799,91.09, 1379.04
1657289295.6767993,88.28, 3062.55
1657289296.6988,91.35, 2920.10
1657289297.7187989,88.99, 642.65
1657289298.7328,84.44, 588.20
1657289299.7477984,82.98, 547.75
1657289300.7637978,83.89, 578.27
1657289301.779799,92.23, 638.27
1657289302.800801,88.64, 644.84
1657289303.808799,88.56, 618.18
1657289304.8187997,85.53, 592.53
1657289305.8397994,83.77, 578.90
1657289306.8598018,92.90, 642.67
1657289307.8748007,92.55, 661.55
1657289308.8888035,89.09, 647.36
1657289309.9027987,93.72, 649.39
1657289310.9197977,90.44, 653.37
1657289311.9378006,95.43, 679.91
1657289312.957802,91.95, 639.50
1657289313.975799,92.31, 638.86
1657289314.998799,94.66, 647.22
1657289316.007803,101.97, 5857.74
1657289317.0268006,95.81, 668.89
1657289318.0487986,91.21, 639.27
1657289319.0687997,89.83, 610.80
1657289320.0857978,95.99, 638.53
1657289321.1008003,85.32, 614.79
1657289322.1188004,92.12, 632.96
1657289323.1388097,85.26, 607.37
1657289324.1517992,87.95, 609.51
1657289325.1597984,86.76, 635.37
1657289326.1688058,91.35, 651.58
1657289327.1767986,93.82, 688.22
1657289328.191798,86.52, 704.80
1657289329.2157998,89.06, 770.30
1657289330.235799,81.94, 911.42
1657289331.254802,83.86, 1261.20
1657289332.2778006,86.91, 1893.24
1657289333.2887986,90.51, 3183.22
1657289334.2977993,90.91, 634.16
1657289335.3197982,84.23, 599.55
1657289336.3388,91.48, 592.90
1657289337.3567982,89.96, 653.53
1657289338.3658001,88.79, 626.93
1657289339.3848014,89.49, 639.83
1657289340.4048011,83.40, 610.67
1657289341.4157982,89.66, 624.68
1657289342.4377973,87.74, 636.79
1657289343.455799,86.67, 620.75
1657289344.4757996,87.84, 689.54
1657289345.4977968,87.23, 771.33
1657289346.5197983,84.53, 879.04
1657289347.5378022,84.31, 1224.23
1657289348.557801,90.31, 1850.25
1657289349.5797985,91.06, 3055.47
1657289350.5977983,86.02, 947.88
1657289351.6157992,86.88, 585.84
1657289352.635799,93.66, 607.68
1657289353.645798,84.17, 599.81
1657289354.6657999,88.24, 613.14
1657289355.6847987,85.50, 583.44
1657289356.6938045,88.65, 597.17
1657289357.7017987,89.49, 609.46
1657289358.7217984,88.92, 607.78
1657289359.7308044,85.75, 591.02
1657289360.7477987,93.63, 5759.01
1657289361.7637975,87.90, 596.15
1657289362.7848022,93.75, 651.17
1657289363.8048012,89.77, 631.90
1657289364.8207982,89.56, 583.36
1657289365.8417997,85.75, 563.66
1657289366.858801,86.30, 574.32
1657289367.8777983,89.04, 619.83
1657289368.8987975,87.87, 615.85
1657289369.9177978,91.73, 628.03
1657289370.929798,89.18, 635.57
1657289371.944801,91.98, 645.25
1657289372.960798,90.64, 628.86
1657289373.9797997,90.13, 624.66
1657289375.0007992,86.75, 585.14
1657289376.0097978,91.71, 620.37
1657289377.0308008,87.06, 601.52
1657289378.043799,100.35, 630.08
1657289379.0608,98.90, 678.97
1657289380.0808,87.35, 614.66
1657289381.0877967,84.83, 580.44
1657289382.1077993,93.83, 642.11
1657289383.1178017,88.86, 616.72
1657289384.1387982,83.90, 543.81
1657289385.1587982,90.34, 601.03
1657289386.1777995,86.07, 578.07
1657289387.1957986,84.68, 590.39
1657289388.2048018,85.88, 599.83
1657289389.2237988,92.93, 610.69
1657289390.2397997,93.64, 641.41
1657289391.2587986,86.44, 581.20
1657289392.2778006,87.29, 646.89
1657289393.2917979,87.09, 606.56
1657289394.313798,92.97, 626.93
1657289395.331798,92.50, 620.00
1657289396.3507988,86.63, 596.53
1657289397.371798,89.58, 627.00
1657289398.3947997,84.16, 586.74
1657289399.418798,81.76, 584.48
1657289400.4378004,78.34, 542.04
1657289401.4588008,85.17, 576.84
1657289402.4797986,84.85, 594.24
1657289403.4977982,86.38, 599.12
1657289404.5177972,89.23, 615.95
1657289405.5257978,88.24, 610.93
1657289406.5418081,96.39, 655.09
1657289407.5577993,92.45, 628.17
1657289408.5797982,92.68, 634.86
1657289409.6018,85.44, 602.36
1657289410.6178012,82.57, 589.50
1657289411.6388023,83.66, 546.84
1657289412.6587968,94.43, 600.48
1657289413.6777997,84.88, 566.62
1657289414.695799,87.54, 583.55
1657289415.7157986,81.84, 560.77
1657289416.7237976,85.67, 585.85
1657289417.7427979,88.35, 578.23
1657289418.7617984,84.89, 565.87
1657289419.7787986,88.49, 602.56
1657289420.7967978,92.92, 629.80
1657289421.815798,90.46, 621.97
1657289422.8378015,89.20, 608.73
1657289423.849798,89.96, 606.46
1657289424.8717992,85.83, 601.92
1657289425.8907993,90.26, 616.30
1657289426.901802,93.44, 646.79
1657289427.925798,90.82, 647.64
1657289428.9397972,94.09, 704.52
1657289429.9597998,93.69, 744.09
1657289430.978798,89.18, 953.63
1657289431.9988012,91.23, 1283.72
1657289433.0118,93.23, 1975.38
1657289434.0238006,91.89, 3219.98
1657289435.0317974,95.10, 620.37
1657289436.0417984,93.69, 642.78
1657289437.0627983,92.91, 637.82
1657289438.0737991,99.61, 655.07
1657289439.0908015,86.34, 598.23
1657289440.1147988,92.69, 756.81
1657289441.1227987,91.60, 639.87
1657289442.1318023,89.95, 619.48
1657289443.1547997,87.98, 614.35
1657289444.1738007,90.64, 599.20
1657289445.1957986,89.80, 629.31
1657289446.2037978,86.35, 584.95
1657289447.2248006,91.70, 634.72
1657289448.2497997,92.62, 662.10
1657289449.2658024,96.37, 651.54
1657289450.2737985,92.99, 624.12
1657289451.2847984,91.25, 604.81
1657289452.3028002,95.49, 649.60
1657289453.3208108,95.00, 632.49
1657289454.341798,87.12, 607.44
1657289455.3587992,85.87, 594.66
1657289456.3777976,90.07, 627.30
1657289457.3927994,89.55, 634.64
1657289458.4117997,84.50, 606.46
1657289459.4327989,89.00, 611.65
1657289460.4457994,89.02, 1378.67
1657289461.468799,87.48, 620.29
1657289462.4847994,94.15, 623.77
1657289463.5017974,90.55, 618.60
1657289464.5107985,89.68, 578.97
1657289465.528798,91.94, 613.86
1657289466.543798,88.15, 615.35
1657289467.5627992,87.50, 581.05
1657289468.5727983,94.75, 617.79
1657289469.5967972,93.53, 651.35
1657289470.6168008,89.18, 634.43
1657289471.6257985,89.35, 644.27
1657289472.6478016,95.09, 650.57
1657289473.6677988,89.46, 579.52
1657289474.6877987,87.97, 615.92
1657289475.7017984,88.65, 654.69
1657289476.7138007,88.40, 632.58
1657289477.7297995,88.33, 645.94
1657289478.7487984,93.85, 629.73
1657289479.7667997,91.71, 652.18
1657289480.7897987,94.12, 639.29
1657289481.8048,93.01, 648.93
1657289482.8268003,89.18, 625.77
1657289483.8467987,89.64, 638.94
1657289484.864798,90.51, 640.06
1657289485.8727987,88.37, 636.20
1657289486.8957982,90.72, 642.17
1657289487.9048007,93.05, 647.56
1657289488.9217985,92.87, 666.78
1657289489.941799,94.52, 660.08
1657289490.9618568,92.00, 657.14
1657289491.9768577,86.07, 619.43
1657289492.9928575,90.40, 644.62
1657289494.0138583,89.51, 780.63
1657289495.0338614,85.84, 615.45
1657289496.056862,88.30, 628.91
1657289497.078863,86.89, 618.39
1657289498.096859,91.59, 740.65
1657289499.1178572,89.32, 624.45
1657289500.1378582,90.46, 627.04
1657289501.1568573,92.40, 634.55
1657289502.178862,91.22, 626.82
