ts,ul_kBps,dl_kBps
1657291088.748033,0.20, 0.62
1657291089.7849386,10.85, 20.40
1657291090.8185086,16.73, 229.55
1657291091.8585553,3.66, 132.74
1657291092.8918238,15.93, 1796.22
1657291093.9169195,25.09, 168.05
1657291094.9315505,22.12, 1732.93
1657291095.9571397,6.99, 997.84
1657291096.9800816,28.16, 12591.40
1657291098.0051105,9.82, 6278.88
1657291099.0253463,29.10, 12658.23
1657291100.0491648,28.67, 15576.39
1657291101.0674713,21.59, 12638.28
1657291102.0837884,25.85, 14051.19
1657291103.1060214,291.49, 11019.83
1657291104.131016,28.09, 15699.15
1657291105.150525,41.37, 18340.61
1657291106.1717951,21.60, 10125.04
1657291107.1878378,11.19, 6174.32
1657291108.210104,1.62, 252.23
1657291109.2365324,0.29, 1.83
1657291110.248805,4.30, 21.89
1657291111.322643,49.85, 5420.57
1657291112.3562193,35.64, 5633.05
1657291113.371267,31.52, 3063.10
1657291114.3985362,27.91, 2978.06
1657291115.4255686,33.33, 2899.56
1657291116.4479978,32.53, 2758.13
1657291117.4666975,30.55, 2683.35
1657291118.4999335,31.94, 2773.17
1657291119.529484,31.30, 2993.72
1657291120.5668714,30.92, 2883.73
1657291121.6013417,33.84, 3057.66
1657291122.6368217,32.69, 3074.58
1657291123.6778166,30.40, 2831.39
1657291124.7060158,31.61, 2860.63
1657291125.7349641,39.69, 2856.76
1657291126.7762072,41.44, 3024.80
1657291127.8174577,23.27, 1804.10
1657291128.8576753,10.39, 12.51
1657291129.8928714,11.41, 14.08
1657291130.9287007,12.61, 13.50
1657291131.9609168,9.41, 29.75
1657291133.0007029,11.17, 1001.98
1657291134.0270414,18.07, 948.76
1657291135.054753,10.36, 268.99
1657291136.0828974,13.07, 1592.61
1657291137.116801,9.04, 33.80
1657291138.1480901,10.21, 32.80
1657291139.1720972,11.86, 33.77
1657291140.1958418,10.91, 34.01
1657291141.221121,12.67, 38.53
1657291142.2529626,11.62, 37.48
1657291143.2802975,11.82, 38.16
1657291144.3023114,11.79, 39.56
1657291145.3308604,11.82, 53.10
1657291146.367354,12.26, 51.02
1657291147.393713,11.63, 51.13
1657291148.4295015,13.18, 165.81
1657291149.4533947,24.85, 1239.98
1657291150.4967854,20.53, 4479.60
1657291151.5185945,16.39, 67.61
1657291152.5458233,11.85, 63.13
1657291153.5857594,15.52, 75.05
1657291154.608602,10.01, 64.92
1657291155.6466117,14.53, 71.41
1657291156.6832194,14.81, 65.10
1657291157.7159214,13.10, 61.74
1657291158.7513719,27.18, 6715.99
1657291159.7752426,13.26, 57.25
1657291160.8142319,13.44, 65.21
1657291161.8548257,15.35, 71.87
1657291162.8886285,14.68, 74.75
1657291163.9287033,16.13, 76.51
1657291164.9611814,13.97, 72.52
1657291165.994747,18.62, 79.49
1657291167.0306942,13.72, 82.75
1657291168.0596278,13.72, 83.45
1657291169.0961947,15.12, 76.70
1657291170.1295848,15.07, 85.77
1657291171.1668499,16.03, 85.25
1657291172.1984107,25.52, 5404.50
1657291173.2281144,15.28, 86.03
1657291174.2585442,15.15, 88.16
1657291175.2854292,15.08, 83.86
1657291176.3158364,16.86, 87.20
1657291177.338805,15.72, 87.58
1657291178.3800051,14.58, 84.47
1657291179.4111004,15.11, 84.51
1657291180.43623,12.78, 85.87
1657291181.4657345,12.93, 84.24
1657291182.4960525,11.96, 79.63
1657291183.523767,12.47, 81.98
1657291184.5588284,11.69, 83.30
1657291185.5964353,12.87, 122.30
1657291186.627623,12.01, 80.36
1657291187.6532185,12.26, 80.06
1657291188.6853974,12.68, 76.69
1657291189.7125986,14.40, 75.72
1657291190.7519321,12.41, 75.23
1657291191.7866938,13.58, 74.09
1657291192.8233414,13.56, 74.81
1657291193.8636193,12.32, 77.67
1657291194.8977385,12.74, 88.76
1657291195.9278111,13.65, 86.26
1657291196.965154,14.38, 88.53
1657291198.0093517,13.38, 87.00
1657291199.045394,13.80, 80.65
1657291200.0798185,12.61, 79.00
1657291201.1251843,15.08, 80.62
1657291202.158443,14.50, 85.25
1657291203.186209,14.55, 104.53
1657291204.2253428,15.25, 76.51
1657291205.2625813,15.64, 76.39
1657291206.294137,16.09, 80.22
1657291207.325559,16.77, 72.81
1657291208.353391,15.44, 73.61
1657291209.3957696,25.42, 81.74
1657291210.42853,17.10, 71.49
1657291211.4757473,16.12, 91.33
1657291212.5081754,13.56, 75.23
1657291213.5440323,13.08, 68.52
1657291214.577882,13.32, 70.48
1657291215.6207974,15.25, 69.28
1657291216.6510417,14.52, 74.11
1657291217.685811,13.93, 71.03
1657291218.7222626,13.04, 72.75
1657291219.760292,11.46, 75.06
1657291220.7862787,10.93, 70.51
1657291221.8128743,14.36, 72.37
1657291222.8488948,15.37, 69.00
1657291223.8882318,13.85, 71.46
1657291224.9198556,14.35, 85.82
1657291225.9516387,13.32, 70.79
1657291226.9885948,17.22, 80.05
1657291228.0162039,13.41, 70.83
1657291229.0540833,15.21, 72.60
1657291230.0929718,10.95, 69.58
